Depth,AC(us/m),SP(MV),POR(%),GR(API),CNL£¨¦µ%£©
2373.65,308.543,64.407,10.6715,85.304,25.665
2373.751,307.728,65.41,10.654,84.337,26.831
2373.853,311.942,66.198,10.6365,80.91,27.069
2373.954,328.358,67.263,10.619,75.284,26.658
2374.056,351.97,67.634,10.6015,70.277,26.112
2374.157,367.402,67.97,10.584,67.879,25.692
2374.259,372.335,68.322,10.162,68.096,25.443
2374.361,368.994,69.252,9.811,69.551,25.322
2374.462,356.44,69.888,9.704,72.65,25.298
2374.563,338.779,70.657,9.941,78.053,25.362
2374.665,329.311,71.556,10.153,83.852,25.414
2374.766,330.722,73.669,10.493,88.258,25.346
2374.868,336.73,74.819,10.666,91.073,25.364
2374.969,341.902,75.981,10.444,92.854,25.859
2375.071,346.635,77.12,10.334,92.854,26.84
2375.172,347.02,79.243,10.157,91.002,27.681
2375.273,340.372,80.212,9.694,88.435,28
2375.375,332.389,81.121,9.197,86.028,28.063
2375.476,327.418,81.969,8.908,83.328,28.309
2375.578,323.283,83.451,9.366,80.446,28.686
2375.679,322.249,84.061,9.738,78.664,28.865
2375.781,327.045,84.571,9.642,78.188,28.902
2375.882,335.364,84.984,9.521,77.905,28.884
2375.983,345.392,85.567,9.742,76.86,28.421
2376.084,351.621,85.775,10.53,75.787,27.095
2376.186,351.269,85.95,10.89059091,76.174,24.615
2376.287,344.815,86.103,11.25118182,78.165,21.352
2376.389,331.184,86.346,11.14236364,80.387,17.885
2376.49,310.874,86.43,11.03354545,81.222,15.047
2376.592,291.206,86.485,10.92472727,80.722,13.193
2376.693,275.836,86.512,10.81590909,79.745,12.335
2376.794,262.119,86.494,10.70709091,79.248,12.16
2376.896,252.312,86.452,10.59827273,79.456,12.289
2376.997,248.607,86.39,10.48945455,80.094,12.531
2377.099,247.981,86.305,10.38063636,80.867,12.769
2377.2,246.195,86.061,10.27181818,82.032,12.864
2377.302,243.958,85.901,10.163,83.17,12.743
2377.403,243.034,85.719,7.539,83.111,12.555
2377.504,243.731,85.518,4.265,81.727,12.546
2377.606,245.143,85.075,4.962,80.596,12.762
2377.707,246.411,84.836,7.114,81.201,13.02
2377.809,247.749,84.586,7.446,82.834,13.129
2377.91,248.633,84.323,6.142,84.168,13.102
2378.011,248.132,83.756,3.263,85.036,13.064
2378.113,247.19,83.453,0.585,85.682,13.044
2378.214,246.477,83.139,0.015,85.985,13.096
2378.316,245.263,82.82,0,85.989,13.378
2378.417,243.667,82.179,0,86.114,13.974
2378.518,243.861,81.868,0,86.529,14.747
2378.62,248.195,81.566,0.005,86.777,15.269
2378.721,254.607,81.273,1.634,85.782,15.277
2378.823,258.389,80.704,1.8985,84.418,14.863
2378.924,258.577,80.423,2.163,84.275,14.32
2379.025,256.176,80.142,2.4275,85.257,13.829
2379.126,250.857,79.865,2.692,85.289,13.667
2379.228,245.141,79.334,2.9565,83.598,14.078
2379.329,243.334,79.083,3.221,81.323,15.126
2379.431,246.321,78.841,3.4855,80.104,16.391
2379.532,252.305,78.604,3.75,80.251,17.247
2379.633,260.581,78.121,4.0145,81.11,17.5
2379.735,270.212,77.86,4.279,81.501,17.646
2379.836,278.459,77.576,4.5435,81.045,17.989
2379.937,283.484,77.265,4.808,80.269,18.468
2380.039,285.924,76.561,5.0725,79.906,19.046
2380.14,287.252,76.174,5.337,79.725,19.778
2380.241,288.439,75.771,5.6015,78.945,20.472
2380.343,289.501,75.358,5.866,77.661,20.508
2380.444,288.848,74.524,6.1305,76.967,19.466
2380.545,284.728,74.105,6.395,77.911,17.738
2380.646,277.62,73.685,6.6595,79.986,16.031
2380.748,269.756,73.263,6.924,81.71,14.719
2380.849,261.885,72.429,7.1885,83.002,13.898
2380.95,255.26,72.034,7.453,83.976,13.504
2381.051,252.312,71.668,7.7175,84.004,13.41
2381.152,252.529,71.345,7.982,83.156,13.494
2381.254,251.828,70.839,8.2465,82.588,13.734
2381.355,249.059,70.649,8.511,83.367,14.374
2381.456,248.069,70.484,8.7755,84.422,15.632
2381.557,252.119,70.327,9.04,84.151,17.116
2381.658,258.367,69.979,9.3045,82.857,18.171
2381.76,262.385,69.78,9.569,81.631,18.218
2381.861,263.531,69.574,9.8335,80.431,17.167
2381.962,260.619,69.374,10.098,78.742,15.017
2382.063,250.5,69.048,10.3625,77.153,12.759
2382.164,237.073,68.94,10.627,77.528,11.209
2382.265,227.412,68.873,10.8915,79.418,10.509
2382.367,226.943,68.849,11.156,80.919,10.303
2382.468,235.054,68.933,8.743,81.425,10.361
2382.569,246.214,69.042,2.631,81.983,10.705
2382.67,252.42,69.194,0.151,82.429,11.225
2382.771,254.744,69.385,0.02,81.919,11.697
2382.873,256.074,69.851,0.012,80.449,11.936
2382.974,254.077,70.106,0,78.438,12.026
2383.075,250.209,70.36,0,77.171,12.14
2383.176,249.419,70.602,0,78.204,12.409
2383.277,250.568,71.003,0.005,81.591,12.898
2383.379,251.291,71.147,0.009,83.98,13.665
2383.48,251.786,71.252,0.015,83.308,14.777
2383.581,253.299,71.325,1.214,80.861,16.257
2383.682,258.055,71.421,8.035,79.26,18.006
2383.783,266.993,71.463,9.6075,78.905,19.602
2383.885,277.78,71.504,11.18,78,20.383
2383.986,287.128,71.542,10.977,76.022,19.845
2384.087,291.541,71.601,7.562,73.639,18.041
2384.188,288.091,71.623,0.005,72.304,15.771
2384.289,277.023,71.639,0.006,72.59,13.857
2384.391,263.333,71.647,0.007,74.007,12.723
2384.492,250.75,71.624,0.007,76.138,12.18
2384.593,241.455,71.583,0.004,78.321,11.957
2384.694,237.301,71.52,0.001,78.753,11.761
2384.795,237.854,71.437,0,77.694,11.616
2384.896,239.801,71.22,0,77.103,11.71
2384.998,240.997,71.085,0,78.253,11.995
2385.099,241.542,70.932,0,79.338,12.272
2385.2,241.324,70.758,0.001,78.661,12.369
2385.301,240.249,70.354,0.004,77.661,12.311
2385.402,238.956,70.129,0.006,78.653,12.285
2385.504,239.064,69.894,0.005,81.705,12.678
2385.605,243.049,69.648,0.004,83.761,13.633
2385.706,250.838,69.122,0.007,83.429,14.877
2385.807,257.777,68.835,0.013,81.657,15.731
2385.908,261.25,68.531,0.018,81.041,16.021
2386.01,264.139,68.209,0.019,81.895,16.104
2386.111,268.459,67.512,0.016,81.749,16.42
2386.212,274.202,67.136,0.012,79.126,17.182
2386.313,282.599,66.74,0.011,75.077,18.583
2386.414,292.793,66.324,0.013,72.528,20.403
2386.516,299.757,65.424,0.015,72.252,21.73
2386.617,298.108,64.942,0.017,73.644,21.505
2386.719,287.099,64.442,0.016,76.114,19.835
2386.82,272.343,63.924,0.012,79.182,17.694
2386.921,260.298,62.841,0.007,81.689,15.772
2387.022,252.912,62.28,0.004,82.95,14.288
2387.124,249.834,61.708,0.006,83.289,13.196
2387.225,250.68,61.128,0.011,83.36,12.471
2387.326,252.566,59.936,0.015,83.03,12.072
2387.427,252.716,59.319,0.015,82.21,11.898
2387.528,250.794,58.68,0.016,81.056,11.804
2387.629,248.381,58.016,0.015,79.82,11.653
2387.73,246.179,56.606,0.013,78.971,11.446
2387.832,243.581,55.861,0.007,79.068,11.25
2387.933,239.907,55.088,0.001,79.592,11.093
2388.034,236.312,54.286,0,80.434,10.956
2388.135,235.904,52.591,0.004,82.682,10.925
2388.236,239.451,51.7,0.009,86.102,11.125
2388.337,244.878,50.786,0.014,88.119,11.524
2388.438,249.345,49.856,0.017,87.534,11.902
2388.54,251.633,47.966,0.016,86.016,12.08
2388.641,251.338,47.008,0.012,85.427,11.973
2388.742,249.39,46.043,0.009,85.155,11.609
2388.843,248.267,45.076,0.01,83.567,11.215
2388.945,251.402,43.169,0.013,80.376,11.126
2389.046,256.517,42.251,0.017,77.511,11.433
2389.147,260.348,41.37,0.019,76.808,11.936
2389.248,262.817,40.538,0.018,78.301,12.488
2389.349,264.026,39.078,0.016,80.051,13.259
2389.45,264.961,38.481,0.014,80.231,14.512
2389.552,270.092,37.993,0.014,80.401,16.331
2389.653,281.212,37.623,0.015,81.899,18.46
2389.754,294.361,37.249,0.015,84.972,20.445
2389.855,305.47,37.24,0.013,88.599,21.827
2389.956,313.667,37.343,0.009,92.29,22.661
2390.057,317.587,37.557,0.006,96.581,23.617
2390.158,317.072,38.337,0.006,101.329,25.212
2390.259,315.395,38.922,0.009,105.597,27.249
2390.36,315.555,39.648,0.01,107.753,29.014
2390.461,316.643,40.521,0.01,107.299,29.952
2390.563,318.028,42.726,0.011,105.798,30.007
2390.664,321.544,44.063,0.014,105.46,29.52
2390.764,328.615,45.558,0.018,106.464,29.338
2390.865,337.518,47.208,0.019,108.368,30.078
2390.967,346.143,50.891,0.017,110.551,31.494
2391.067,353.978,52.842,0.015,113.212,32.875
2391.168,359.691,54.788,0.014,116.254,33.852
2391.27,361.949,56.668,0.009,118.444,34.443
2391.371,361.34,60.035,0.008,118.361,34.367
2391.472,357.487,61.46,0.006,115.247,33.207
2391.573,348.893,62.692,0.006,109.681,31.835
2391.674,338.344,63.732,0.005,101.998,31.558
2391.775,330.117,65.265,0.006,92.602,32.245
2391.875,326.23,65.796,0.007,83.084,32.605
2391.977,327.095,66.205,0.008,76.491,31.796
2392.077,331.431,66.519,0.01,73.889,30.56
2392.178,335.76,66.948,0.012,73.622,29.977
2392.28,337.992,67.096,0.016,73.52,29.646
2392.381,338.128,67.214,0.019,72.543,28.511
2392.482,336.698,67.309,0.021,71.295,26.214
2392.583,335.106,67.433,0.214,70.898,24.046
2392.684,334.063,67.454,1.425,71.87,22.964
2392.785,333.325,67.441,2.483,74.312,23.241
2392.887,333.173,67.387,3.767,77.144,24.564
2392.988,333.685,67.116,5.206,78.988,26.219
2393.089,333.112,66.877,7.967,79.913,27.087
2393.19,331.116,66.554,8.962,80.506,26.89
2393.292,329.22,66.14,9.583,79.904,26.418
2393.393,327.742,65.024,10.042,76.88,26.339
2393.494,326.621,64.324,10.899,73.57,26.3
2393.595,327.05,63.531,11.116,72.625,25.93
2393.697,328.664,62.645,11.11243089,74.934,25.636
2393.798,330.329,60.603,11.10886179,77.47,25.832
2393.899,331.742,59.463,11.10529268,78.552,26.308
2394,332.788,58.264,11.10172358,78.247,26.569
2394.101,332.839,57.027,11.09815447,77.311,26.738
2394.202,331.575,54.508,11.09458537,75.865,27.121
2394.303,329.34,53.251,11.09101626,74.487,27.592
2394.405,327.083,52.002,11.08744715,73.927,28.131
2394.506,325.267,50.766,11.08387805,74.74,28.759
2394.607,323.54,48.359,11.08030894,76.821,28.944
2394.708,321.997,47.214,11.07673984,80.243,28.01
2394.809,320.825,46.128,11.07317073,85.293,26.733
2394.91,319.093,45.121,11.06960163,90.242,26.072
2395.011,316.676,43.416,11.06603252,93.464,26.018
2395.112,314.775,42.746,11.06246341,95.413,25.732
2395.213,313.57,42.207,11.05889431,97.557,25.154
2395.314,312.83,41.795,11.0553252,100.806,25.031
2395.415,313.103,41.321,11.0517561,104.276,25.521
2395.516,314.383,41.234,11.04818699,106.428,26.306
2395.617,316.163,41.227,11.04461789,107.26,27.069
2395.718,318.152,41.283,11.04104878,108.707,27.715
2395.819,319.47,41.498,11.03747967,111.086,27.797
2395.92,319.282,41.609,11.03391057,112.377,27.282
2396.021,317.761,41.689,11.03034146,111.42,26.629
2396.123,315.777,41.715,11.02677236,109.918,26.334
2396.224,314.819,41.524,11.02320325,109.241,26.386
2396.325,315.757,41.284,11.01963415,108.061,26.676
2396.426,316.996,40.95,11.01606504,105.248,27.049
2396.527,316.928,40.544,11.01249593,101.848,27.279
2396.628,316.584,39.657,11.00892683,99.317,27.119
2396.729,316.559,39.239,11.00535772,98.417,27.117
2396.83,316.308,38.865,11.00178862,99.636,27.573
2396.931,317.339,38.54,10.99821951,102.015,28.049
2397.032,321.023,38.047,10.99465041,103.517,28.026
2397.133,324.61,37.887,10.9910813,103.116,27.854
2397.234,324.924,37.799,10.9875122,101.924,28.21
2397.335,322.513,37.796,10.98394309,102.226,28.778
2397.436,320.576,38.069,10.98037398,104.356,28.589
2397.537,319.783,38.334,10.97680488,106.804,27.738
2397.638,319.826,38.664,10.97323577,107.424,27.346
2397.739,321.539,39.04,10.96966667,107.231,27.725
2397.84,323.67,39.839,10.96609756,107.504,28.291
2397.941,322.946,40.22,10.96252846,107.862,28.581
2398.042,320.595,40.552,10.95895935,106.737,28.719
2398.144,319.216,40.809,10.95539024,104.186,28.783
2398.244,319.038,41.019,10.95182114,102.904,28.282
2398.345,320.653,40.967,10.94825203,103.696,27.389
2398.447,323.902,40.833,10.94468293,104.078,26.914
2398.548,325.602,40.644,10.94111382,101.527,27.073
2398.649,325.307,40.217,10.93754472,96.381,27.63
2398.75,324.461,40.015,10.93397561,92.071,28.129
2398.851,323.325,39.826,10.9304065,91.534,28.392
2398.952,323.79,39.637,10.9268374,94.394,28.456
2399.053,327.279,39.198,10.92326829,97.49,28.638
2399.154,329.596,38.927,10.91969919,98.405,29.191
2399.255,328.427,38.625,10.91613008,96.893,29.754
2399.356,325.87,38.307,10.91256098,94.634,29.822
2399.457,322.789,37.687,10.90899187,93.241,29.453
2399.558,319.948,37.4,10.90542276,94.074,29.078
2399.659,319.789,37.124,10.90185366,97.576,28.775
2399.76,321.991,36.85,10.89828455,102.146,28.158
2399.861,323.425,36.308,10.89471545,104.358,27.613
2399.962,323.029,36.074,10.89114634,102.446,27.763
2400.063,321.546,35.904,10.88757724,98.244,28.581
2400.165,319.508,35.826,10.88400813,95.379,29.074
2400.266,318.098,36.019,10.88043902,94.609,28.641
2400.367,318.308,36.296,10.87686992,94.552,27.776
2400.468,319.599,36.683,10.87330081,94.809,27.244
2400.569,321.557,37.162,10.86973171,97.156,27.155
2400.67,324.149,38.304,10.8661626,102.281,27.484
2400.771,326.22,38.913,10.8625935,106.756,28.131
2400.872,327.348,39.516,10.85902439,107.585,28.726
2400.973,327.954,40.1,10.85545528,104.495,28.835
2401.074,326.96,41.185,10.85188618,100.111,28.665
2401.176,323.437,41.671,10.84831707,95.698,28.672
2401.277,319.127,42.092,10.84474797,93.415,28.892
2401.378,316.257,42.409,10.84117886,94.474,28.93
2401.479,315.258,42.543,10.83760976,98.019,28.327
2401.58,315.567,42.297,10.83404065,100.33,27.523
2401.681,316.823,41.838,10.83047154,99.631,27.123
2401.782,318.607,41.194,10.82690244,96.552,27.211
2401.883,319.698,39.529,10.82333333,93.04,27.513
2401.985,319.187,38.595,10.81976423,91.131,27.763
2402.086,317.814,37.636,10.81619512,92.101,27.89
2402.187,316.901,36.679,10.81262602,94.258,27.754
2402.288,316.616,34.864,10.80905691,95.907,27.46
2402.389,316.293,34.051,10.8054878,95.902,27.522
2402.49,315.958,33.323,10.8019187,95.369,27.852
2402.592,316.357,32.685,10.79834959,95.327,27.798
2402.693,317.408,31.671,10.79478049,97.188,27.575
2402.794,318.051,31.278,10.79121138,100.474,27.827
2402.895,318.056,30.948,10.78764228,102.918,28.72
2402.996,318.043,30.671,10.78407317,102.425,29.439
2403.097,317.888,30.221,10.78050407,100.426,29.319
2403.198,317.166,30.015,10.77693496,99.221,28.522
2403.299,316.164,29.798,10.77336585,99.258,27.503
2403.4,315.477,29.558,10.76979675,98.498,26.585
2403.501,315.02,28.984,10.76622764,95.639,25.996
2403.602,313.772,28.655,10.76265854,92.631,25.842
2403.703,311.359,28.31,10.75908943,91.688,25.99
2403.803,309.167,27.964,10.75552033,93.33,26.083
2403.905,308.247,27.319,10.75195122,95.172,26.217
2404.005,308.122,27.035,10.74838211,96.204,26.884
2404.106,309.09,26.779,10.74481301,97.343,27.863
2404.208,311.357,26.551,10.7412439,99.282,28.25
2404.309,313.397,26.193,10.7376748,101.324,27.674
2404.41,314.373,26.085,10.73410569,102.778,27.26
2404.511,315.27,26.042,10.73053659,103.081,27.986
2404.612,317.455,26.074,10.72696748,102.749,29.268
2404.713,321.51,26.371,10.72339837,102.612,30.061
2404.814,325.751,26.627,10.71982927,102.6,29.876
2404.915,328.139,26.949,10.71626016,102.59,29.282
2405.016,328.242,27.332,10.71269106,102.438,28.608
2405.117,326.563,28.282,10.70912195,101.661,27.949
2405.218,323.262,28.848,10.70555285,100.034,27.247
2405.319,321.32,29.474,10.70198374,98.5,26.661
2405.42,321.895,30.156,10.69841463,98.915,26.887
2405.521,323.159,31.671,10.69484553,101.404,27.914
2405.622,324.585,32.501,10.69127642,103.782,28.709
2405.723,325.926,33.379,10.68770732,105.069,28.363
2405.824,325.051,34.312,10.68413821,105.87,27.647
2405.925,322.403,36.371,10.68056911,105.797,27.799
2406.026,320.279,37.509,10.677,104.01,28.558
2406.127,319.225,38.723,10.437,101.382,28.898
2406.228,318.652,40.01,10.36717391,99.788,27.957
2406.329,318.799,42.786,10.29734783,101.09,26.14
2406.43,320.569,44.26,10.22752174,104.253,24.173
2406.531,321.283,45.776,10.15769565,106.204,23.169
2406.632,314.801,47.313,10.08786957,102.977,23.193
2406.733,297.68,50.359,10.01804348,95.397,23.297
2406.834,278.415,51.823,9.948217391,87.349,22.518
2406.935,266.11,53.226,9.878391304,84.133,21.363
2407.036,264.668,54.558,9.808565217,85.936,20.8
2407.137,272.101,56.997,9.73873913,90.24,21.305
2407.238,287.197,58.104,9.668913043,93.622,22.738
2407.339,303.563,59.146,9.599086957,94.968,24.56
2407.44,313.445,60.137,9.52926087,94.459,25.732
2407.541,315.237,62.016,9.459434783,93.047,25.636
2407.642,316.555,62.912,9.389608696,91.318,24.826
2407.743,318.907,63.771,9.319782609,91.088,24.336
2407.844,319.271,64.58,9.249956522,92.703,24.319
2407.946,318.219,66.022,9.180130435,94.77,24.333
2408.047,316.61,66.655,9.110304348,94.699,24.32
2408.148,314.419,67.233,9.040478261,92.729,24.517
2408.249,313.232,67.759,8.970652174,90.683,25.178
2408.35,313.975,68.657,8.900826087,89.684,26.317
2408.451,315.319,69.028,8.831,88.9,27.653
2408.553,317.189,69.349,5.76,87.236,28.602
2408.654,320.452,69.623,3.239,84.844,28.776
2408.755,324.08,70.042,1.532,83.392,28.279
2408.856,326.554,70.188,0.119,83.482,27.555
2408.957,327.813,70.296,0.02,82.66,26.826
2409.059,328.748,70.366,0.018,79.364,26.365
2409.16,328.394,70.405,0.016,75.855,26.684
2409.261,326.563,70.374,0.012,75.306,28.163
2409.362,325.41,70.307,0.01,77.122,30.226
2409.463,324.956,70.197,0.009,77.828,31.455
2409.564,324.154,69.828,0.008,76.846,31.099
2409.666,324.179,69.561,0.006,75.491,30.048
2409.767,325.468,69.233,0.005,75.265,29.388
2409.868,326.772,68.84,0.017,76.971,29.315
2409.969,328.326,67.816,0.098,80.227,29.429
2410.07,330.159,67.159,0.589,82.677,29.41
2410.172,330.591,66.386,0.544,83.653,29.298
2410.273,329.314,65.485,0.232,83.99,29.211
2410.374,327.108,63.276,0.193,83.713,29.094
2410.475,324.001,61.975,0.29,81.933,28.686
2410.576,320.081,60.557,0.287,79.385,27.882
2410.677,316.708,59.043,0.226,78.458,27.013
