TVD,SP,DGA,QT,DEV,TENS,RT1,POR,RA45,PE,M4R2,GR,AC,QCAL
2568.242,17.325,2.889,0.237,35.369,1308.537,4.145,11.122,0.83,5.904,1.17,108.316,309.275,1
2568.344,18.265,2.896,0.241,35.361,1305.749,4.157,11.502,0.834,5.881,1.181,108.848,308.967,1
2568.446,18.193,2.9,0.245,35.361,1302.263,4.165,11.956,0.839,5.849,1.194,109.259,309.643,1.001
2568.548,18.109,2.902,0.248,35.364,1300.869,4.155,12.613,0.832,5.903,1.209,109.636,311.599,1.001
2568.65,17.919,2.911,0.252,35.353,1299.474,4.137,12.982,0.821,6.018,1.225,109.624,313.237,1.001
2568.752,17.821,2.937,0.256,35.336,1299.474,4.112,13.21,0.802,6.059,1.24,108.993,314.032,1
2568.854,17.724,2.967,0.255,35.322,1294.594,4.056,12.892,0.786,6.067,1.253,108.615,314.977,1
2568.956,17.631,2.966,0.253,35.33,1292.503,4.033,12.052,0.779,6.09,1.264,109.563,316.082,1
2569.058,17.464,2.937,0.252,35.35,1291.109,4.014,12.066,0.791,6.106,1.273,111.484,316.638,1
2569.16,17.39,2.912,0.25,35.369,1291.109,3.999,12.631,0.818,6.095,1.28,112.776,316.926,1
2569.262,17.325,2.913,0.249,35.383,1291.806,3.984,13.926,0.85,6.081,1.287,112.759,316.21,0.999
2569.364,17.27,2.93,0.247,35.392,1292.503,3.982,15.044,0.906,5.77,1.293,112.673,313.865,0.999
2569.466,17.821,2.96,0.246,35.403,1293.897,4.026,15.867,0.925,5.785,1.299,113.79,311.623,0.999
2569.568,17.724,2.993,0.245,35.411,1293.897,3.975,15.907,0.938,5.828,1.304,116.427,312.535,0.999
2569.669,17.631,3,0.241,35.436,1290.411,3.941,15.951,0.951,5.826,1.309,119.362,316.121,0.999
2569.771,17.464,3,0.237,35.439,1289.714,3.905,16.14,0.964,5.774,1.314,121.804,320.739,0.999
2569.873,17.39,3,0.234,35.433,1290.411,3.868,16.247,0.955,5.845,1.319,123.095,324.265,0.999
2569.975,17.631,3,0.23,35.425,1290.411,3.801,16.888,0.936,6.095,1.324,122.951,325.881,0.999
2570.077,17.464,3,0.227,35.394,1291.806,3.781,17.642,0.907,6.449,1.33,121.018,325.734,0.999
2570.179,17.39,3,0.223,35.378,1293.2,3.774,18.736,0.844,6.848,1.336,118.267,323.657,1
2570.281,17.919,2.949,0.22,35.364,1294.594,3.776,19.129,0.829,7.163,1.341,116.389,317.77,1
2570.383,17.821,2.949,0.216,35.353,1295.989,3.798,18.252,0.828,7.249,1.344,115.72,305.795,0.999
2570.484,17.724,2.951,0.216,35.339,1303.657,3.811,16.631,0.84,7.095,1.343,115.74,313.865,0.999
2570.586,17.631,2.952,0.216,35.333,1306.446,3.82,14.705,0.875,6.834,1.339,115.939,311.623,0.999
2570.688,17.464,2.952,0.216,35.342,1309.931,3.822,13.396,0.886,6.577,1.33,115.802,312.535,0.999
2570.79,17.39,2.953,0.216,35.353,1314.114,3.813,12.612,0.889,6.399,1.319,115.363,316.121,1
2570.892,17.325,2.943,0.216,35.372,1319.691,3.803,12.111,0.881,6.314,1.307,114.468,320.739,0.999
2570.994,17.27,2.93,0.216,35.367,1319.691,3.795,12,0.882,6.275,1.28,112.489,324.265,0.999
2571.096,17.201,2.919,0.216,35.347,1317.6,3.79,11.935,0.89,6.253,1.279,109.745,325.881,0.999
2571.198,16.508,2.917,0.216,35.325,1315.509,3.798,11.921,0.903,6.249,1.278,107.67,325.734,0.999
2571.3,16.552,2.911,0.215,35.308,1309.931,3.814,11.698,0.918,6.237,1.748,108.875,323.657,0.999
2571.402,16.641,2.902,0.213,35.292,1306.446,3.833,11.966,0.93,6.201,1.74,112.274,317.77,0.999
2571.504,16.685,2.892,0.212,35.269,1303.657,3.856,12.609,0.925,6.182,1.733,115.247,305.795,0.999
2571.606,16.727,2.887,0.211,35.255,1300.869,3.888,13.706,0.912,6.241,1.73,116.564,295.556,0.998
2571.708,16.768,2.892,0.209,35.247,1295.989,3.893,14.876,0.901,6.291,1.734,116.763,308.438,0.998
2571.81,16.836,2.887,0.208,35.25,1293.2,3.888,15.135,0.901,6.172,1.748,115.812,313.865,0.998
2571.912,16.859,2.892,0.206,35.25,1291.109,3.875,14.189,0.914,5.893,1.24,113.597,311.623,0.998
2572.014,18.357,2.887,0.205,35.244,1290.411,3.833,12.646,0.924,5.609,1.231,110.986,312.535,0.998
2572.116,18.284,2.949,0.198,35.239,1291.109,3.811,11.114,0.928,5.423,1.222,110.053,316.121,0.999
2572.218,16.466,2.951,0.192,35.253,1294.594,3.788,9.936,0.909,5.338,1.215,111.029,320.739,0.999
2572.32,16.508,2.952,0.185,35.275,1302.96,3.765,9.506,0.892,5.313,1.208,112.694,324.265,0.999
2572.422,16.552,2.952,0.178,35.303,1311.326,3.712,9.599,0.883,5.322,1.204,113.024,325.881,0.999
2572.524,16.641,2.953,0.172,35.353,1323.177,3.682,9.822,0.882,5.339,1.203,111.486,325.734,0.999
2572.627,16.685,2.943,0.165,35.375,1328.057,3.652,10.09,0.898,5.357,1.205,108.807,323.657,0.999
2572.729,16.727,2.93,0.158,35.397,1330.846,3.621,10.736,0.903,5.41,1.209,106.13,317.77,0.999
2572.831,16.768,2.919,0.152,35.414,1330.149,3.567,11.2,0.902,5.508,1.215,107.688,305.795,0.999
2572.933,16.836,2.917,0.158,35.411,1321.783,3.547,11.786,0.895,5.666,1.223,105.759,324.265,0.999
2573.034,16.859,2.911,0.164,35.394,1318.994,3.534,12.389,0.873,5.933,1.231,104.134,325.881,1
2573.136,16.875,2.902,0.17,35.372,1315.509,3.528,12.609,0.87,6.268,1.24,104.049,325.734,1
2573.238,16.884,2.892,0.176,35.353,1312.023,3.526,12.45,0.877,6.524,1.249,104.436,323.657,1
2573.34,16.899,2.887,0.182,35.347,1306.446,3.529,12.491,0.89,6.608,1.256,103.968,317.77,1
2573.442,16.91,2.726,0.188,35.355,1304.354,3.533,13.676,0.917,6.581,1.263,103.186,305.795,1
2573.544,16.927,2.949,0.194,35.369,1302.96,3.539,15.47,0.922,6.534,1.269,103.925,315.803,1
2573.646,16.949,2.949,0.2,35.392,1302.96,3.551,17.44,0.92,6.506,1.274,106.537,307.655,1
2573.748,16.996,2.951,0.2,35.447,1305.052,3.55,19.358,0.905,6.493,1.278,110.114,299.25,1
2573.85,17.906,2.952,0.2,35.467,1305.749,3.548,20.432,0.876,6.479,1.28,113.087,294.855,1
2573.952,22.827,2.952,0.2,35.475,1307.143,3.54,20.801,0.866,6.451,1.279,114.378,296.629,1
2574.054,16.466,2.953,0.2,35.467,1309.234,3.516,15.316,0.861,6.422,1.278,113.053,299.092,1
2574.156,16.508,2.943,0.2,35.453,1311.326,3.503,14.911,0.855,6.399,1.269,109.701,298.159,1
2574.257,16.552,2.93,0.2,35.453,1312.72,3.491,13.512,0.831,6.345,1.274,106.554,294.988,1
2574.359,16.641,2.919,0.2,35.453,1314.114,3.483,12.032,0.814,6.231,1.326,105.577,287.975,1
2574.461,16.685,2.917,0.2,35.455,1314.811,3.472,11.277,0.802,6.095,1.314,106.336,275.268,1
2574.563,16.727,2.911,0.192,35.478,1312.023,3.467,11.067,0.799,6.002,1.303,107.496,262.07,1
2574.665,16.768,2.902,0.184,35.497,1309.931,3.46,11.006,0.816,5.974,1.289,108.316,254.939,1
2574.766,16.836,2.892,0.176,35.508,1307.84,3.448,10.889,0.833,5.981,1.273,108.848,256.495,1
2574.868,16.859,2.887,0.168,35.503,1303.657,3.414,10.556,0.846,5.995,1.255,109.259,264.374,1
2574.97,16.875,2.949,0.16,35.447,1296.686,3.395,15.541,0.851,6.013,1.237,109.636,276.064,1
2575.072,16.884,2.949,0.151,35.417,1297.383,3.375,13.559,0.841,6.029,1.22,109.624,288.482,1
2575.174,16.899,2.951,0.143,35.386,1300.869,4.758,12.796,0.837,6.036,1.204,108.993,297.287,1
2575.275,16.91,2.952,0.135,35.367,1307.143,4.695,12.323,0.844,6.047,1.189,108.615,299.851,1
2575.377,16.927,2.952,0.137,35.347,1324.571,4.634,11.824,0.86,6.068,1.178,109.563,299.627,1
2575.479,16.949,2.953,0.14,35.344,1333.634,4.571,11.524,0.908,6.079,1.17,111.484,299.651,1
2575.581,16.996,2.943,0.142,35.353,1340.606,4.438,11.376,0.925,6.069,1.164,112.776,299.167,1
2575.683,18.146,2.93,0.145,35.369,1346.183,4.368,11.387,0.935,6.062,1.159,112.759,297.139,1
2575.785,18.14,2.919,0.147,35.389,1348.274,4.297,11.141,0.937,6.071,1.157,112.673,294.835,1
2575.887,18.136,2.917,0.149,35.389,1344.789,4.228,11.152,0.928,6.06,1.157,113.79,293.124,1
2575.989,18.118,2.911,0.152,35.389,1340.606,4.12,11.316,0.93,6.026,1.159,116.427,292.102,1
2576.091,18.095,2.902,0.154,35.389,1338.514,4.082,11.64,0.934,6.072,1.163,119.362,293.481,1
2576.193,18.061,2.892,0.154,35.389,1336.423,4.052,11.749,0.943,6.293,1.17,121.804,297.204,1
2576.294,18.02,2.887,0.154,35.389,1335.726,4.026,11.442,0.943,6.612,1.181,123.095,301.23,1
2576.396,17.93,2.898,0.154,35.389,1335.029,3.975,11.414,0.93,6.838,1.194,122.951,304.718,1
2576.498,17.892,2.912,0.154,35.389,1335.029,3.941,11.298,0.913,6.037,1.209,121.018,306.59,1
2576.6,17.865,2.925,0.154,35.389,1334.331,3.905,11.068,0.896,6.007,1.225,118.267,306.71,1
2576.702,17.848,2.934,0.154,35.389,1327.36,4.695,11.02,0.879,5.948,1.24,116.389,306.33,1
2576.804,17.845,2.931,0.154,35.389,1318.297,4.634,11.122,0.88,5.897,1.253,115.72,305.61,1
2576.906,17.856,2.921,0.154,35.389,1309.931,4.571,11.502,0.887,5.823,1.264,115.74,304.482,1
2577.008,17.876,2.92,0.154,35.389,1299.474,4.438,11.956,0.891,5.747,1.273,115.939,303.952,1
2577.11,17.906,2.926,0.153,35.389,1296.686,4.368,12.613,0.886,5.8,1.28,115.802,304.47,1
2577.212,17.997,2.934,0.153,35.389,1299.474,4.297,12.982,0.878,6.077,1.287,115.363,305.811,1
2577.313,18.061,2.937,0.153,35.389,1307.84,4.228,13.21,0.867,6.407,1.293,114.468,307.663,1
2577.416,18.141,2.944,0.153,35.389,1324.571,4.12,12.892,0.861,6.505,1.299,112.489,309.64,1
2577.517,15.954,2.957,0.152,35.389,1329.451,4.082,12.052,0.869,6.241,1.304,109.745,310.915,1
2577.619,15.897,2.967,0.152,35.389,1331.543,4.052,12.066,0.871,5.874,1.309,107.67,310.373,1
2577.721,15.871,2.962,0.152,35.308,1330.846,4.026,12.631,0.872,5.68,1.314,108.875,308.602,1
2577.823,15.844,2.949,0.152,35.339,1320.389,3.975,13.926,0.871,5.694,1.319,112.274,307.234,1
2577.925,15.817,2.949,0.151,35.347,1317.6,3.941,15.044,0.997,5.77,1.324,115.247,306.985,1
2578.027,15.772,2.951,0.151,35.344,1317.6,3.905,15.867,0.985,5.781,1.33,116.564,307.538,1
2578.129,15.761,2.952,0.151,35.336,1316.903,3.868,15.907,0.961,5.77,1.336,116.763,308.784,1
2578.231,15.761,2.952,0.15,35.314,1318.994,3.801,15.951,0.932,5.785,1.341,115.812,309.964,1
2578.333,15.77,2.953,0.15,35.297,1321.086,3.781,16.14,0.937,5.828,1.344,113.597,310.229,1
2578.435,15.808,2.943,0.15,35.286,1322.48,3.774,16.247,0.958,5.826,1.343,110.986,308.912,1
2578.537,15.829,2.93,0.149,35.28,1323.874,3.776,16.888,0.977,5.774,1.339,110.053,306.607,1
2578.639,15.849,2.919,0.149,35.272,1324.571,3.798,17.642,0.993,5.845,1.33,111.029,304.416,1
2578.741,15.866,2.917,0.149,35.275,1324.571,3.811,18.736,0.987,6.095,1.319,112.694,301.642,1
2578.843,15.896,2.911,0.15,35.275,1322.48,3.82,19.129,0.972,6.449,1.307,113.024,297.963,1
2578.945,15.915,2.902,0.15,35.269,1320.389,3.822,18.252,0.962,6.848,1.273,106.518,296.375,1
2579.047,15.94,2.892,0.15,35.269,1312.023,3.813,16.631,0.962,7.163,1.28,105.802,298.092,1
2579.149,15.97,2.887,0.15,35.267,1308.537,3.803,14.705,0.978,7.249,1.287,106.535,300.876,1
2579.251,16.039,2.889,0.15,35.258,1306.446,3.795,13.396,0.998,7.095,1.293,108.219,305.248,1
2579.353,16.074,2.895,0.15,35.261,1305.052,3.79,12.612,1.011,6.834,1.299,108.927,310.667,1
2579.455,16.105,2.898,0.149,35.286,1302.96,3.798,12.111,1.01,6.577,1.304,106.518,313.272,1
2579.557,16.134,2.899,0.147,35.3,1303.657,3.814,12,0.999,6.399,1.309,105.802,310.785,1
2579.659,16.181,2.904,0.145,35.314,1305.052,3.833,11.935,0.99,6.314,1.314,106.535,306.709,1
2579.761,16.199,2.921,0.144,35.314,1305.052,3.856,11.921,0.994,6.275,1.319,108.219,303.276,1
2579.863,16.213,2.948,0.142,35.3,1303.657,3.888,11.698,1.025,6.253,1.324,108.927,301.133,1
2579.965,16.223,2.967,0.141,35.297,1303.657,3.893,11.966,1.039,6.249,1.33,106.665,300.204,1
2580.067,17.701,2.969,0.139,35.297,1303.657,3.888,12.609,1.043,6.237,1.336,106.518,300.849,1
2580.169,17.73,2.966,0.137,35.294,1304.354,3.875,13.706,1.034,6.201,1.341,105.802,302.467,1
2580.271,17.754,2.971,0.135,35.314,1308.537,3.833,14.876,0.984,6.182,1.344,106.535,303.932,1
2580.373,17.777,2.982,0.133,35.322,1312.72,3.811,15.135,0.959,6.241,1.343,108.219,305.193,1
2580.475,17.844,2.987,0.131,35.33,1316.206,3.788,14.189,0.945,6.291,1.339,108.927,307.052,1
2580.577,17.89,2.978,0.129,35.333,1318.297,3.765,12.646,0.941,6.172,1.33,107.615,309.435,1
2580.679,17.94,2.967,0.127,35.344,1318.297,3.712,11.114,0.957,5.893,1.319,105.917,311.365,1
2580.781,17.99,2.96,0.125,35.347,1315.509,3.682,9.936,0.96,5.609,1.307,104.927,312.051,1
2580.883,18.079,2.956,0.123,35.353,1310.629,3.652,9.506,0.956,5.423,1.133,107.688,311.487,1
2580.985,18.117,2.951,0.12,35.347,1306.446,3.621,9.599,0.944,5.338,1.128,105.759,310.33,1
2581.087,18.154,2.947,0.121,35.33,1305.749,3.567,9.822,0.925,5.313,1.125,104.134,309.057,1
2581.189,18.195,2.94,0.122,35.325,1308.537,3.547,10.09,0.926,5.322,1.123,104.049,306.671,1
2581.291,18.288,2.932,0.123,35.33,1312.023,3.534,10.736,0.936,5.339,1.121,104.436,302.793,1
2581.393,18.331,2.924,0.123,35.333,1316.206,3.528,11.2,0.953,5.357,1.12,103.968,299.527,1
2581.495,18.361,2.929,0.124,35.333,1318.994,3.526,11.786,0.976,5.41,1.12,103.186,297.872,1
2581.597,18.37,2.944,0.125,35.333,1316.206,3.529,12.389,0.978,5.508,1.121,103.925,297.375,1
2581.699,18.32,2.954,0.125,35.339,1311.326,3.533,12.609,0.969,5.666,1.122,106.537,298.543,1
2581.801,18.265,2.95,0.126,35.342,1305.749,3.539,12.45,0.954,5.933,1.123,110.114,301.498,1
2581.903,18.193,2.937,0.127,35.353,1298.777,3.551,12.491,0.95,6.268,1.125,113.087,303.671,1
2582.005,18.109,2.927,0.129,35.35,1298.08,3.55,13.676,0.961,6.524,1.127,114.378,303.685,1
2582.107,17.919,2.922,0.13,35.347,1298.08,3.548,15.47,0.977,6.608,1.131,113.053,302.153,1
2582.209,17.821,2.923,0.131,35.342,1299.474,3.54,17.44,0.993,6.581,1.136,109.701,300.524,1
2582.311,17.724,2.933,0.132,35.328,1304.354,3.516,19.358,0.996,6.534,1.136,106.554,299.122,1
2582.413,17.631,2.951,0.133,35.308,1305.052,3.503,20.432,0.982,6.506,1.133,105.577,298.064,1
2582.515,17.464,2.964,0.135,35.292,1303.657,3.491,20.801,0.968,6.493,1.128,106.336,297.895,1
2582.617,17.39,2.989,0.136,35.275,1302.96,3.483,15.541,0.962,6.479,1.125,107.496,299.03,1
2582.719,17.325,2.997,0.138,35.261,1307.84,3.472,13.559,0.97,6.451,1.123,108.316,300.998,1
2582.821,17.27,2.991,0.14,35.253,1311.326,3.467,12.796,0.986,6.422,1.121,108.848,303.657,1
2582.923,17.201,2.987,0.142,35.25,1313.417,3.46,12.323,0.993,6.399,1.12,109.259,307.595,1
2583.025,17.189,2.986,0.144,35.253,1314.811,3.448,11.824,0.99,6.345,1.12,109.636,311.634,1
2583.127,16.105,3,0.146,35.275,1312.023,3.414,11.524,0.961,6.231,1.121,109.624,314.218,1
2583.229,16.134,3,0.148,35.294,1309.932,3.395,11.376,0.943,6.095,1.122,108.993,315.065,1
2583.331,16.181,3,0.15,35.311,1307.84,3.375,11.387,0.939,6.002,1.123,108.615,314.597,1
2583.433,16.199,3,0.152,35.325,1305.749,3.357,11.141,0.944,5.974,1.125,109.563,312.994,1
2583.535,16.213,3,0.153,35.344,1309.931,3.327,11.152,0.972,5.981,1.127,111.484,311.089,1
2583.637,16.223,3,0.153,35.35,1315.509,3.311,11.316,0.98,5.995,1.131,112.776,309.149,1
2583.739,16.234,3,0.154,35.336,1320.389,3.29,11.64,0.979,6.013,1.136,112.759,307.125,1
2583.841,16.234,3,0.154,35.314,1322.48,3.268,11.749,0.97,6.029,1.121,112.673,305.909,1
2583.943,16.229,2.983,0.155,35.272,1323.177,3.227,11.442,0.93,6.036,1.12,113.79,306.191,1
2584.045,16.218,2.979,0.155,35.264,1323.177,3.208,11.414,0.917,6.047,1.12,116.427,308.018,1
2584.147,16.185,2.991,0.156,35.264,1322.48,3.19,11.298,0.91,6.068,1.121,119.362,310.652,1
2584.249,16.171,3,0.156,35.264,1323.874,3.175,11.068,0.909,6.079,1.122,111.118,312.753,1
2584.351,16.17,2.995,0.157,35.242,1327.36,3.151,11.02,0.922,6.069,1.123,110.381,312.356,1
2584.453,16.186,2.964,0.158,35.236,1326.663,3.142,11.122,0.919,6.062,1.125,107.873,308.685,1
2584.555,16.283,2.941,0.158,35.242,1326.663,3.137,11.502,0.912,6.071,1.127,104.857,304.001,1
2584.657,16.358,2.938,0.159,35.244,1326.663,3.139,11.956,0.9,6.06,1.131,100.336,301.779,1
2584.76,16.444,2.931,0.16,35.247,1325.269,3.155,12.613,0.907,6.026,1.136,105.874,300.643,1
2584.862,16.532,2.921,0.16,35.247,1323.177,3.172,12.982,0.923,6.072,1.145,108.294,298.344,1
2584.964,16.691,2.997,0.161,35.25,1323.874,3.193,13.21,0.947,6.293,1.16,107.823,295.892,1
2585.066,16.753,3,0.161,35.25,1325.966,3.214,12.892,0.967,6.612,1.183,107.855,294.074,1
2585.168,16.801,3,0.163,35.247,1325.966,3.253,12.052,0.978,6.838,1.214,110.533,292.449,1
2585.27,16.836,3,0.164,35.247,1323.177,3.271,12.066,0.971,6.861,1.251,113.951,292.989,1
2585.372,16.882,3,0.165,35.247,1321.086,3.289,12.631,0.955,6.703,1.293,115.42,296.764,1
2585.474,16.901,3,0.167,35.242,1318.994,3.306,13.926,0.944,6.445,1.333,115.677,301.246,1
2585.576,16.921,2.985,0.168,35.208,1318.297,3.344,15.044,0.947,6.159,1.364,115.156,302.678,1
2585.678,16.937,2.954,0.169,35.203,1319.691,3.365,15.867,0.962,5.891,1.383,112.866,300.866,1
2585.78,16.949,2.936,0.17,35.217,1321.086,3.387,15.907,0.905,5.706,1.389,108.538,297.661,1
2585.882,16.944,2.922,0.172,35.233,1323.177,3.41,15.951,0.914,5.678,1.384,112.866,295.354,1
2585.985,16.934,2.905,0.173,35.233,1330.846,3.479,16.14,0.925,5.777,1.373,100.336,293.697,1
2586.087,16.924,3,0.175,35.219,1337.12,3.522,16.247,0.931,5.944,1.36,105.874,292.289,1
2586.189,16.912,2.985,0.177,35.214,1342,3.576,16.888,0.932,6.126,1.347,108.294,291.521,1
2586.291,16.908,2.954,0.178,35.217,1344.091,3.637,17.642,0.914,6.235,1.336,107.823,288.639,1
2586.393,16.904,2.936,0.18,35.222,1346.183,3.77,18.736,0.908,6.286,1.326,107.855,281.239,1
2586.495,16.895,2.922,0.182,35.214,1347.577,3.834,19.129,0.906,6.341,1.314,110.533,275.638,1
2586.597,16.868,2.905,0.183,35.2,1346.88,3.89,18.252,0.911,6.393,1.303,113.951,276.003,1
2586.699,16.853,2.889,0.185,35.189,1343.394,3.934,16.631,0.932,6.406,1.289,115.42,279.704,1
2586.802,16.84,2.937,0.185,35.205,1344.091,3.98,14.705,0.926,6.368,1.273,115.677,285.963,1
2586.904,16.832,2.969,0.185,35.225,1346.183,3.983,13.396,0.909,6.302,1.255,115.156,294.89,1
2587.006,16.83,2.963,0.185,35.236,1345.486,3.973,12.612,0.882,6.252,1.237,112.866,302.184,1
2587.108,16.835,2.965,0.185,35.239,1344.789,3.948,12.111,0.836,6.219,1.22,108.538,306.314,1
2587.21,16.466,2.997,0.185,35.208,1340.606,3.878,12,0.83,6.193,1.204,100.336,309.108,1
2587.312,16.508,3,0.185,35.203,1337.817,3.838,11.935,0.834,6.199,1.189,105.874,312.167,1
2587.414,16.552,3,0.185,35.208,1332.24,3.801,11.921,0.839,6.233,1.178,108.294,314.658,1
2587.516,16.641,3,0.185,35.214,1327.36,3.771,11.698,0.832,6.249,1.17,107.823,315.1,1
2587.618,16.685,3,0.184,35.214,1324.571,3.744,11.966,0.821,6.229,1.164,107.855,314.09,1
2587.721,16.727,3,0.182,35.222,1326.663,3.747,12.609,0.802,6.274,1.159,110.533,312.453,1
2587.823,16.768,2.985,0.181,35.23,1328.754,3.76,13.706,0.786,6.411,1.157,113.951,311.654,0.999
2587.925,16.836,2.954,0.18,35.244,1328.057,3.781,14.876,0.779,6.476,1.157,115.42,313.361,0.999
2588.027,16.859,2.936,0.178,35.28,1324.571,3.83,15.135,0.791,6.499,1.159,115.677,317.401,0.999
2588.129,16.875,2.922,0.177,35.283,1323.177,3.852,14.189,0.818,6.498,1.163,115.156,321.458,0.999
2588.231,16.884,2.905,0.176,35.275,1321.783,3.87,12.646,0.85,6.469,1.17,112.866,324.364,0.999
2588.333,16.899,2.89,0.175,35.261,1321.086,3.881,11.114,0.906,6.423,1.181,108.538,325.1,0.998
2588.435,16.91,2.886,0.174,35.214,1324.571,3.866,9.936,0.925,6.34,1.194,95.108,323.21,0.998
2588.537,16.927,2.896,0.173,35.197,1329.451,3.836,9.506,0.938,6.205,1.209,100.336,320.937,0.998
2588.639,16.949,2.908,0.173,35.186,1333.634,3.787,9.599,0.951,6.065,1.225,105.874,320.871,0.998
2588.741,16.996,2.917,0.172,35.175,1337.817,3.722,9.822,0.964,5.969,1.24,108.294,322.607,0.998
2588.844,16.99,2.929,0.171,35.155,1342,3.558,10.09,0.955,5.886,1.253,107.823,326.318,0.998
2588.946,17.034,2.956,0.171,35.161,1340.606,3.473,10.736,0.936,5.795,1.264,107.855,331.827,0.998
2589.048,17.148,2.991,0.17,35.178,1336.423,3.394,11.2,0.907,5.711,1.273,110.533,336.307,0.998
2589.15,17.208,3,0.169,35.197,1330.846,3.323,11.786,0.844,5.648,1.28,113.951,339.113,0.998
2589.252,17.263,2.991,0.167,35.208,1322.48,3.213,12.389,0.829,5.595,1.287,115.42,342.456,0.998
2589.354,17.306,2.969,0.165,35.208,1317.6,3.171,12.609,0.828,5.537,1.293,115.677,347.518,0.998
2589.457,17.344,2.957,0.162,35.214,1312.023,3.133,12.45,0.84,5.486,1.299,115.156,353.539,0.998
2589.559,17.339,2.962,0.16,35.225,1308.537,3.1,12.491,0.875,5.438,1.304,112.866,357.49,0.998
2589.661,17.324,2.979,0.158,35.233,1309.234,3.037,13.676,0.886,5.362,1.309,108.538,357.758,0.998
2589.763,17.303,2.996,0.155,35.233,1309.234,3.007,15.47,0.889,5.256,1.314,111.137,355.713,0.998
2589.865,17.265,3,0.153,35.233,1307.143,2.976,17.44,0.881,5.133,1.319,110.137,351.871,0.998
2589.967,17.251,3,0.151,35.242,1305.052,2.943,19.358,0.882,5.023,1.324,109.174,346.577,0.998
2590.069,17.24,3,0.151,35.292,1300.869,2.879,20.432,0.89,5.016,1.33,108.286,342.482,0.998
2590.172,17.233,3,0.151,35.303,1297.383,2.846,20.801,0.903,5.242,1.336,107.788,340.05,0.998
2590.274,17.223,3,0.151,35.305,1294.594,2.815,15.541,0.918,5.681,1.341,108.208,337.848,0.998
2590.376,17.22,2.992,0.15,35.305,1294.594,2.785,13.559,0.93,6.173,1.344,109.469,335.993,0.997
2590.478,17.219,2.965,0.15,35.289,1300.869,2.736,12.796,0.925,6.468,1.343,110.755,334.935,0.997
2590.58,17.223,2.953,0.15,35.278,1305.749,2.717,12.323,0.912,6.452,1.339,100.336,334.702,0.997
2590.682,17.24,2.947,0.15,35.267,1312.72,2.704,11.824,0.901,6.163,1.33,105.874,334.852,0.997
2590.784,17.25,2.942,0.15,35.255,1318.994,2.694,11.524,0.901,5.797,1.319,108.294,334.439,0.997
2590.886,17.254,2.943,0.155,35.244,1328.754,2.671,11.376,0.914,5.54,1.307,107.823,333.414,0.997
2590.988,17.25,2.951,0.159,35.236,1332.937,2.653,11.387,0.924,5.503,1.295,107.855,331.814,0.997
2591.09,17.215,2.966,0.164,35.228,1335.029,2.632,11.141,0.928,5.611,1.286,110.533,330.294,0.997
2591.192,17.183,2.976,0.169,35.225,1333.634,2.612,11.152,0.909,5.802,1.28,113.951,332.174,0.997
2591.294,17.143,2.976,0.173,35.253,1328.057,2.575,11.316,0.892,6.008,1.276,115.42,338.258,0.997
2591.396,17.091,2.973,0.178,35.258,1327.36,2.562,11.64,0.883,6.141,1.275,115.677,344.574,0.997
