TVD,SP,DEV,DGA,QT,TENS,RT1,POR,RA45,AC,M4R2,GR,PE,QCAL
2360.584,83.329,34.653,-9999,0.275,1194.206,0.192,-9999,0.118,259.236,0.535,70.54,6.942,1.005
2360.686,83.29,34.653,-9999,0.274,1190.72,0.198,-9999,0.11,252.443,0.541,71.858,6.871,1.005
2360.788,83.242,34.655,-9999,0.272,1183.749,0.217,-9999,0.089,254.092,0.549,71.739,6.782,1.005
2360.89,83.196,34.664,-9999,0.271,1181.657,0.221,-9999,0.091,259.754,0.556,69.894,7.197,1.005
2360.992,83.135,34.672,-9999,0.27,1180.96,0.224,-9999,0.1,266.933,0.562,67.513,7.208,1.005
2361.094,83.119,34.68,-9999,0.268,1181.657,0.223,-9999,0.117,268.911,0.568,66.673,7.162,1.005
2361.195,83.107,34.7,-9999,0.267,1183.052,0.219,-9999,0.136,266.055,0.573,67.777,7.11,1.005
2361.297,83.097,34.703,-9999,0.263,1183.052,0.216,-9999,0.131,263.462,0.577,69.289,7.245,1.005
2361.398,83.068,34.708,-9999,0.26,1183.749,0.215,-9999,0.113,263.23,0.581,69.876,7.701,1.005
2361.5,83.044,34.717,-9999,0.256,1184.446,0.217,-9999,0.63,259.429,0.585,70.083,8.012,1.005
2361.602,83.013,34.725,-9999,0.252,1187.234,0.218,-9999,0.651,255.353,0.589,70.506,7.826,1.005
2361.703,82.975,34.719,-9999,0.249,1189.326,0.221,-9999,0.683,260.231,0.593,70.52,7.227,1.005
2361.805,82.868,34.717,-9999,0.245,1192.114,0.223,-9999,0.71,264.302,0.596,69.766,6.831,1.005
2361.906,82.791,34.714,-9999,0.241,1194.206,0.221,-9999,0.763,259.941,0.598,69.226,6.858,1.005
2362.008,82.69,34.733,-9999,0.238,1196.297,0.208,-9999,0.791,258.758,0.598,69.559,6.942,1.005
2362.11,82.561,34.747,-9999,0.236,1195.6,0.199,-9999,0.827,258.079,0.596,70.519,6.871,1.005
2362.211,82.211,34.758,-9999,0.233,1194.903,0.195,-9999,0.877,246.227,0.593,71.47,6.782,1.005
2362.313,81.997,34.775,-9999,0.231,1194.206,0.191,-9999,1.006,231.008,0.588,71.827,15.331,1.005
2362.414,81.765,34.83,-9999,0.229,1191.417,0.195,-9999,1.072,220.714,0.582,70.977,15.308,1.005
2362.516,81.524,34.853,-9999,0.227,1190.72,0.2,-9999,1.122,217.108,0.575,69.242,15.285,1.005
2362.617,81.052,34.869,-9999,0.224,1191.417,0.204,-9999,1.15,216.571,0.567,67.293,15.266,1.005
2362.719,80.838,34.875,-9999,0.222,1192.114,0.207,-9999,1.153,216.437,0.56,66.084,15.244,1.005
2362.82,80.647,34.858,-9999,0.22,1192.811,0.212,-9999,1.145,216,0.553,66.264,15.212,1.005
2362.922,80.484,34.855,-9999,0.217,1193.509,0.212,-9999,1.149,215.963,0.547,67.718,15.158,1.006
2363.023,80.228,34.85,-9999,0.214,1192.811,0.21,-9999,1.165,215.206,0.542,68.857,15.081,1.006
2363.125,80.123,34.842,-9999,0.212,1192.114,0.208,-9999,1.203,214.435,0.537,68.888,15.005,1.005
2363.226,80.024,34.825,-9999,0.209,1188.629,0.204,-9999,1.21,215.445,0.533,68.061,6.865,1.004
2363.327,79.925,34.825,-9999,0.206,1187.234,0.2,-9999,1.2,216.248,0.529,67.018,6.904,1.005
2363.428,79.723,34.83,-9999,0.204,1185.84,0.196,-9999,1.174,214.09,0.525,66.02,6.935,1.005
2363.53,79.623,34.847,-9999,0.201,1185.143,0.194,-9999,1.097,211.489,0.52,65.615,6.915,1.004
2363.631,79.526,34.867,-9999,0.198,1183.749,0.192,-9999,1.069,212.833,0.514,67.121,6.89,1.004
2363.732,79.432,34.858,-9999,0.199,1182.354,0.193,-9999,0.094,215.459,0.507,69.764,6.887,1.005
2363.833,79.237,34.844,-9999,0.2,1181.657,0.192,-9999,0.097,215.414,0.501,70.999,6.907,1.005
2363.934,79.125,34.828,-9999,0.201,1181.657,0.195,-9999,0.115,211.624,0.496,70.644,6.922,1.004
2364.035,78.998,34.817,-9999,0.202,1183.052,0.204,-9999,0.168,206.39,0.492,70.221,6.9,1.004
2364.136,78.852,34.814,-9999,0.203,1182.354,0.207,-9999,0.187,202.337,0.488,70.178,6.841,1.004
2364.237,78.514,34.817,-9999,0.204,1183.052,0.21,-9999,0.19,202.035,0.486,68.552,6.828,1.004
2364.338,78.329,34.819,-9999,0.205,1185.143,0.21,-9999,0.175,205.299,0.485,65.052,6.939,1.005
2364.439,78.139,34.85,-9999,0.206,1184.446,0.215,-9999,0.111,211.831,0.485,62.404,7.089,1.005
2364.541,77.945,34.878,-9999,0.209,1182.354,0.217,-9999,0.63,219.443,0.487,61.646,7.226,1.004
2364.642,77.539,34.922,-9999,0.212,1180.263,0.219,-9999,0.651,224.565,0.49,62.063,7.364,1.003
2364.743,77.316,34.967,-9999,0.215,1178.869,0.22,-9999,0.683,225.836,0.494,63.474,7.49,1.003
2364.844,77.071,35.03,-9999,0.218,1176.777,0.22,-9999,0.71,225.823,0.5,65.822,7.574,1.003
2364.945,76.799,35.044,-9999,0.221,1176.777,0.219,-9999,0.763,225.119,0.506,67.625,7.628,1.003
2365.046,76.163,35.05,-9999,0.224,1178.172,0.217,-9999,0.791,224.597,0.512,67.947,7.604,1.003
2365.146,75.797,35.055,2.709,0.227,1180.263,0.215,27.248,0.827,224.929,0.518,67.635,7.415,1.003
2365.248,75.398,35.064,2.709,0.23,1183.749,0.21,27.248,0.877,227.872,0.524,67.776,7.208,1.003
2365.348,74.963,35.061,2.709,0.235,1186.537,0.207,27.421,1.006,236.752,0.528,68.361,7.104,1.003
2365.449,73.963,35.067,2.71,0.24,1189.326,0.204,27.525,1.072,247.467,0.532,69.16,7.046,1.003
2365.55,73.382,35.08,2.711,0.245,1190.72,0.202,27.457,1.122,256.254,0.536,70.038,7.02,1.004
2365.651,72.732,35.125,2.713,0.249,1198.389,0.199,27.322,1.15,267.129,0.539,70.94,7.049,1.004
2365.752,72.004,35.15,2.717,0.254,1197.691,0.199,26.841,1.153,279.924,0.545,72.053,7.11,1.004
2365.853,70.294,35.169,2.725,0.259,1194.903,0.199,25.75,1.145,289.791,0.553,73.634,7.149,1.004
2365.954,69.321,35.189,2.733,0.264,1191.417,0.2,24.475,1.149,299.137,0.566,74.785,7.164,1.005
2366.054,68.287,35.228,2.74,0.268,1181.657,0.204,22.929,1.165,308.84,0.589,74.579,7.194,1.006
2366.155,67.211,35.239,2.749,0.277,1175.383,0.204,20.471,1.203,318.718,0.625,73.422,7.226,1.006
2366.256,65.009,35.25,2.76,0.286,1168.411,0.202,17.59,1.21,329.843,0.685,72.494,7.217,1.006
2366.357,63.924,35.269,2.763,0.295,1165.623,0.194,16.822,1.2,338.244,0.783,72.604,7.197,1.006
2366.458,62.88,35.314,2.749,0.304,1162.137,0.183,20.248,1.174,345.001,0.934,72.638,7.208,1.006
2366.559,61.907,35.336,2.72,0.313,1161.44,0.18,26.079,1.097,356.631,1.165,71.138,7.162,1.007
2366.659,60.254,35.361,2.69,0.322,1160.743,0.176,30.763,1.069,370.114,1.454,67.503,7.11,1.007
2366.76,59.559,35.386,2.676,0.33,1159.349,0.174,32.606,0.163,382.042,1.698,65.174,7.245,1.007
2366.861,58.892,35.447,2.679,0.339,1159.349,0.178,32.785,0.27,391.886,1.693,67.879,7.701,1.008
2366.962,58.178,35.475,2.697,0.301,1160.743,0.187,31.977,0.359,394.085,1.462,75.898,8.012,1.007
2367.063,56.306,35.489,2.745,0.263,1163.531,0.199,27.389,0.463,388.621,1.172,85.283,7.826,1.007
2367.163,55.044,35.503,2.8,0.225,1167.714,0.212,20.87,0.567,379.238,0.951,92.589,7.227,1.006
2367.264,53.547,35.544,2.829,0.187,1176.08,0.232,17.249,0.743,368.112,0.808,96.033,6.831,1.006
2367.365,51.83,35.555,2.833,0.149,1180.96,0.245,16.766,0.799,360.821,0.732,96.472,6.858,1.006
2367.466,47.876,35.561,2.818,0.111,1185.143,0.262,18.67,0.834,358.606,0.701,94.72,6.942,1.006
2367.567,45.731,35.558,2.793,0.073,1189.326,0.277,21.696,0.852,357.952,0.7,91.756,6.871,1.005
2367.667,43.558,35.53,2.769,0.035,1192.114,0.289,24.554,0.847,358.851,0.72,88.691,6.782,1.005
2367.768,41.446,35.528,2.76,0.034,1192.811,0.286,25.642,0.828,364.629,0.747,87.434,11.806,1.004
2367.869,37.777,35.53,2.765,0.033,1192.811,0.279,25.05,0.787,378.41,0.772,88.125,12.879,1.001
2367.97,36.365,35.528,2.775,0.032,1192.811,0.269,23.824,0.725,394.714,0.781,89.504,13.496,1.001
2368.071,35.264,35.564,2.777,0.03,1195.6,0.255,23.587,0.575,408.613,0.773,89.763,13.634,1.001
2368.172,34.445,35.592,2.776,0.029,1198.389,0.254,23.773,0.505,414.882,0.748,89.56,13.38,1.001
2368.272,33.394,35.628,2.78,0.028,1200.48,0.261,23.226,0.455,410.596,0.713,90.154,12.834,1.001
2368.373,33.036,35.667,2.791,0.027,1201.874,0.284,21.894,0.427,400.132,0.677,91.553,12.307,1.001
2368.474,32.734,35.714,2.802,0.026,1202.571,0.391,20.612,0.416,389.107,0.648,92.845,12.062,1.001
2368.575,32.465,35.728,2.804,0.026,1201.177,0.479,20.278,0.418,376.776,0.631,93.174,11.83,1.001
2368.676,31.984,35.742,2.797,0.025,1199.086,0.587,21.137,0.415,367.97,0.626,92.322,11.452,1.001
2368.776,31.756,35.747,2.793,0.025,1198.389,0.716,21.689,0.407,362.439,0.638,91.763,10.887,1.001
2368.877,31.525,35.736,2.807,0.025,1201.177,1.047,19.654,0.384,353.011,0.665,93.192,10.309,1.001
2368.978,31.283,35.719,2.831,0.025,1200.48,1.249,15.597,0.39,340.931,0.706,96.131,9.811,1.001
2369.079,30.715,35.697,2.855,0.024,1200.48,1.467,12.421,0.411,330.789,0.765,99.158,9.368,1.001
2369.18,30.364,35.697,2.861,0.024,1201.874,1.699,11.261,0.446,321.86,0.837,99.97,8.945,1.001
2369.282,29.958,35.697,2.844,0.024,1200.48,2.171,12.089,0.548,316.419,0.922,98.198,8.547,1.001
2369.383,29.5,35.697,2.816,0.024,1197.691,2.394,13.484,0.597,315.327,1.015,94.8,8.172,1.001
2369.485,28.493,35.697,2.799,0.024,1195.6,2.599,14.021,0.64,316.957,1.111,92.178,7.837,1.001
2369.586,27.998,35.697,2.801,0.024,1195.6,2.776,13.557,0.67,320.207,1.2,92.039,7.592,1.001
2369.688,27.545,35.697,2.82,0.024,1196.994,3.011,12.385,0.719,323.877,1.277,94.329,7.395,1.001
2369.789,27.157,35.697,2.844,0.024,1199.086,3.064,11.096,0.755,326.953,1.337,97.025,7.217,1.001
2369.891,26.613,35.697,2.863,0.024,1201.177,3.079,9.902,0.795,330.421,1.38,99.144,7.077,1.001
2369.992,26.461,35.697,2.88,0.024,1203.269,3.052,8.266,0.837,334.472,1.411,101.162,6.975,1.001
2370.094,26.382,35.697,2.9,0.024,1205.36,2.913,3.83,0.888,338.271,1.433,103.974,6.906,1.001
2370.195,26.367,35.697,2.926,0.024,1206.057,2.824,0.305,0.887,341.534,1.45,106.791,6.846,1.001
2370.297,26.488,35.697,2.941,0.024,1205.36,2.733,0.02,0.875,342.751,1.464,107.934,6.777,1.001
2370.398,26.608,35.697,2.934,0.024,1203.269,2.645,0.046,0.865,339.626,1.478,107.447,6.706,1.001
2370.5,26.759,35.697,2.93,0.024,1202.571,2.497,0.124,0.868,335.27,1.493,107.176,6.655,1.001
2370.601,26.937,35.697,2.95,0.024,1203.966,2.441,0.017,0.882,332.262,1.509,108.543,6.623,1.001
2370.703,27.364,35.697,2.976,0.024,1205.36,2.398,0.008,0.904,328.72,1.529,110.308,6.601,1.001
2370.804,27.612,35.503,2.975,0.024,1206.057,2.367,0.008,0.922,324.71,1.551,110.29,6.581,1.001
2370.906,27.881,35.519,2.932,0.023,1207.451,2.331,0.022,0.929,322.874,1.574,107.579,6.552,1.001
2371.007,28.172,35.505,2.898,0.023,1205.36,2.325,3.225,0.919,322.031,1.599,104.217,6.503,1.001
2371.109,28.814,35.505,2.888,0.023,1201.874,2.331,5.545,0.907,320.117,1.623,102.828,6.466,1.001
2371.211,29.163,35.519,2.892,0.023,1197.691,2.352,4.894,0.902,318.16,1.646,103.242,6.458,1.001
2371.313,29.534,35.561,2.897,0.023,1188.629,2.432,3.778,0.937,317.516,1.666,103.9,6.451,1.001
2371.414,29.932,35.575,2.9,0.023,1182.354,2.486,3.272,0.97,317.23,1.684,104.191,6.4,1.001
2371.516,30.848,35.58,2.912,0.023,1176.08,2.543,1.442,1.002,316.424,1.699,105.48,6.381,1.001
2371.618,31.378,35.58,2.937,0.023,1171.897,2.607,0.021,1.021,315.871,1.71,107.697,6.519,1.001
2371.719,31.957,35.592,2.954,0.023,1165.623,2.733,0.016,1.007,315.776,1.715,108.793,6.77,1.001
2371.821,32.583,35.597,2.935,0.024,1164.926,2.791,0.031,0.977,315.62,1.715,107.526,7.082,1.001
2371.923,33.971,35.592,2.905,0.025,1166.32,2.838,2.272,0.951,315.67,1.708,104.907,7.322,1.001
2372.024,34.74,35.583,2.889,0.026,1169.806,2.878,4.724,0.935,315.646,1.695,103.382,7.364,1.001
2372.126,35.57,35.578,2.893,0.027,1178.869,2.941,3.449,0.942,315.42,1.68,104.11,7.282,1.001
2372.228,36.475,35.592,2.902,0.027,1183.052,2.965,1.46,0.957,316.431,1.667,105.424,7.195,1.001
2372.329,38.566,35.611,2.893,0.028,1186.537,2.991,2.097,0.964,319.502,1.662,104.853,7.035,1.001
2372.431,39.774,35.628,2.872,0.029,1187.234,3.023,5.075,0.959,322.71,1.67,102.753,7.1,1.001
2372.533,41.097,35.647,2.857,0.03,1187.234,3.123,6.808,0.924,325.013,1.696,101.214,7.407,1.001
2372.634,42.527,35.655,2.854,0.03,1186.537,3.196,6.241,0.914,325.826,1.74,101.389,7.586,1.001
2372.736,45.671,35.667,2.855,0.031,1185.84,3.282,3.356,0.92,320.988,1.804,102.892,7.43,1.001
2372.837,47.36,35.683,2.843,0.031,1185.143,3.382,0.561,0.946,309.307,1.884,104.707,7.406,1.001
2372.939,49.113,35.7,2.845,0.032,1183.052,3.59,0.031,1.048,299.906,1.975,105.447,7.413,1.001
2373.041,50.921,35.705,2.857,0.032,1182.354,3.691,1.609,1.092,294.922,2.07,103.54,7.373,1.001
2373.142,54.649,35.711,2.83,0.032,1182.354,3.776,5.594,1.123,292.711,2.157,98.684,7.292,1.001
2373.244,56.524,35.711,2.792,0.033,1182.354,3.833,8.271,1.136,299.188,2.22,93.168,7.104,1.001
2373.345,58.361,35.705,2.766,0.033,1182.354,3.855,10.752,1.101,310.331,2.241,88.73,6.907,1.001
2373.447,60.116,35.7,2.752,0.033,1182.354,3.819,12.647,1.069,313.331,2.21,86.116,6.953,1.001
2373.548,63.179,35.686,2.751,0.033,1182.354,3.754,13.857,1.033,310.234,2.12,85.237,7.339,1.001
2373.65,64.407,35.672,2.756,0.033,1182.354,3.667,14.678,1.001,308.543,1.985,85.304,7.729,1.001
2373.751,65.41,35.653,2.754,0.033,1180.96,3.475,15.774,0.94,307.728,1.829,84.337,7.861,1.001
2373.853,66.198,35.658,2.734,0.033,1180.96,3.393,17.839,0.905,311.942,1.676,80.91,7.877,1.001
2373.954,67.263,35.678,2.704,0.033,1180.96,3.339,20.637,0.869,328.358,1.543,75.284,7.95,1.001
2374.056,67.634,35.7,2.678,0.033,1182.354,3.322,23.217,0.829,351.97,1.44,70.277,8.04,1.001
2374.157,67.97,35.75,2.665,0.033,1186.537,3.386,24.51,0.791,367.402,1.374,67.879,8.048,1.001
2374.259,68.322,35.769,2.665,0.033,1187.234,3.455,24.326,0.803,372.335,1.341,68.096,7.984,1.001
2374.361,69.252,35.78,2.673,0.032,1187.234,3.539,23.118,0.832,368.994,1.338,69.551,7.939,1.001
2374.462,69.888,35.78,2.686,0.032,1186.537,3.627,21.644,0.873,356.44,1.362,72.65,7.967,1.001
2374.563,70.657,35.772,2.708,0.032,1183.052,3.783,20.066,0.927,338.779,1.402,78.053,8.017,1.001
2374.665,71.556,35.764,2.734,0.031,1181.657,3.837,18.422,0.931,329.311,1.451,83.852,8.064,1.001
2374.766,73.669,35.764,2.759,0.031,1180.96,3.872,16.863,0.916,330.722,1.494,88.258,8.083,1.001
2374.868,74.819,35.767,2.778,0.03,1180.96,3.885,15.672,0.887,336.73,1.521,91.073,8.064,1.001
2374.969,75.981,35.753,2.792,0.03,1181.657,3.875,15.101,0.833,341.902,1.523,92.854,8.061,1.001
2375.071,77.12,35.758,2.768,0.029,1181.657,3.855,17.478,0.813,346.635,1.499,92.854,8.106,1.001
2375.172,79.243,35.772,2.756,0.028,1181.657,3.828,19.197,0.803,347.02,1.457,91.002,8.165,1.001
2375.273,80.212,35.789,2.739,0.027,1180.263,3.794,21.144,0.792,340.372,1.404,88.435,8.221,1.001
2375.375,81.121,35.817,2.723,0.026,1177.474,3.709,22.758,0.74,332.389,1.348,86.028,8.278,1.002
2375.476,81.969,35.811,2.709,0.026,1177.474,3.668,24.056,0.703,327.418,1.295,83.328,8.341,1.002
2375.578,83.451,35.803,2.697,0.025,1179.566,3.632,25.026,0.663,323.283,1.247,80.446,8.394,1.002
2375.679,84.061,35.8,2.69,0.024,1182.354,3.616,25.642,0.636,322.249,1.202,78.664,8.431,1.002
2375.781,84.571,35.792,2.687,0.023,1186.537,3.676,26.075,0.63,327.045,1.162,78.188,8.462,1.002
2375.882,84.984,35.783,2.679,0.023,1187.932,3.78,26.367,0.651,335.364,1.129,77.905,8.501,1.003
2375.983,85.567,35.775,2.681,0.023,1188.629,3.949,26.886,0.683,345.392,1.103,76.86,8.539,1.004
2376.084,85.775,35.769,2.677,0.023,1186.537,4.178,26.748,0.71,351.621,1.093,75.787,8.567,1.004
2376.186,85.95,35.769,2.675,0.022,1178.869,4.772,25.423,0.763,351.269,1.102,76.174,8.593,1.004
2376.287,86.103,35.775,2.676,0.022,1174.686,5.092,22.859,0.791,344.815,1.136,78.165,8.624,1.004
2376.389,86.346,35.78,2.66,0.022,1171.2,5.399,18.994,0.827,331.184,1.206,80.387,8.66,1.003
2376.49,86.43,35.78,2.647,0.022,1167.714,5.673,15.541,0.877,310.874,1.316,81.222,8.689,1.002
2376.592,86.485,35.767,2.655,0.022,1164.229,6.067,13.559,1.006,291.206,1.471,80.722,8.71,1.002
2376.693,86.512,35.761,2.675,0.022,1163.531,6.171,12.796,1.072,275.836,1.684,79.745,8.722,1.002
2376.794,86.494,35.755,2.681,0.021,1163.531,6.218,12.323,1.122,262.119,1.946,79.248,8.725,1.003
2376.896,86.452,35.758,2.678,0.021,1164.229,6.221,11.824,1.15,252.312,2.243,79.456,8.73,1.005
2376.997,86.39,35.764,2.68,0.021,1166.32,6.147,11.524,1.153,248.607,2.541,80.094,8.747,1.005
2377.099,86.305,35.767,2.68,0.021,1167.714,6.09,11.376,1.145,247.981,2.794,80.867,8.774,1.005
2377.2,86.061,35.775,2.688,0.021,1169.109,6.025,11.387,1.149,246.195,2.961,82.032,8.797,1.005
2377.302,85.901,35.78,2.691,0.021,1171.2,5.954,11.141,1.165,243.958,3.023,83.17,8.793,1.006
2377.403,85.719,35.78,2.693,0.021,1171.897,5.81,11.152,1.203,243.034,3.001,83.111,8.754,1.006
2377.504,85.518,35.775,2.684,0.021,1171.897,5.741,11.316,1.21,243.731,2.919,81.727,8.721,1.006
2377.606,85.075,35.769,2.679,0.022,1171.2,5.677,11.64,1.2,245.143,2.813,80.596,8.744,1.006
2377.707,84.836,35.775,2.684,0.022,1170.503,5.62,11.749,1.174,246.411,2.704,81.201,8.797,1.006
2377.809,84.586,35.792,2.688,0.022,1167.017,5.559,11.442,1.097,247.749,2.611,82.834,8.787,1.006
2377.91,84.323,35.8,2.7,0.023,1166.32,5.565,11.414,1.069,248.633,2.54,84.168,8.7,1.005
2378.011,83.756,35.811,2.702,0.023,1166.32,5.604,11.298,1.059,248.132,2.494,85.036,8.646,1.005
2378.113,83.453,35.819,2.7,0.023,1166.32,5.677,11.068,1.066,247.19,2.475,85.682,8.668,1.005
2378.214,83.139,35.825,2.703,0.023,1164.926,5.912,11.02,1.102,246.477,2.479,85.985,8.592,1.005
2378.316,82.82,35.828,2.705,0.024,1164.926,6.075,11.122,1.11,245.263,2.505,85.989,8.295,1.005
2378.417,82.179,35.825,2.709,0.024,1164.926,6.261,11.502,1.106,243.667,2.55,86.114,8.007,1.005
2378.518,81.868,35.822,2.708,0.024,1164.926,6.461,11.956,1.092,243.861,2.609,86.529,7.895,1.005
2378.62,81.566,35.819,2.714,0.024,1164.926,6.86,12.613,1.08,248.195,2.679,86.777,7.886,1.005
2378.721,81.273,35.817,2.704,0.024,1166.32,7.046,12.982,1.094,254.607,2.755,85.782,7.889,1.005
2378.823,80.704,35.814,2.7,0.024,1167.714,7.214,13.21,1.123,258.389,2.83,84.418,7.905,1.005
2378.924,80.423,35.814,2.702,0.024,1168.411,7.357,12.892,1.162,258.577,2.903,84.275,7.955,1.005
2379.025,80.142,35.83,2.699,0.024,1168.411,7.552,12.052,1.219,256.176,2.972,85.257,8.008,1.004
2379.126,79.865,35.839,2.706,0.024,1168.411,7.582,12.066,1.224,250.857,3.042,85.289,8.01,1.004
2379.228,79.334,35.842,2.693,0.024,1168.411,7.57,12.631,1.211,245.141,3.113,83.598,7.998,1.004
2379.329,79.083,35.842,2.685,0.024,1167.017,7.525,13.926,1.19,243.334,3.185,81.323,8.061,1.004
2379.431,78.841,35.853,2.679,0.024,1165.623,7.338,15.044,1.147,246.321,3.248,80.104,8.181,1.005
2379.532,78.604,35.864,2.687,0.024,1165.623,7.2,15.867,1.134,252.305,3.283,80.251,8.245,1.004
2379.633,78.121,35.872,2.689,0.024,1165.623,7.046,15.907,1.119,260.581,3.273,81.11,8.22,1.004
2379.735,77.86,35.872,2.691,0.024,1165.623,6.886,15.951,1.098,270.212,3.201,81.501,8.186,1.004
2379.836,77.576,35.867,2.69,0.024,1165.623,6.59,16.14,1.035,278.459,3.064,81.045,8.183,1.004
2379.937,77.265,35.869,2.68,0.025,1164.926,6.483,16.247,0.991,283.484,2.881,80.269,8.127,1.004
2380.039,76.561,35.875,2.685,0.027,1164.229,6.415,16.888,0.945,285.924,2.673,79.906,7.938,1.004
2380.14,76.174,35.88,2.683,0.028,1162.834,6.386,17.642,0.914,287.252,2.469,79.725,7.685,1.004
2380.241,75.771,35.897,2.685,0.029,1161.44,6.493,18.736,0.904,288.439,2.285,78.945,7.49,1.004
2380.343,75.358,35.908,2.678,0.031,1161.44,6.638,19.129,0.921,289.501,2.138,77.661,7.368,1.004
2380.444,74.524,35.919,2.672,0.032,1162.137,6.831,18.252,0.941,288.848,2.03,76.967,7.307,1.004
