DGA,QT,RT1,POR,RA45,PE,M4R2,QCAL
2.928,0.231,0.191,0.022,0.044,15.331,0.588,1.005
2.928,0.229,0.195,0.022,0.043,15.308,0.582,1.005
2.928,0.227,0.2,0.022,0.06,15.285,0.575,1.005
2.928,0.224,0.204,0.022,0.083,15.266,0.567,1.005
2.928,0.222,0.207,0.022,0.095,15.244,0.56,1.005
2.928,0.22,0.212,0.022,0.089,15.212,0.553,1.005
2.928,0.217,0.212,0.022,0.072,15.158,0.547,1.006
2.928,0.214,0.21,0.022,0.057,15.081,0.542,1.006
2.928,0.212,0.208,0.022,0.057,15.005,0.537,1.005
2.928,0.209,0.204,0.022,0.085,14.963,0.533,1.004
2.928,0.206,0.2,0.022,0.109,14.95,0.529,1.005
2.928,0.204,0.196,0.022,0.125,14.94,0.525,1.005
2.928,0.201,0.194,0.022,0.129,14.914,0.52,1.004
2.928,0.198,0.192,0.022,0.105,14.877,0.514,1.004
2.928,0.199,0.193,0.022,0.094,14.861,0.507,1.005
2.928,0.2,0.192,0.022,0.097,14.89,0.501,1.005
2.928,0.201,0.195,0.022,0.115,14.934,0.496,1.004
2.928,0.202,0.204,0.022,0.168,14.941,0.492,1.004
2.928,0.203,0.207,0.022,0.187,14.922,0.488,1.004
2.928,0.204,0.21,0.022,0.19,14.925,0.486,1.004
2.928,0.205,0.21,0.022,0.175,14.98,0.485,1.005
2.928,0.206,0.215,0.022,0.111,15.076,0.485,1.005
2.928,0.209,0.217,0.022,0.086,15.186,0.487,1.004
2.928,0.212,0.219,0.022,0.073,15.281,0.49,1.003
2.928,0.215,0.22,0.022,0.081,15.354,0.494,1.003
2.928,0.218,0.22,0.022,0.125,15.423,0.5,1.003
2.928,0.221,0.219,0.022,0.132,15.504,0.506,1.003
2.928,0.224,0.217,0.022,0.124,15.592,0.512,1.003
2.709,0.227,0.215,27.248,0.104,15.674,0.518,1.003
2.709,0.23,0.21,27.248,0.062,15.75,0.524,1.003
2.709,0.235,0.207,27.421,0.059,15.818,0.528,1.003
2.71,0.24,0.204,27.525,0.072,15.854,0.532,1.003
2.711,0.245,0.202,27.457,0.096,15.822,0.536,1.004
2.713,0.249,0.199,27.322,0.129,15.75,0.539,1.004
2.717,0.254,0.199,26.841,0.128,15.796,0.545,1.004
2.725,0.259,0.199,25.75,0.112,15.994,0.553,1.004
2.733,0.264,0.2,24.475,0.085,16.128,0.566,1.005
2.74,0.268,0.204,22.929,0.052,16.048,0.589,1.006
2.749,0.277,0.204,20.471,0.056,15.859,0.625,1.006
2.76,0.286,0.202,17.59,0.074,15.751,0.685,1.006
2.763,0.295,0.194,16.822,0.099,15.676,0.783,1.006
2.749,0.304,0.183,20.248,0.135,15.067,0.934,1.006
2.72,0.313,0.18,26.079,0.14,13.219,1.165,1.007
2.69,0.322,0.176,30.763,0.143,11.02,1.454,1.007
2.676,0.33,0.174,32.606,0.163,9.739,1.698,1.007
2.679,0.339,0.178,32.785,0.27,9.399,1.693,1.008
2.697,0.301,0.187,31.977,0.359,9.291,1.462,1.007
2.745,0.263,0.199,27.389,0.463,9.166,1.172,1.007
2.8,0.225,0.212,20.87,0.567,9.124,0.951,1.006
2.829,0.187,0.232,17.249,0.743,9.302,0.808,1.006
2.833,0.149,0.245,16.766,0.799,9.585,0.732,1.006
2.818,0.111,0.262,18.67,0.834,9.679,0.701,1.006
2.793,0.073,0.277,21.696,0.852,9.8,0.7,1.005
2.769,0.035,0.289,24.554,0.847,10.611,0.72,1.005
2.76,0.034,0.286,25.642,0.828,11.806,0.747,1.004
2.765,0.033,0.279,25.05,0.787,12.879,0.772,1.001
2.775,0.032,0.269,23.824,0.725,13.496,0.781,1.001
2.777,0.03,0.255,23.587,0.575,13.634,0.773,1.001
2.776,0.029,0.254,23.773,0.505,13.38,0.748,1.001
2.78,0.028,0.261,23.226,0.455,12.834,0.713,1.001
2.791,0.027,0.284,21.894,0.427,12.307,0.677,1.001
2.802,0.026,0.391,20.612,0.416,12.062,0.648,1.001
2.804,0.026,0.479,20.278,0.418,11.83,0.631,1.001
2.797,0.025,0.587,21.137,0.415,11.452,0.626,1.001
2.793,0.025,0.716,21.689,0.407,10.887,0.638,1.001
2.807,0.025,1.047,19.654,0.384,10.309,0.665,1.001
2.831,0.025,1.249,15.597,0.39,9.811,0.706,1.001
2.855,0.024,1.467,12.421,0.411,9.368,0.765,1.001
2.861,0.024,1.699,11.261,0.446,8.945,0.837,1.001
2.844,0.024,2.171,12.089,0.548,8.547,0.922,1.001
2.816,0.024,2.394,13.484,0.597,8.172,1.015,1.001
2.799,0.024,2.599,14.021,0.64,7.837,1.111,1.001
2.801,0.024,2.776,13.557,0.67,7.592,1.2,1.001
2.82,0.024,3.011,12.385,0.719,7.395,1.277,1.001
2.844,0.024,3.064,11.096,0.755,7.217,1.337,1.001
2.863,0.024,3.079,9.902,0.795,7.077,1.38,1.001
2.88,0.024,3.052,8.266,0.837,6.975,1.411,1.001
2.9,0.024,2.913,3.83,0.888,6.906,1.433,1.001
2.926,0.024,2.824,0.305,0.887,6.846,1.45,1.001
2.941,0.024,2.733,0.02,0.875,6.777,1.464,1.001
2.934,0.024,2.645,0.046,0.865,6.706,1.478,1.001
2.93,0.024,2.497,0.124,0.868,6.655,1.493,1.001
2.95,0.024,2.441,0.017,0.882,6.623,1.509,1.001
2.976,0.024,2.398,0.008,0.904,6.601,1.529,1.001
2.975,0.024,2.367,0.008,0.922,6.581,1.551,1.001
2.932,0.023,2.331,0.022,0.929,6.552,1.574,1.001
2.898,0.023,2.325,3.225,0.919,6.503,1.599,1.001
2.888,0.023,2.331,5.545,0.907,6.466,1.623,1.001
2.892,0.023,2.352,4.894,0.902,6.458,1.646,1.001
2.897,0.023,2.432,3.778,0.937,6.451,1.666,1.001
2.9,0.023,2.486,3.272,0.97,6.4,1.684,1.001
2.912,0.023,2.543,1.442,1.002,6.381,1.699,1.001
2.937,0.023,2.607,0.021,1.021,6.519,1.71,1.001
2.954,0.023,2.733,0.016,1.007,6.77,1.715,1.001
2.935,0.024,2.791,0.031,0.977,7.082,1.715,1.001
2.905,0.025,2.838,2.272,0.951,7.322,1.708,1.001
2.889,0.026,2.878,4.724,0.935,7.364,1.695,1.001
2.893,0.027,2.941,3.449,0.942,7.282,1.68,1.001
2.902,0.027,2.965,1.46,0.957,7.195,1.667,1.001
2.893,0.028,2.991,2.097,0.964,7.035,1.662,1.001
2.872,0.029,3.023,5.075,0.959,7.1,1.67,1.001
2.857,0.03,3.123,6.808,0.924,7.407,1.696,1.001
2.854,0.03,3.196,6.241,0.914,7.586,1.74,1.001
2.855,0.031,3.282,3.356,0.92,7.43,1.804,1.001
2.843,0.031,3.382,0.561,0.946,7.406,1.884,1.001
2.845,0.032,3.59,0.031,1.048,7.413,1.975,1.001
2.857,0.032,3.691,1.609,1.092,7.373,2.07,1.001
2.83,0.032,3.776,5.594,1.123,7.292,2.157,1.001
2.792,0.033,3.833,8.271,1.136,7.104,2.22,1.001
2.766,0.033,3.855,10.752,1.101,6.907,2.241,1.001
2.752,0.033,3.819,12.647,1.069,6.953,2.21,1.001
2.751,0.033,3.754,13.857,1.033,7.339,2.12,1.001
2.756,0.033,3.667,14.678,1.001,7.729,1.985,1.001
2.754,0.033,3.475,15.774,0.94,7.861,1.829,1.001
2.734,0.033,3.393,17.839,0.905,7.877,1.676,1.001
2.704,0.033,3.339,20.637,0.869,7.95,1.543,1.001
2.678,0.033,3.322,23.217,0.829,8.04,1.44,1.001
2.665,0.033,3.386,24.51,0.791,8.048,1.374,1.001
2.665,0.033,3.455,24.326,0.803,7.984,1.341,1.001
2.673,0.032,3.539,23.118,0.832,7.939,1.338,1.001
2.686,0.032,3.627,21.644,0.873,7.967,1.362,1.001
2.708,0.032,3.783,20.066,0.927,8.017,1.402,1.001
2.734,0.031,3.837,18.422,0.931,8.064,1.451,1.001
2.759,0.031,3.872,16.863,0.916,8.083,1.494,1.001
2.778,0.03,3.885,15.672,0.887,8.064,1.521,1.001
2.792,0.03,3.875,15.101,0.833,8.061,1.523,1.001
2.768,0.029,3.855,17.478,0.813,8.106,1.499,1.001
2.756,0.028,3.828,19.197,0.803,8.165,1.457,1.001
2.739,0.027,3.794,21.144,0.792,8.221,1.404,1.001
2.723,0.026,3.709,22.758,0.74,8.278,1.348,1.002
2.709,0.026,3.668,24.056,0.703,8.341,1.295,1.002
2.697,0.025,3.632,25.026,0.663,8.394,1.247,1.002
2.69,0.024,3.616,25.642,0.636,8.431,1.202,1.002
2.687,0.023,3.676,26.075,0.63,8.462,1.162,1.002
2.679,0.023,3.78,26.367,0.651,8.501,1.129,1.003
2.681,0.023,3.949,26.886,0.683,8.539,1.103,1.004
2.677,0.023,4.178,26.748,0.71,8.567,1.093,1.004
2.675,0.022,4.772,25.423,0.763,8.593,1.102,1.004
2.676,0.022,5.092,22.859,0.791,8.624,1.136,1.004
2.66,0.022,5.399,18.994,0.827,8.66,1.206,1.003
2.647,0.022,5.673,15.541,0.877,8.689,1.316,1.002
2.655,0.022,6.067,13.559,1.006,8.71,1.471,1.002
2.675,0.022,6.171,12.796,1.072,8.722,1.684,1.002
2.681,0.021,6.218,12.323,1.122,8.725,1.946,1.003
2.678,0.021,6.221,11.824,1.15,8.73,2.243,1.005
2.68,0.021,6.147,11.524,1.153,8.747,2.541,1.005
2.68,0.021,6.09,11.376,1.145,8.774,2.794,1.005
2.688,0.021,6.025,11.387,1.149,8.797,2.961,1.005
2.691,0.021,5.954,11.141,1.165,8.793,3.023,1.006
2.693,0.021,5.81,11.152,1.203,8.754,3.001,1.006
2.684,0.021,5.741,11.316,1.21,8.721,2.919,1.006
2.679,0.022,5.677,11.64,1.2,8.744,2.813,1.006
2.684,0.022,5.62,11.749,1.174,8.797,2.704,1.006
2.688,0.022,5.559,11.442,1.097,8.787,2.611,1.006
2.7,0.023,5.565,11.414,1.069,8.7,2.54,1.005
2.702,0.023,5.604,11.298,1.059,8.646,2.494,1.005
2.7,0.023,5.677,11.068,1.066,8.668,2.475,1.005
2.703,0.023,5.912,11.02,1.102,8.592,2.479,1.005
2.705,0.024,6.075,11.122,1.11,8.295,2.505,1.005
2.709,0.024,6.261,11.502,1.106,8.007,2.55,1.005
2.708,0.024,6.461,11.956,1.092,7.895,2.609,1.005
2.714,0.024,6.86,12.613,1.08,7.886,2.679,1.005
2.704,0.024,7.046,12.982,1.094,7.889,2.755,1.005
2.7,0.024,7.214,13.21,1.123,7.905,2.83,1.005
2.702,0.024,7.357,12.892,1.162,7.955,2.903,1.005
2.699,0.024,7.552,12.052,1.219,8.008,2.972,1.004
2.706,0.024,7.582,12.066,1.224,8.01,3.042,1.004
2.693,0.024,7.57,12.631,1.211,7.998,3.113,1.004
2.685,0.024,7.525,13.926,1.19,8.061,3.185,1.004
2.679,0.024,7.338,15.044,1.147,8.181,3.248,1.005
2.687,0.024,7.2,15.867,1.134,8.245,3.283,1.004
2.689,0.024,7.046,15.907,1.119,8.22,3.273,1.004
2.691,0.024,6.886,15.951,1.098,8.186,3.201,1.004
2.69,0.024,6.59,16.14,1.035,8.183,3.064,1.004
2.68,0.025,6.483,16.247,0.991,8.127,2.881,1.004
2.685,0.027,6.415,16.888,0.945,7.938,2.673,1.004
2.683,0.028,6.386,17.642,0.914,7.685,2.469,1.004
2.685,0.029,6.493,18.736,0.904,7.49,2.285,1.004
2.678,0.031,6.638,19.129,0.921,7.368,2.138,1.004
2.672,0.032,6.831,18.252,0.941,7.307,2.03,1.004
2.679,0.033,7.064,16.631,0.958,7.333,1.963,1.004
2.684,0.035,7.615,14.705,0.969,7.421,1.941,1.004
2.691,0.036,7.905,13.396,0.97,7.472,1.961,1.004
2.695,0.037,8.188,12.612,0.985,7.465,2.024,1.004
2.694,0.037,8.451,12.111,1.01,7.484,2.133,1.004
2.695,0.038,8.863,12,1.073,7.573,2.287,1.004
2.689,0.039,8.997,11.935,1.099,7.738,2.49,1.004
2.693,0.04,9.087,11.921,1.105,7.91,2.737,1.004
2.695,0.041,9.149,11.698,1.097,7.847,3.018,1.004
2.705,0.042,9.234,11.966,1.059,7.436,3.312,1.004
2.709,0.042,9.281,12.609,1.05,6.904,3.582,1.004
2.705,0.042,9.34,13.706,1.06,6.585,3.792,1.004
2.697,0.042,9.413,14.876,1.084,6.564,3.911,1.004
2.682,0.043,9.599,15.135,1.174,6.769,3.957,1.004
2.681,0.043,9.703,14.189,1.209,7.151,3.961,1.004
2.673,0.043,9.804,12.646,1.23,7.659,3.964,1.004
2.673,0.044,9.899,11.114,1.242,8.192,3.994,1.004
2.675,0.044,10.073,9.936,1.246,8.703,4.07,1.004
2.68,0.044,10.17,9.506,1.26,9.152,4.195,1.004
2.685,0.044,10.277,9.599,1.289,9.424,4.361,1.004
2.688,0.044,10.397,9.822,1.325,9.402,4.566,1.004
2.686,0.044,10.665,10.09,1.382,9.088,4.801,1.004
2.69,0.044,10.804,10.736,1.393,8.742,5.061,1.004
2.681,0.044,10.94,11.2,1.388,8.582,5.338,1.004
2.673,0.044,11.074,11.786,1.371,8.531,5.606,1.004
2.673,0.044,11.312,12.389,1.356,8.433,5.838,1.003
2.673,0.044,11.414,12.609,1.366,8.315,5.98,1.003
2.687,0.044,11.508,12.45,1.382,8.21,6.016,1.004
2.695,0.044,11.596,12.491,1.4,8.139,5.945,1.004
2.699,0.044,11.776,13.676,1.411,8.119,5.796,1.004
2.689,0.044,11.884,15.47,1.399,8.12,5.62,1.005
2.683,0.044,12.006,17.44,1.378,8.098,5.455,1.004
2.682,0.045,12.146,19.358,1.364,8.054,5.326,1.004
2.677,0.045,12.457,20.432,1.37,8.016,5.238,1.005
2.671,0.045,12.614,20.801,1.395,7.979,5.194,1.004
2.665,0.045,12.761,19.99,1.42,7.935,5.185,1.005
2.663,0.045,12.894,18.255,1.439,7.914,5.203,0.998
2.659,0.045,13.092,15.623,1.433,7.932,5.243,0.998
2.664,0.045,13.154,13.877,1.412,7.956,5.288,0.998
2.666,0.045,13.197,12.655,1.392,7.964,5.319,0.998
2.671,0.045,13.223,11.935,1.384,7.946,5.306,0.998
2.68,0.045,13.217,11.808,1.395,7.873,5.229,0.998
2.676,0.045,13.181,11.702,1.41,7.743,5.074,0.998
2.667,0.045,13.125,11.36,1.42,7.595,4.849,0.998
2.671,0.045,13.042,11.013,1.417,7.47,4.585,0.998
2.679,0.045,12.816,10.844,1.364,7.399,4.31,0.998
2.672,0.045,12.683,10.899,1.331,7.385,4.049,0.998
2.676,0.045,12.54,11.457,1.308,7.367,3.814,0.998
2.673,0.045,12.386,11.615,1.291,7.329,3.61,0.998
2.684,0.045,11.998,11.883,1.285,7.291,3.43,0.998
2.7,0.045,11.742,12.726,1.267,7.27,3.265,0.998
2.698,0.045,11.429,13.979,1.234,7.265,3.107,0.998
2.689,0.044,11.06,14.949,1.184,7.268,2.947,0.998
2.688,0.044,10.204,15.176,1.048,7.267,2.783,0.998
2.688,0.044,9.769,14.787,0.991,7.253,2.614,0.998
2.688,0.043,9.373,15.155,0.948,7.225,2.444,0.998
2.682,0.043,9.036,16.885,0.926,7.19,2.278,0.998
2.666,0.043,8.609,19.235,0.93,7.169,2.125,0.998
2.665,0.041,8.515,21.718,0.935,7.214,1.991,0.998
2.66,0.04,8.472,22.039,0.942,7.348,1.884,0.998
2.663,0.038,8.472,20.872,0.944,7.547,1.808,0.998
2.669,0.037,8.481,18.214,0.964,7.748,1.766,0.998
2.687,0.035,8.454,14.986,0.99,7.893,1.762,0.998
2.697,0.034,8.405,12.138,1.025,7.994,1.792,0.998
2.7,0.032,8.335,10.584,1.07,8.102,1.852,0.998
2.698,0.031,8.164,10.162,1.141,8.221,1.939,0.998
2.695,0.031,8.077,9.811,1.155,8.368,2.039,0.998
2.69,0.031,7.992,9.704,1.159,8.494,2.143,0.998
2.688,0.032,7.916,9.941,1.152,8.601,2.237,0.998
2.681,0.032,7.777,10.153,1.15,8.799,2.315,0.998
2.679,0.033,7.714,10.493,1.166,9.056,2.372,0.998
2.678,0.033,7.65,10.666,1.186,9.201,2.412,0.998
2.673,0.034,7.59,10.444,1.203,9.251,2.44,0.998
2.678,0.034,7.506,10.334,1.196,9.265,2.462,0.998
2.683,0.034,7.491,10.157,1.178,9.22,2.484,0.998
2.689,0.034,7.498,9.694,1.154,9.153,2.51,0.998
2.707,0.034,7.531,9.197,1.142,9.141,2.544,0.998
2.712,0.034,7.635,8.908,1.179,9.147,2.587,0.998
2.711,0.034,7.694,9.366,1.219,9.106,2.639,0.998
2.702,0.034,7.74,9.738,1.26,9.119,2.699,0.998
2.698,0.034,7.765,9.642,1.287,9.186,2.76,0.998
2.701,0.034,7.715,9.521,1.276,9.171,2.816,0.998
2.696,0.035,7.638,9.742,1.24,9.095,2.855,0.998
2.684,0.035,7.525,10.53,1.2,9.225,2.871,0.998
2.671,0.035,7.381,11.36,1.166,9.365,2.851,0.998
2.671,0.035,7.014,12.049,1.125,9.421,2.794,0.998
2.674,0.035,6.806,12.31,1.121,9.453,2.703,0.998
2.683,0.035,6.593,12.709,1.113,9.409,2.582,0.998
2.686,0.035,6.388,13.565,1.097,9.301,2.444,0.998
2.687,0.035,6.021,14.395,1.034,9.154,2.3,0.998
2.699,0.037,5.868,14.669,1.001,8.813,2.158,0.998
2.719,0.038,5.736,14.278,0.979,8.131,2.027,0.998
2.74,0.04,5.623,13.751,0.973,7.33,1.909,0.998
2.761,0.042,5.432,13.083,0.999,6.825,1.809,0.998
2.791,0.043,5.343,11.928,1.008,6.686,1.725,0.998
2.833,0.045,5.244,10.163,1.007,6.662,1.656,0.998
2.877,0.046,5.137,7.539,0.989,6.603,1.602,0.998
2.898,0.048,4.907,4.265,0.913,6.546,1.557,0.998
2.896,0.049,4.783,4.962,0.875,6.54,1.521,0.998
2.885,0.049,4.656,7.114,0.842,6.548,1.488,0.998
2.882,0.05,4.53,7.446,0.822,6.504,1.457,0.998
2.889,0.051,4.307,6.142,0.8,6.43,1.427,0.998
2.904,0.052,4.223,3.263,0.788,6.386,1.398,0.998
2.923,0.053,4.159,0.585,0.779,6.269,1.373,0.998
2.956,0.054,4.114,0.015,0.769,6.001,1.357,0.998
3,0.055,4.063,0,0.787,5.887,1.352,0.998
3,0.056,4.053,0,0.82,6.209,1.364,0.998
3,0.056,4.047,0,0.862,6.868,1.398,0.998
2.986,0.057,4.035,0.005,0.92,7.622,1.453,0.998
2.912,0.057,3.986,1.634,1.003,8.214,1.533,0.998
2.846,0.057,3.95,14.372,1.02,8.506,1.638,0.998
2.775,0.058,3.911,20.718,1.025,8.497,1.761,0.998
2.723,0.058,3.876,25.008,1.015,8.415,1.898,0.998
2.693,0.059,3.813,26.887,1.006,8.387,2.035,0.998
2.679,0.059,3.785,27.381,1.012,8.358,2.157,0.998
2.674,0.06,3.76,27.613,1.021,8.353,2.245,0.998
2.671,0.06,3.741,27.949,1.023,8.478,2.295,0.998
2.663,0.061,3.712,27.913,0.986,8.725,2.302,0.998
2.659,0.061,3.702,27.61,0.952,8.955,2.271,0.998
2.657,0.062,3.695,26.977,0.913,9.115,2.214,0.998
2.66,0.062,3.696,26.352,0.881,9.262,2.137,0.998
2.666,0.063,3.72,25.84,0.853,9.411,2.05,0.998
2.674,0.063,3.747,25.541,0.85,9.555,1.955,0.998
2.686,0.063,3.789,25.664,0.839,9.66,1.858,0.998
2.692,0.063,3.848,25.763,0.824,9.675,1.761,0.998
2.691,0.063,4.011,25.565,0.775,9.612,1.669,0.998
2.684,0.063,4.11,25.645,0.752,9.559,1.588,0.998
2.676,0.063,4.209,26.685,0.738,9.5,1.52,0.998
2.666,0.063,4.302,27.318,0.74,9.437,1.469,0.998
2.66,0.063,4.445,27.082,0.785,9.396,1.437,0.998
2.667,0.061,4.486,26.36,0.809,9.358,1.42,0.998
2.682,0.059,4.505,25.967,0.822,9.31,1.418,0.998
2.681,0.058,4.502,25.861,0.819,9.261,1.426,0.998
2.679,0.056,4.457,26.202,0.772,9.22,1.438,0.998
2.675,0.054,4.431,26.592,0.753,9.171,1.445,0.998
2.676,0.052,4.408,27.281,0.749,9.096,1.441,0.998
2.675,0.05,4.39,27.372,0.763,8.992,1.424,0.998
2.674,0.048,4.364,27.363,0.815,8.901,1.393,0.998
2.668,0.047,4.354,26.699,0.836,8.859,1.357,0.998
2.689,0.046,4.345,25.702,0.848,8.851,1.322,0.998
2.707,0.045,4.334,23.36,0.847,8.818,1.294,0.998
2.735,0.044,4.314,19.906,0.838,8.732,1.278,0.998
2.77,0.043,4.292,16.294,0.841,8.597,1.276,0.998
2.797,0.043,4.261,13.953,0.856,8.455,1.289,0.998
2.813,0.042,4.22,12.575,0.882,8.351,1.317,0.998
2.83,0.041,4.119,11.156,0.927,8.139,1.357,0.998
2.862,0.042,4.063,8.743,0.939,7.689,1.407,0.998
2.895,0.043,4.005,2.631,0.937,7.173,1.462,0.998
2.925,0.045,3.947,0.151,0.926,6.796,1.518,0.998
2.941,0.046,3.847,0.02,0.922,6.547,1.57,0.998
2.965,0.048,3.801,0.012,0.929,6.387,1.615,0.998
3,0.049,3.764,0,0.944,6.308,1.646,0.998
3,0.05,3.723,0,0.956,6.289,1.663,0.998
3,0.052,3.627,0,0.941,6.343,1.664,0.998
2.983,0.052,3.576,0.005,0.917,6.45,1.648,0.998
2.972,0.053,3.531,0.009,0.882,6.502,1.62,0.998
2.953,0.053,3.497,0.015,0.851,6.504,1.58,0.998
2.912,0.054,3.46,1.214,0.823,6.699,1.534,0.998
2.878,0.054,3.458,8.035,0.827,7.15,1.487,0.998
2.852,0.055,3.466,11.383,0.83,7.495,1.445,0.998
2.843,0.055,3.476,12.046,0.825,7.425,1.413,0.998
2.857,0.055,3.505,10.977,0.809,7.026,1.394,0.998
2.882,0.056,3.521,7.562,0.797,6.663,1.39,0.998
2.986,0.056,3.539,0.005,0.794,6.59,1.398,0.998
2.984,0.056,3.556,0.006,0.809,6.723,1.416,0.998
2.98,0.056,3.585,0.007,0.869,6.866,1.441,0.998
2.981,0.056,3.593,0.007,0.908,6.873,1.469,0.998
2.989,0.056,3.596,0.004,0.938,6.739,1.497,0.998
2.997,0.056,3.593,0.001,0.951,6.658,1.524,0.998
3,0.057,3.565,0,0.915,6.655,1.549,0.998
2.999,0.057,3.538,0,0.89,6.603,1.569,0.998
3,0.058,3.506,0,0.876,6.568,1.58,0.998
3,0.058,3.473,0,0.871,6.672,1.581,0.998
2.997,0.059,3.409,0.001,0.882,6.843,1.569,0.998
2.988,0.059,3.38,0.004,0.883,6.939,1.545,0.998
2.983,0.06,3.352,0.006,0.873,6.995,1.512,0.998
2.986,0.06,3.327,0.005,0.854,7.098,1.471,0.998
2.988,0.061,3.289,0.004,0.804,7.409,1.427,0.998
2.978,0.061,3.274,0.007,0.79,7.89,1.384,0.999
2.961,0.061,3.261,0.013,0.788,8.167,1.345,0.999
2.946,0.061,3.243,0.018,0.796,7.981,1.315,0.998
2.944,0.061,3.205,0.019,0.817,7.458,1.294,0.999
2.954,0.061,3.187,0.016,0.817,7.037,1.282,0.999
2.965,0.061,3.174,0.012,0.807,7.041,1.277,0.999
2.968,0.061,3.168,0.011,0.792,7.49,1.278,1
2.963,0.061,3.179,0.013,0.781,8.062,1.281,0.999
2.955,0.061,3.191,0.015,0.787,8.385,1.287,0.999
2.95,0.06,3.203,0.017,0.809,8.265,1.295,1
2.953,0.06,3.215,0.016,0.834,8.057,1.307,1
2.965,0.06,3.223,0.012,0.859,7.878,1.322,1.001
2.981,0.06,3.221,0.007,0.856,7.622,1.342,1.001
2.989,0.06,3.222,0.004,0.841,7.436,1.365,1
2.982,0.06,3.23,0.006,0.832,7.666,1.39,1.001
2.967,0.06,3.265,0.011,0.854,8.249,1.417,1.001
2.957,0.061,3.289,0.015,0.885,8.584,1.446,1.001
2.955,0.062,3.315,0.015,0.922,8.488,1.478,1.001
2.954,0.064,3.341,0.016,0.949,7.974,1.513,1.001
2.955,0.065,3.389,0.015,0.971,7.283,1.55,1.001
