DGA,POR,Y
2.739,21.144,4
2.723,22.758,4
2.709,24.056,4
2.697,25.026,4
2.69,25.642,4
2.687,26.075,4
2.679,26.367,4
2.681,26.886,4
2.677,26.748,4
2.675,25.423,4
2.676,22.859,4
2.66,18.994,4
2.647,15.541,4
2.655,13.559,4
2.675,12.796,4
2.681,12.323,4
2.678,11.824,4
2.68,11.524,4
2.68,11.376,4
2.688,11.387,4
2.691,11.141,4
2.693,11.152,4
2.684,11.316,4
2.679,11.64,4
2.684,11.749,4
2.688,11.442,4
2.7,11.414,4
2.702,11.298,4
2.7,11.068,4
2.703,11.02,4
2.705,11.122,4
2.709,11.502,4
2.708,11.956,4
2.714,12.613,4
2.704,12.982,4
2.7,13.21,4
2.702,12.892,4
2.699,12.052,4
2.706,12.066,4
2.693,12.631,4
2.685,13.926,4
2.679,15.044,4
2.687,15.867,4
2.689,15.907,4
2.691,15.951,4
2.69,16.14,4
2.68,16.247,4
2.685,16.888,4
2.683,17.642,4
2.685,18.736,4
2.678,19.129,4
2.672,18.252,4
2.679,16.631,4
2.684,14.705,4
2.691,13.396,4
2.695,12.612,4
2.694,12.111,4
2.695,12,4
2.689,11.935,4
2.693,11.921,4
2.695,11.698,4
2.705,11.966,4
2.709,12.609,4
2.705,13.706,4
2.697,14.876,4
2.682,15.135,4
2.681,14.189,4
2.673,12.646,4
2.673,11.114,4
2.675,9.936,4
2.68,9.506,4
2.685,9.599,4
2.688,9.822,4
2.686,10.09,4
2.69,10.736,4
2.681,11.2,4
2.673,11.786,4
2.673,12.389,4
2.673,12.609,4
2.687,12.45,4
2.695,12.491,4
2.699,13.676,4
2.689,15.47,4
2.683,17.44,4
2.682,19.358,4
2.677,20.432,4
2.671,20.801,4
2.665,19.99,4
2.663,18.255,4
2.659,15.623,4
2.664,13.877,4
2.666,12.655,4
2.671,11.935,4
2.68,11.808,4
2.676,11.702,4
2.667,11.36,4
2.671,11.013,4
2.679,10.844,4
2.672,10.899,4
2.676,11.457,4
2.673,11.615,4
2.684,11.883,4
2.7,12.726,4
2.698,13.979,4
2.689,14.949,4
2.688,15.176,4
2.688,14.787,4
2.688,15.155,4
2.682,16.885,4
2.666,19.235,4
2.665,21.718,4
2.66,22.039,4
2.663,20.872,4
2.669,18.214,4
2.687,14.986,4
2.697,12.138,4
2.7,10.584,4
2.698,10.162,4
2.695,9.811,4
2.69,9.704,4
2.688,9.941,4
2.681,10.153,4
2.679,10.493,4
2.678,10.666,4
2.673,10.444,4
2.678,10.334,4
2.683,10.157,4
2.689,9.694,4
2.707,9.197,4
2.712,8.908,4
2.711,9.366,4
2.702,9.738,4
2.698,9.642,4
2.701,9.521,4
2.696,9.742,4
2.684,10.53,4
2.671,11.36,4
2.671,12.049,4
2.674,12.31,4
2.683,12.709,4
2.686,13.565,4
2.687,14.395,4
2.699,14.669,4
2.719,14.278,4
2.74,13.751,4
2.761,13.083,4
2.791,11.928,4
2.833,10.163,4
2.877,7.539,4
2.898,4.265,4
2.896,4.962,1
2.885,7.114,1
2.882,7.446,1
2.889,6.142,1
2.904,3.263,1
2.923,0.585,1
2.956,0.015,1
3,0,1
3,0,1
3,0,1
2.986,0.005,1
2.912,1.634,1
2.846,14.372,4
2.775,20.718,4
2.723,25.008,4
2.693,26.887,4
2.679,27.381,4
2.674,27.613,4
2.671,27.949,4
2.663,27.913,4
2.659,27.61,4
2.657,26.977,4
2.66,26.352,4
2.666,25.84,4
2.674,25.541,4
2.686,25.664,4
2.692,25.763,4
2.691,25.565,4
2.684,25.645,4
2.676,26.685,4
2.666,27.318,4
2.66,27.082,4
2.667,26.36,4
2.682,25.967,4
2.681,25.861,4
2.679,26.202,4
2.675,26.592,4
2.676,27.281,4
2.675,27.372,4
2.674,27.363,4
2.668,26.699,4
2.689,25.702,4
2.707,23.36,4
2.735,19.906,4
2.77,16.294,1
2.797,13.953,1
2.813,12.575,1
2.83,11.156,1
2.862,8.743,1
2.895,2.631,1
2.925,0.151,1
2.941,0.02,1
2.965,0.012,1
3,0,1
3,0,1
3,0,1
2.983,0.005,1
2.972,0.009,1
2.953,0.015,1
2.912,1.214,1
2.878,8.035,1
2.852,11.383,1
2.843,12.046,1
2.857,10.977,1
2.882,7.562,1
2.986,0.005,1
2.984,0.006,1
2.98,0.007,1
2.981,0.007,1
2.989,0.004,1
2.997,0.001,1
3,0,1
2.999,0,1
3,0,1
3,0,1
2.997,0.001,1
2.988,0.004,1
2.983,0.006,1
2.986,0.005,1
2.988,0.004,1
2.978,0.007,1
2.961,0.013,1
2.946,0.018,1
2.944,0.019,1
2.954,0.016,1
2.965,0.012,1
2.968,0.011,1
2.963,0.013,1
2.955,0.015,1
2.95,0.017,1
2.953,0.016,1
2.965,0.012,1
2.981,0.007,1
2.989,0.004,1
2.982,0.006,1
2.967,0.011,1
2.957,0.015,1
2.955,0.015,1
2.954,0.016,1
2.955,0.015,1
2.963,0.013,1
2.981,0.007,1
2.997,0.001,1
3,0,1
2.989,0.004,1
2.974,0.009,1
2.959,0.014,1
2.951,0.017,1
2.955,0.016,1
2.966,0.012,1
2.974,0.009,1
2.972,0.01,1
2.961,0.013,1
2.949,0.017,1
2.943,0.019,1
2.946,0.018,1
2.953,0.016,1
2.959,0.014,1
2.959,0.014,1
2.957,0.015,1
2.957,0.015,1
2.963,0.013,1
2.975,0.009,1
2.983,0.006,1
2.982,0.006,1
2.975,0.009,1
2.971,0.01,1
2.971,0.01,1
2.966,0.011,1
2.954,0.014,1
2.943,0.018,1
2.94,0.019,1
2.946,0.017,1
2.953,0.015,1
2.959,0.014,1
2.974,0.009,1
2.977,0.008,1
2.982,0.006,1
2.984,0.006,1
2.985,0.005,1
2.984,0.006,1
2.98,0.007,1
2.976,0.008,1
2.971,0.01,1
2.966,0.012,1
2.952,0.016,1
2.944,0.019,1
2.934,0.021,1
2.927,0.214,1
2.912,1.425,1
2.907,2.483,1
2.899,3.767,1
2.891,5.206,1
2.875,7.967,1
2.867,8.962,1
2.857,9.583,1
2.845,10.042,1
2.819,10.899,1
2.801,11.116,1
2.787,11.508,1
2.777,12.032,4
2.762,12.738,4
2.754,12.429,4
2.745,11.918,4
2.738,11.887,4
2.727,13.255,4
2.723,15.193,4
2.72,17.146,4
2.717,18.469,4
2.707,19.534,4
2.698,20.303,4
2.69,21.006,4
2.686,21.427,4
2.683,21.493,4
2.682,21.229,4
2.683,21.083,4
2.684,21.278,4
2.685,21.927,4
2.687,22.817,4
2.685,23.935,4
2.679,25.128,4
2.671,26.18,4
2.668,27.112,4
2.656,27.403,4
2.662,27.718,4
2.662,28.111,4
2.661,28.813,4
2.668,29.507,4
2.674,29.768,4
2.673,29.636,4
2.669,29.417,4
2.665,28.733,4
2.658,28.267,4
2.66,27.832,4
2.672,27.608,4
2.676,26.819,4
2.683,25.826,4
2.692,24.672,4
2.695,24.171,4
2.695,23.992,4
2.696,23.579,4
2.707,22.441,4
2.715,21.545,4
2.725,20.39,4
2.735,18.711,4
2.746,16.305,4
2.75,14.352,4
2.753,12.914,4
2.757,12.429,4
2.766,12.578,4
2.772,13.292,4
2.779,13.833,4
2.787,14.141,4
2.793,14.108,4
2.795,14.081,4
2.795,13.914,4
2.796,13.725,4
2.797,13.588,4
2.796,13.541,4
2.795,13.568,4
2.796,13.694,4
2.796,13.94,4
2.796,14,4
2.793,13.857,4
2.79,13.619,4
2.786,13.545,4
2.785,13.504,4
2.784,13.768,4
2.781,14.481,4
2.777,15.524,4
2.772,16.505,4
2.77,17.087,4
2.772,17.107,4
2.775,16.838,4
2.777,16.51,4
2.775,16.354,4
2.773,16.336,4
2.77,16.609,4
2.77,16.781,4
2.766,16.885,4
2.761,16.996,4
2.756,17.352,4
2.754,17.752,4
2.752,18.168,4
2.749,18.306,4
2.745,18.31,4
2.745,18.336,4
2.748,18.562,4
2.752,18.809,4
2.757,18.764,4
2.758,18.455,4
2.755,18.074,4
2.752,17.971,4
2.749,17.975,4
2.747,17.96,4
2.748,17.774,4
2.752,17.601,4
2.759,17.578,4
2.766,17.702,4
2.772,17.603,4
2.776,17.265,4
2.779,16.805,4
2.779,16.571,4
2.778,16.494,4
2.777,16.505,4
2.776,16.649,4
2.775,16.955,4
2.771,17.377,4
2.767,17.688,4
2.763,17.818,4
2.764,17.411,4
2.764,16.692,4
2.763,16.047,4
2.761,16.021,4
2.759,16.722,4
2.756,17.717,4
2.751,18.273,4
2.743,17.878,4
2.736,16.366,4
2.729,14.182,4
2.726,11.986,4
2.721,10.677,4
2.718,10.437,4
2.718,11.491,4
2.722,13.217,4
2.732,15.047,4
2.742,15.866,4
2.742,15.822,4
2.735,15.76,4
2.731,16.235,4
2.728,17.271,4
2.727,18.69,4
2.725,20.274,4
2.73,21.439,4
2.735,22.337,4
2.741,22.537,4
2.745,22.017,4
2.755,20.491,4
2.762,19.214,4
2.772,17.972,4
2.783,16.873,4
2.807,15.258,4
2.82,14.606,4
2.835,14.1,4
2.849,13.421,4
2.878,8.831,4
2.889,5.76,4
2.901,3.239,4
2.913,1.532,1
2.931,0.119,1
2.94,0.02,1
2.947,0.018,1
2.954,0.016,1
2.966,0.012,1
2.971,0.01,1
2.975,0.009,1
2.979,0.008,1
2.984,0.006,1
2.986,0.005,1
2.95,0.017,1
2.934,0.098,1
2.923,0.589,1
2.923,0.544,1
2.928,0.232,1
2.929,0.193,1
2.927,0.29,1
2.927,0.287,1
2.928,0.226,1
2.926,0.296,1
2.926,0.338,1
2.933,0.143,1
2.941,0.021,1
2.94,0.021,1
2.929,0.209,1
2.913,0.931,1
2.905,1.423,1
2.909,0.822,1
2.926,0.059,1
2.943,0.017,1
2.951,0.016,1
2.954,0.016,1
2.953,0.017,1
2.942,0.02,1
2.924,0.642,1
2.913,1.816,1
2.916,1.417,1
2.932,0.188,1
2.947,0.018,1
2.955,0.016,1
2.959,0.014,1
2.97,0.01,1
2.983,0.006,1
2.984,0.006,1
2.97,0.01,1
2.952,0.017,1
2.938,0.021,1
2.929,0.188,1
2.927,0.254,1
2.93,0.18,1
2.937,0.038,1
2.944,0.019,1
2.949,0.018,1
2.951,0.017,1
2.951,0.017,1
2.952,0.016,1
2.952,0.017,1
2.946,0.019,1
2.942,0.02,1
2.945,0.019,1
2.948,0.018,1
2.947,0.018,1
2.944,0.019,1
2.939,0.02,1
2.931,0.031,1
2.923,0.277,1
2.922,0.476,1
2.93,0.176,1
2.946,0.019,1
2.961,0.013,1
2.971,0.01,1
2.977,0.008,1
2.98,0.007,1
2.98,0.007,1
2.977,0.008,1
2.976,0.008,1
2.975,0.009,1
2.973,0.009,1
2.975,0.009,1
2.979,0.007,1
2.976,0.008,1
2.968,0.011,1
2.962,0.013,1
2.958,0.015,1
2.954,0.016,1
2.952,0.016,1
2.96,0.014,1
2.979,0.007,1
2.995,0.002,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2.991,0.003,1
2.98,0.007,1
2.966,0.012,1
2.956,0.015,1
2.957,0.015,1
2.971,0.01,1
2.986,0.005,1
2.996,0.001,1
2.999,0.001,1
3,0,1
3,0,1
3,0,1
2.995,0.002,1
2.992,0.003,1
2.99,0.003,1
2.987,0.004,1
2.978,0.004,1
2.972,0.006,1
2.954,0.009,1
2.937,0.014,1
2.934,0.018,1
2.925,0.024,1
2.913,0.27,1
2.894,1.17,1
2.868,3.354,1
2.853,6.271,1
2.841,7.323,1
2.849,6.74,1
2.864,4.572,1
2.878,2.734,1
2.882,2.736,1
2.88,4.098,1
2.877,5.346,1
2.877,5.258,1
2.875,4.565,1
2.867,4.461,1
2.853,5.254,1
2.837,5.385,1
2.832,5.01,1
2.818,3.788,1
2.822,2.927,1
2.856,2.99,1
2.882,2.908,1
2.899,2.578,1
2.908,1.989,1
2.916,1.139,1
2.924,0.522,1
2.909,2.32,1
2.894,5.127,1
2.85,11.051,1
2.775,15.42,1
2.703,16.151,4
2.674,13.72,4
2.671,11.356,4
2.667,10.182,4
2.678,10.221,4
2.688,10.129,4
2.714,9.476,4
2.745,8.332,4
2.783,7.205,4
2.82,6.404,4
2.825,6.369,4
2.804,7.248,4
2.771,8.466,4
2.748,9.319,4
2.733,9.944,4
2.728,10.569,4
2.742,10.781,4
2.786,9.846,4
2.861,6.476,1
2.957,0.013,1
2.963,0.013,1
2.936,0.03,1
2.911,1.627,1
2.901,3.177,1
2.91,1.816,1
2.93,0.176,1
2.957,0.015,1
2.98,0.007,1
2.99,0.003,1
2.985,0.005,1
2.957,0.014,1
2.917,0.336,1
2.897,1.879,1
2.897,2.135,1
2.911,1.094,1
2.926,0.24,1
2.929,0.138,1
2.918,0.753,1
2.905,2.48,1
2.903,2.754,1
2.917,0.838,1
2.936,0.021,1
2.884,6.102,1
2.872,8.221,1
2.857,9.541,1
2.846,10.126,1
2.844,10.306,1
2.851,10.074,1
2.862,9.651,1
2.862,9.798,1
2.848,10.639,1
2.824,12.127,1
2.791,14.254,4
2.762,16.466,4
2.747,18.072,4
2.751,18.808,4
2.761,19.244,4
2.762,20.018,4
2.757,20.901,4
2.751,21.438,4
2.748,21.477,4
2.75,21.154,4
2.752,20.747,4
2.748,20.694,4
2.739,21.451,4
2.726,22.593,4
2.718,23.19,4
2.726,22.981,4
2.73,21.923,4
2.74,21.355,4
2.74,21.505,4
2.734,22.18,4
2.725,23.024,4
2.714,23.7,4
2.707,24.016,4
2.703,24.178,4
2.699,24.629,4
2.694,25.222,4
2.694,25.575,4
2.699,25.391,4
2.699,24.781,4
2.689,24.087,4
2.67,22.758,4
2.665,20.891,4
2.672,18.425,4
2.694,15.168,4
2.724,12.678,4
2.759,10.898,4
2.786,10.276,4
2.803,10.749,4
2.824,11.358,4
2.847,10.783,4
2.945,0.019,1
2.945,0.019,1
2.936,0.027,1
2.93,0.161,1
2.935,0.038,1
2.95,0.017,1
2.965,0.012,1
2.976,0.008,1
2.975,0.009,1
2.96,0.014,1
2.943,0.019,1
2.936,0.02,1
2.94,0.018,1
2.94,0.018,1
2.929,0.126,1
2.918,0.883,1
2.918,0.967,1
2.933,0.118,1
2.959,0.014,1
2.979,0.007,1
2.983,0.006,1
2.976,0.009,1
2.965,0.012,1
2.95,0.015,1
2.943,0.017,1
2.942,0.017,1
2.937,0.019,1
2.926,0.03,1
2.915,0.339,6
2.905,1.113,6
2.895,2.458,6
2.882,3.678,6
2.871,4.351,6
2.865,4.829,6
2.866,5.37,6
2.874,5.498,6
2.884,4.643,6
2.892,2.784,6
2.907,0.654,6
2.937,0.018,6
2.962,0.01,1
2.967,0.01,1
2.956,0.015,1
2.949,0.017,1
2.948,0.017,1
2.951,0.016,1
2.958,0.014,1
2.977,0.008,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2.972,0.01,1
2.949,0.017,1
2.942,0.02,1
2.945,0.019,1
2.951,0.016,1
2.958,0.014,1
2.964,0.01,1
2.962,0.009,1
2.963,0.01,1
2.957,0.013,1
2.955,0.014,1
2.962,0.013,1
2.968,0.011,1
2.971,0.01,1
2.967,0.012,1
2.96,0.014,1
2.965,0.012,1
2.981,0.007,1
2.991,0.003,1
2.982,0.006,1
2.966,0.012,1
2.956,0.015,1
2.947,0.018,1
2.933,0.043,6
2.917,0.358,6
2.911,0.533,6
2.916,0.33,6
2.929,0.058,6
2.945,0.018,6
2.957,0.015,6
2.954,0.015,6
2.938,0.02,6
2.921,0.471,6
2.91,1.242,6
2.907,1.453,6
2.913,0.939,6
2.926,0.266,6
2.939,0.02,6
2.95,0.017,6
2.951,0.017,6
2.939,0.02,6
2.921,0.492,6
2.907,1.35,6
2.908,0.861,6
2.922,0.113,6
2.94,0.018,6
2.955,0.014,6
2.969,0.01,6
2.974,0.008,6
2.962,0.013,6
2.939,0.02,6
2.926,0.209,6
2.929,0.147,6
2.94,0.02,6
2.946,0.018,6
2.941,0.02,6
2.927,0.272,6
2.915,0.906,6
2.914,0.799,6
2.92,0.267,6
2.921,0.136,6
2.914,0.315,6
2.911,0.627,6
2.92,0.402,6
2.931,0.096,6
2.935,0.027,6
2.928,0.059,6
2.913,0.373,6
2.903,1.058,6
2.901,1.618,6
2.897,2.04,6
2.887,2.842,6
2.875,4.032,6
2.867,4.758,6
2.866,4.825,6
2.87,4.699,6
2.881,3.948,6
2.901,1.936,6
2.926,0.183,6
2.952,0.016,6
2.966,0.012,6
2.963,0.013,6
2.95,0.017,6
2.94,0.02,6
2.939,0.02,6
2.955,0.015,6
2.975,0.008,6
2.983,0.005,6
2.978,0.007,6
2.969,0.01,6
2.961,0.013,6
2.947,0.018,6
2.926,0.262,6
2.91,1.455,6
2.898,2.484,6
2.894,2.819,6
2.9,2.178,6
2.914,0.934,6
2.925,0.229,6
2.923,0.186,6
2.915,0.393,6
2.911,0.641,6
2.914,0.618,6
2.918,0.407,6
2.917,0.214,6
2.914,0.088,6
2.914,0.021,6
2.937,0.017,6
2.962,0.011,6
2.969,0.011,6
2.961,0.014,6
2.963,0.013,6
2.98,0.007,6
2.994,0.001,6
2.997,0.001,6
2.995,0.002,6
3,0,6
3,0,6
3,0,6
3,0,6
3,0,6
3,0,6
2.991,0.003,6
2.979,0.007,6
2.977,0.008,6
2.967,0.011,6
2.949,0.017,6
2.934,0.021,6
2.935,0.02,6
2.946,0.014,6
2.961,0.007,6
2.993,0.001,6
3,0,6
3,0,6
3,0,6
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2.989,0.004,1
3,0,1
3,0,1
2.994,0.002,1
2.983,0.006,1
2.985,0.005,1
2.993,0.003,1
2.991,0.003,1
2.971,0.01,1
2.937,0.032,1
2.907,2.996,1
2.881,7.247,1
2.867,7.925,1
2.873,7.142,1
2.896,4.008,1
2.922,0.6,1
2.948,0.018,1
2.97,0.01,1
2.986,0.005,1
2.993,0.002,1
2.983,0.006,1
2.96,0.014,1
2.939,0.021,1
2.932,0.106,1
2.939,0.021,1
2.956,0.015,1
2.976,0.008,1
2.997,0.001,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2.982,0.006,1
2.961,0.013,1
2.954,0.016,1
2.954,0.016,1
2.944,0.019,1
2.925,0.373,1
2.913,1.483,1
2.914,1.22,1
2.925,0.297,1
2.941,0.02,1
2.951,0.017,1
2.95,0.017,1
2.943,0.019,1
2.939,0.021,1
2.943,0.02,1
2.954,0.016,1
2.964,0.013,1
2.971,0.01,1
2.968,0.011,1
2.958,0.014,1
2.95,0.017,1
2.955,0.015,1
2.962,0.013,1
2.959,0.014,1
2.95,0.017,1
2.945,0.019,1
2.945,0.019,1
2.947,0.018,1
2.952,0.016,1
2.956,0.015,1
2.955,0.016,1
2.952,0.016,1
2.952,0.016,1
2.952,0.016,1
2.949,0.018,1
2.952,0.016,1
2.965,0.012,1
2.981,0.007,1
2.988,0.004,1
2.985,0.005,1
2.976,0.008,1
2.968,0.011,1
2.959,0.014,1
2.955,0.015,1
2.965,0.012,1
2.98,0.007,1
2.986,0.005,1
2.984,0.006,1
2.985,0.005,1
2.994,0.002,1
2.997,0.001,1
2.987,0.005,1
2.981,0.007,1
2.984,0.006,1
2.986,0.005,1
2.968,0.011,1
2.936,0.033,1
2.922,0.688,1
2.927,0.318,1
2.942,0.02,1
2.949,0.017,1
2.952,0.016,1
2.966,0.012,1
2.986,0.005,1
2.996,0.001,1
2.994,0.002,1
2.992,0.003,1
2.999,0,1
3,0,1
2.979,0.007,1
2.965,0.012,1
2.946,0.018,1
2.923,0.605,1
2.897,5.093,1
2.849,9.882,4
2.774,11.527,4
2.74,10.984,4
2.738,10.324,4
2.777,9.344,4
2.849,7.615,4
2.903,2.951,4
2.923,0.56,4
2.934,0.074,1
2.939,0.021,1
2.941,0.02,1
2.942,0.02,1
2.945,0.019,1
2.953,0.016,1
2.966,0.012,1
2.986,0.005,1
2.983,0.006,1
2.97,0.01,1
2.952,0.016,1
2.937,0.025,1
2.932,0.141,1
2.933,0.112,1
2.937,0.031,1
2.94,0.021,1
2.94,0.021,1
2.936,0.043,1
2.935,0.079,1
2.94,0.021,1
2.945,0.019,1
2.941,0.02,1
2.928,0.302,1
2.916,1.16,1
2.913,1.614,1
2.911,1.824,1
2.904,2.816,1
2.892,4.529,1
2.887,5.276,1
2.89,4.518,1
2.897,3.036,1
2.901,1.901,1
2.904,1.062,1
2.909,0.543,1
2.914,0.373,1
2.92,0.39,1
2.923,0.485,1
2.923,0.519,1
2.926,0.376,1
2.931,0.138,1
2.937,0.021,1
2.942,0.02,1
2.947,0.018,1
2.952,0.016,1
2.957,0.015,1
2.965,0.012,1
2.973,0.01,1
2.971,0.01,1
2.96,0.014,1
2.951,0.017,1
2.949,0.018,1
2.952,0.016,1
2.957,0.015,1
2.964,0.012,1
2.971,0.01,1
2.973,0.009,1
2.964,0.012,1
2.949,0.018,1
2.939,0.021,1
2.944,0.019,1
2.956,0.015,1
2.96,0.014,1
2.956,0.015,1
2.957,0.015,1
2.971,0.01,1
2.992,0.003,1
3,0,1
3,0,1
3,0,1
2.989,0.004,1
2.981,0.007,1
2.987,0.004,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2.988,0.004,1
2.962,0.013,1
2.941,0.02,1
2.928,0.241,1
2.92,0.603,1
2.917,0.898,1
2.916,1.06,1
2.915,1.401,1
2.906,2.589,1
2.897,3.971,1
2.896,3.799,1
2.912,1.605,1
2.935,0.062,1
2.958,0.015,1
2.976,0.008,1
2.99,0.004,1
2.994,0.002,1
2.988,0.004,1
2.98,0.007,1
2.975,0.009,1
2.968,0.011,1
2.956,0.015,1
2.947,0.018,1
2.945,0.019,1
2.945,0.019,1
2.944,0.019,1
2.949,0.018,1
2.957,0.015,1
2.959,0.014,1
2.946,0.018,1
2.927,0.185,1
2.922,0.49,1
2.929,0.208,1
2.939,0.021,1
2.943,0.02,1
2.94,0.021,1
2.941,0.02,1
2.953,0.016,1
2.971,0.01,1
2.984,0.006,1
2.987,0.005,1
2.986,0.005,1
2.99,0.004,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2.98,0.007,1
2.967,0.011,1
2.96,0.014,1
2.953,0.016,1
2.951,0.017,1
2.957,0.015,1
2.956,0.015,1
2.946,0.018,1
2.936,0.021,1
2.939,0.02,1
2.947,0.018,1
2.947,0.018,1
2.939,0.021,1
2.931,0.156,1
2.924,0.364,1
2.91,0.84,1
2.893,2.144,1
2.879,3.89,1
2.875,4.811,1
2.877,4.672,1
2.885,3.553,1
2.899,1.728,1
2.92,0.202,1
2.942,0.018,1
2.95,0.017,1
2.936,0.04,1
2.912,1.326,1
2.886,3.629,1
2.867,4.993,1
2.853,5.791,1
2.847,6.72,1
2.851,6.721,1
2.866,4.547,1
2.886,1.231,1
2.892,0.334,1
2.905,0.437,1
2.91,0.557,1
2.922,0.289,1
2.933,0.054,1
2.941,0.02,1
2.946,0.018,1
2.947,0.018,1
2.944,0.019,1
2.943,0.019,1
2.942,0.02,1
2.938,0.021,1
2.931,0.112,1
2.926,0.317,1
2.927,0.25,1
2.936,0.031,1
2.947,0.018,1
2.953,0.015,1
2.951,0.016,1
2.945,0.018,1
2.945,0.019,1
2.958,0.015,1
2.976,0.009,1
2.977,0.008,1
2.957,0.015,1
2.936,0.026,1
2.934,0.053,1
2.95,0.017,1
2.97,0.011,1
2.977,0.008,1
2.972,0.01,1
2.967,0.011,1
2.971,0.01,1
2.984,0.006,1
2.994,0.002,1
2.996,0.002,1
2.991,0.003,1
2.985,0.005,1
2.978,0.008,1
2.963,0.013,1
2.942,0.02,1
2.923,0.486,1
2.914,1.245,1
2.914,1.463,1
2.916,1.359,1
2.917,1.278,1
2.92,0.944,1
2.928,0.358,1
2.934,0.11,1
