TVD,SP1,DGA,QT,DEV,TENS,RT1,POR,RA45,PE,M4R2,GR1,AC,QCAL,RXO,M1RX,CNL,CN,KTH,RMSL,Y
2362.922,80.484,2.928,0.217,34.855,1193.509,0.212,0.022,0.072,15.158,0.547,67.718,215.963,1.006,0.536,63.673,46.061,43.754,60.133,0.1,4
2363.023,80.228,2.928,0.214,34.85,1192.811,0.21,0.022,0.057,15.081,0.542,68.857,215.206,1.006,0.528,74.675,47.905,45.092,61.656,0.1,4
2363.125,80.123,2.928,0.212,34.842,1192.114,0.208,0.022,0.057,15.005,0.537,68.888,214.435,1.005,0.526,112.698,50.037,46.585,62.508,0.1,4
2363.226,80.024,2.928,0.209,34.825,1188.629,0.204,0.022,0.085,14.963,0.533,68.061,215.445,1.004,0.53,216.093,49.363,46.13,62.005,0.1,4
2363.327,79.925,2.928,0.206,34.825,1187.234,0.2,0.022,0.109,14.95,0.529,67.018,216.248,1.005,0.533,2.794,46.984,44.427,60.624,0.1,4
2363.428,79.723,2.928,0.204,34.83,1185.84,0.196,0.022,0.125,14.94,0.525,66.02,214.09,1.005,0.531,2.794,46.211,43.865,59.431,0.1,4
2363.53,79.623,2.928,0.201,34.847,1185.143,0.194,0.022,0.129,14.914,0.52,65.615,211.489,1.004,0.523,2.794,47.893,45.092,58.569,0.1,4
2363.631,79.526,2.928,0.198,34.867,1183.749,0.192,0.022,0.105,14.877,0.514,67.121,212.833,1.004,0.514,2.794,49.638,46.319,57.579,0.1,4
2363.732,79.432,2.928,0.199,34.858,1182.354,0.193,0.022,0.094,14.861,0.507,69.764,215.459,1.005,0.504,181.086,49.59,46.291,56.725,0.1,4
2363.833,79.237,2.928,0.2,34.844,1181.657,0.192,0.022,0.097,14.89,0.501,70.999,215.414,1.005,0.495,83.125,48.34,45.419,56.285,0.1,4
2363.934,79.125,2.928,0.201,34.828,1181.657,0.195,0.022,0.115,14.934,0.496,70.644,211.624,1.004,0.488,44.806,47.378,44.731,56.622,0.1,4
2364.035,78.998,2.928,0.202,34.817,1183.052,0.204,0.022,0.168,14.941,0.492,70.221,206.39,1.004,0.483,29.711,46.778,44.292,58.072,0.1,4
2364.136,78.852,2.928,0.203,34.814,1182.354,0.207,0.022,0.187,14.922,0.488,70.178,202.337,1.004,0.479,22.091,45.897,43.628,59.537,0.1,4
2364.237,78.514,2.928,0.204,34.817,1183.052,0.21,0.022,0.19,14.925,0.486,68.552,202.035,1.004,0.475,19.176,45.015,42.949,59.999,0.1,4
2364.338,78.329,2.928,0.205,34.819,1185.143,0.21,0.022,0.175,14.98,0.485,65.052,205.299,1.005,0.472,17.816,45.05,42.978,59.609,0.1,4
2364.439,78.139,2.928,0.206,34.85,1184.446,0.215,0.022,0.111,15.076,0.485,62.404,211.831,1.005,0.471,17.43,47.146,44.544,59.208,0.1,4
2364.541,77.945,2.928,0.209,34.878,1182.354,0.217,0.022,0.086,15.186,0.487,61.646,219.443,1.004,0.472,18.192,51.355,47.419,59.565,0.1,4
2364.642,77.539,2.928,0.212,34.922,1180.263,0.219,0.022,0.073,15.281,0.49,62.063,224.565,1.003,0.475,18.806,55.333,49.873,60.806,0.1,4
2364.743,77.316,2.928,0.215,34.967,1178.869,0.22,0.022,0.081,15.354,0.494,63.474,225.836,1.003,0.479,16.804,55.187,49.804,62.717,0.1,4
2364.844,77.071,2.928,0.218,35.03,1176.777,0.22,0.022,0.125,15.423,0.5,65.822,225.823,1.003,0.487,14.93,52.077,47.907,64.683,0.1,4
2364.945,76.799,2.928,0.221,35.044,1176.777,0.219,0.022,0.132,15.504,0.506,67.625,225.119,1.003,0.496,13.817,49.102,45.942,65.379,0.1,4
2365.046,76.163,2.928,0.224,35.05,1178.172,0.217,0.022,0.124,15.592,0.512,67.947,224.597,1.003,0.507,13.277,47.063,44.495,64.666,0.1,4
2365.146,75.797,2.709,0.227,35.055,1180.263,0.215,27.248,0.104,15.674,0.518,67.635,224.929,1.003,0.516,13.899,45.528,43.345,63.362,0.1,4
2365.248,75.398,2.709,0.23,35.064,1183.749,0.21,27.248,0.062,15.75,0.524,67.776,227.872,1.003,0.522,16.659,44.535,42.571,62.823,0.112,4
2365.348,74.963,2.709,0.235,35.061,1186.537,0.207,27.421,0.059,15.818,0.528,68.361,236.752,1.003,0.524,32.447,44.79,42.773,64.238,0.132,4
2365.449,73.963,2.71,0.24,35.067,1189.326,0.204,27.525,0.072,15.854,0.532,69.16,247.467,1.003,0.527,116.506,46.212,43.865,67.269,0.102,4
2365.55,73.382,2.711,0.245,35.08,1190.72,0.202,27.457,0.096,15.822,0.536,70.038,256.254,1.004,0.53,118.796,48.444,45.485,69.357,0.11,4
2365.651,72.732,2.713,0.249,35.125,1198.389,0.199,27.322,0.129,15.75,0.539,70.94,267.129,1.004,0.53,2.794,51.44,47.501,69.09,0.141,4
2365.752,72.004,2.717,0.254,35.15,1197.691,0.199,26.841,0.128,15.796,0.545,72.053,279.924,1.004,0.526,2.794,55.467,49.955,67.966,0.194,4
2365.853,70.294,2.725,0.259,35.169,1194.903,0.199,25.75,0.112,15.994,0.553,73.634,289.791,1.004,0.527,2.794,59.98,52.376,67.691,0.318,4
2365.954,69.321,2.733,0.264,35.189,1191.417,0.2,24.475,0.085,16.128,0.566,74.785,299.137,1.005,0.539,2.794,63.378,54.025,67.88,0.318,4
2366.054,68.287,2.74,0.268,35.228,1181.657,0.204,22.929,0.052,16.048,0.589,74.579,308.84,1.006,0.558,2.794,64.6,54.583,67.398,0.578,4
2366.155,67.211,2.749,0.277,35.239,1175.383,0.204,20.471,0.056,15.859,0.625,73.422,318.718,1.006,0.572,2.794,64.181,54.396,66.774,0.74,4
2366.256,65.009,2.76,0.286,35.25,1168.411,0.202,17.59,0.074,15.751,0.685,72.494,329.843,1.006,0.578,2.794,62.512,53.628,66.472,0.49,4
2366.357,63.924,2.763,0.295,35.269,1165.623,0.194,16.822,0.099,15.676,0.783,72.604,338.244,1.006,0.607,2.794,59.218,52,66.128,0.335,4
2366.458,62.88,2.749,0.304,35.314,1162.137,0.183,20.248,0.135,15.067,0.934,72.638,345.001,1.006,0.72,2.794,55.15,49.77,64.902,0.366,4
2366.559,61.907,2.72,0.313,35.336,1161.44,0.18,26.079,0.14,13.219,1.165,71.138,356.631,1.007,1.208,2.794,52.11,47.942,62.619,0.52,4
2366.659,60.254,2.69,0.322,35.361,1160.743,0.176,30.763,0.143,11.02,1.454,67.503,370.114,1.007,2.396,2.794,50.656,47.006,60.042,0.664,4
2366.76,59.559,2.676,0.33,35.386,1159.349,0.174,32.606,0.163,9.739,1.698,65.174,382.042,1.007,2.396,2.794,50.31,46.778,57.866,0.337,4
2366.861,58.892,2.679,0.339,35.447,1159.349,0.178,32.785,0.27,9.399,1.693,67.879,391.886,1.008,2.396,2.794,50.832,47.124,56.904,0.585,4
2366.962,58.178,2.697,0.301,35.475,1160.743,0.187,31.977,0.359,9.291,1.462,75.898,394.085,1.007,2.396,2.794,52.178,47.989,57.648,1.146,1
2367.063,56.306,2.745,0.263,35.489,1163.531,0.199,27.389,0.463,9.166,1.172,85.283,388.621,1.007,2.058,2.794,53.225,48.642,60.715,3.728,1
2367.163,55.044,2.8,0.225,35.503,1167.714,0.212,20.87,0.567,9.124,0.951,92.589,379.238,1.006,0.667,2.794,53.447,48.778,66.942,4.515,1
2367.264,53.547,2.829,0.187,35.544,1176.08,0.232,17.249,0.743,9.302,0.808,96.033,368.112,1.006,0.451,60.465,52.795,48.378,75.847,4.153,1
2367.365,51.83,2.833,0.149,35.555,1180.96,0.245,16.766,0.799,9.585,0.732,96.472,360.821,1.006,0.484,7.584,52.007,47.882,84.551,4.367,1
2367.466,47.876,2.818,0.111,35.561,1185.143,0.262,18.67,0.834,9.679,0.701,94.72,358.606,1.006,0.655,3.793,51.101,47.3,88.276,4.608,1
2367.567,45.731,2.793,0.073,35.558,1189.326,0.277,21.696,0.852,9.8,0.7,91.756,357.952,1.005,0.887,2.055,50.108,46.642,86.46,4.541,1
2367.667,43.558,2.769,0.035,35.53,1192.114,0.289,24.554,0.847,10.611,0.72,88.691,358.851,1.005,1.046,1.87,49.627,46.317,82.014,4.59,1
2367.768,41.446,2.76,0.034,35.528,1192.811,0.286,25.642,0.828,11.806,0.747,87.434,364.629,1.004,1.067,1.642,49.373,46.144,78.879,4.48,1
2367.869,37.777,2.765,0.033,35.53,1192.811,0.279,25.05,0.787,12.879,0.772,88.125,378.41,1.001,1.019,1.183,48.669,45.654,77.39,4.497,1
2367.97,36.365,2.775,0.032,35.528,1192.811,0.269,23.824,0.725,13.496,0.781,89.504,394.714,1.001,1.017,1.114,47.363,44.722,77.016,3.905,1
2368.071,35.264,2.777,0.03,35.564,1195.6,0.255,23.587,0.575,13.634,0.773,89.763,408.613,1.001,1.031,1.709,45.57,43.378,77.429,2.753,1
2368.172,34.445,2.776,0.029,35.592,1198.389,0.254,23.773,0.505,13.38,0.748,89.56,414.882,1.001,0.948,1.871,44.365,42.438,78.576,0.537,1
2368.272,33.394,2.78,0.028,35.628,1200.48,0.261,23.226,0.455,12.834,0.713,90.154,410.596,1.001,0.773,1.121,43.766,41.957,79.765,0.392,1
2368.373,33.036,2.791,0.027,35.667,1201.874,0.284,21.894,0.427,12.307,0.677,91.553,400.132,1.001,0.611,0.696,43.327,41.599,81.454,0.368,1
2368.474,32.734,2.802,0.026,35.714,1202.571,0.391,20.612,0.416,12.062,0.648,92.845,389.107,1.001,0.521,0.579,42.576,40.974,83.978,0.356,1
2368.575,32.465,2.804,0.026,35.728,1201.177,0.479,20.278,0.418,11.83,0.631,93.174,376.776,1.001,0.49,0.549,41.175,39.774,86.879,0.388,1
2368.676,31.984,2.797,0.025,35.742,1199.086,0.587,21.137,0.415,11.452,0.626,92.322,367.97,1.001,0.5,0.589,39.396,38.173,89.191,0.433,1
2368.776,31.756,2.793,0.025,35.747,1198.389,0.716,21.689,0.407,10.887,0.638,91.763,362.439,1.001,0.539,0.695,37.132,36.023,91.191,0.352,1
2368.877,31.525,2.807,0.025,35.736,1201.177,1.047,19.654,0.384,10.309,0.665,93.192,353.011,1.001,0.593,0.738,34.469,33.414,94.066,0.405,1
2368.978,31.283,2.831,0.025,35.719,1200.48,1.249,15.597,0.39,9.811,0.706,96.131,340.931,1.001,0.662,0.723,31.931,30.931,97.086,0.541,1
2369.079,30.715,2.855,0.024,35.697,1200.48,1.467,12.421,0.411,9.368,0.765,99.158,330.789,1.001,0.775,0.848,29.859,28.905,97.561,0.935,1
2369.18,30.364,2.861,0.024,35.697,1201.874,1.699,11.261,0.446,8.945,0.837,99.97,321.86,1.001,0.945,1.229,28.568,27.643,96.108,1.661,1
2369.282,29.958,2.844,0.024,35.697,1200.48,2.171,12.089,0.548,8.547,0.922,98.198,316.419,1.001,1.159,1.529,27.902,26.993,94.71,1.731,1
2369.383,29.5,2.816,0.024,35.697,1197.691,2.394,13.484,0.597,8.172,1.015,94.8,315.327,1.001,1.381,1.697,27.558,26.656,94.107,1.541,1
2369.485,28.493,2.799,0.024,35.697,1195.6,2.599,14.021,0.64,7.837,1.111,92.178,316.957,1.001,1.598,2.847,27.462,26.563,93.456,1.317,1
2369.586,27.998,2.801,0.024,35.697,1195.6,2.776,13.557,0.67,7.592,1.2,92.039,320.207,1.001,1.754,3.596,27.79,26.883,92.388,1.401,1
2369.688,27.545,2.82,0.024,35.697,1196.994,3.011,12.385,0.719,7.395,1.277,94.329,323.877,1.001,1.725,2.394,28.727,27.798,91.82,1.895,1
2369.789,27.157,2.844,0.024,35.697,1199.086,3.064,11.096,0.755,7.217,1.337,97.025,326.953,1.001,1.608,1.801,29.869,28.914,91.945,2.106,1
2369.891,26.613,2.863,0.024,35.697,1201.177,3.079,9.902,0.795,7.077,1.38,99.144,330.421,1.001,1.536,1.972,30.455,29.487,91.842,2.169,1
2369.992,26.461,2.88,0.024,35.697,1203.269,3.052,8.266,0.837,6.975,1.411,101.162,334.472,1.001,1.536,2.255,30.119,29.158,91.021,2.167,1
2370.094,26.382,2.9,0.024,35.697,1205.36,2.913,3.83,0.888,6.906,1.433,103.974,338.271,1.001,1.56,2.135,29.262,28.321,89.909,2.286,1
2370.195,26.367,2.926,0.024,35.697,1206.057,2.824,0.305,0.887,6.846,1.45,106.791,341.534,1.001,1.56,2.079,28.436,27.514,89.315,2.334,1
2370.297,26.488,2.941,0.024,35.697,1205.36,2.733,0.02,0.875,6.777,1.464,107.934,342.751,1.001,1.537,2.063,27.923,27.013,89.653,2.17,1
2370.398,26.608,2.934,0.024,35.697,1203.269,2.645,0.046,0.865,6.706,1.478,107.447,339.626,1.001,1.515,1.926,27.737,26.832,91.687,2.063,1
2370.5,26.759,2.93,0.024,35.697,1202.571,2.497,0.124,0.868,6.655,1.493,107.176,335.27,1.001,1.515,1.796,27.804,26.897,94.867,2.028,1
2370.601,26.937,2.95,0.024,35.697,1203.966,2.441,0.017,0.882,6.623,1.509,108.543,332.262,1.001,1.545,1.726,27.843,26.935,97.763,2.045,1
2370.703,27.364,2.976,0.024,35.697,1205.36,2.398,0.008,0.904,6.601,1.529,110.308,328.72,1.001,1.6,1.843,27.493,26.593,99.25,2.164,1
2370.804,27.612,2.975,0.024,35.503,1206.057,2.367,0.008,0.922,6.581,1.551,110.29,324.71,1.001,1.656,2.13,26.809,25.925,99.887,2.258,1
2370.906,27.881,2.932,0.023,35.519,1207.451,2.331,0.022,0.929,6.552,1.574,107.579,322.874,1.001,1.69,2.261,26.353,25.48,99.884,2.264,1
2371.007,28.172,2.898,0.023,35.505,1205.36,2.325,3.225,0.919,6.503,1.599,104.217,322.031,1.001,1.7,2.038,26.533,25.655,99.169,2.144,1
2371.109,28.814,2.888,0.023,35.505,1201.874,2.331,5.545,0.907,6.466,1.623,102.828,320.117,1.001,1.716,1.747,27.133,26.241,97.332,2.244,1
2371.211,29.163,2.892,0.023,35.519,1197.691,2.352,4.894,0.902,6.458,1.646,103.242,318.16,1.001,1.754,1.805,27.534,26.634,95.96,2.256,1
2371.313,29.534,2.897,0.023,35.561,1188.629,2.432,3.778,0.937,6.451,1.666,103.9,317.516,1.001,1.801,2.077,27.437,26.539,96.194,2.283,1
2371.414,29.932,2.9,0.023,35.575,1182.354,2.486,3.272,0.97,6.4,1.684,104.191,317.23,1.001,1.829,2.124,27.23,26.336,97.706,2.265,1
2371.516,30.848,2.912,0.023,35.58,1176.08,2.543,1.442,1.002,6.381,1.699,105.48,316.424,1.001,1.826,2.256,27.389,26.491,99.336,2.349,1
2371.618,31.378,2.937,0.023,35.58,1171.897,2.607,0.021,1.021,6.519,1.71,107.697,315.871,1.001,1.802,2.316,27.886,26.977,99.59,2.354,1
2371.719,31.957,2.954,0.023,35.592,1165.623,2.733,0.016,1.007,6.77,1.715,108.793,315.776,1.001,1.783,2.164,28.133,27.218,98.543,2.347,1
2371.821,32.583,2.935,0.024,35.597,1164.926,2.791,0.031,0.977,7.082,1.715,107.526,315.62,1.001,1.787,1.939,27.723,26.817,97.312,2.369,1
2371.923,33.971,2.905,0.025,35.592,1166.32,2.838,2.272,0.951,7.322,1.708,104.907,315.67,1.001,1.819,1.744,26.999,26.11,96.943,2.33,1
2372.024,34.74,2.889,0.026,35.583,1169.806,2.878,4.724,0.935,7.364,1.695,103.382,315.646,1.001,1.855,1.825,26.394,25.52,97.666,2.231,1
2372.126,35.57,2.893,0.027,35.578,1178.869,2.941,3.449,0.942,7.282,1.68,104.11,315.42,1.001,1.842,2.141,25.838,24.977,98.763,2.087,1
2372.228,36.475,2.902,0.027,35.592,1183.052,2.965,1.46,0.957,7.195,1.667,105.424,316.431,1.001,1.754,2.526,24.992,24.151,99.638,1.916,1
2372.329,38.566,2.893,0.028,35.611,1186.537,2.991,2.097,0.964,7.035,1.662,104.853,319.502,1.001,1.634,2.797,24.025,23.208,99.649,2.037,1
2372.431,39.774,2.872,0.029,35.628,1187.234,3.023,5.075,0.959,7.1,1.67,102.753,322.71,1.001,1.54,2.118,23.231,22.432,98.523,2.144,1
2372.533,41.097,2.857,0.03,35.647,1187.234,3.123,6.808,0.924,7.407,1.696,101.214,325.013,1.001,1.503,1.799,22.444,21.665,97.24,2.103,1
2372.634,42.527,2.854,0.03,35.655,1186.537,3.196,6.241,0.914,7.586,1.74,101.389,325.826,1.001,1.528,1.745,21.282,20.532,96.845,2.194,1
2372.736,45.671,2.855,0.031,35.667,1185.84,3.282,3.356,0.92,7.43,1.804,102.892,320.988,1.001,1.636,1.632,19.817,19.104,97.738,2.152,1
2372.837,47.36,2.843,0.031,35.683,1185.143,3.382,0.561,0.946,7.406,1.884,104.707,309.307,1.001,1.833,1.865,18.539,17.858,98.769,2.237,1
