X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
2359.566,81.866,2.928,0.283,34.611,1193.509,0.221,0.022,0.092,15.336,0.502,67.495,262.338,1.007,4
2359.668,81.995,2.928,0.282,34.605,1193.509,0.22,0.022,0.115,15.32,0.503,68.508,264.046,1.007,4
2359.77,82.306,2.928,0.282,34.597,1192.114,0.218,0.022,0.125,15.296,0.505,70.239,261.881,1.006,4
2359.872,82.474,2.928,0.281,34.592,1191.417,0.216,0.022,0.12,15.271,0.508,71.217,269.773,1.006,4
2359.973,82.643,2.928,0.28,34.614,1190.72,0.205,0.022,0.078,15.251,0.51,70.877,288.528,1.005,4
2360.075,82.805,2.928,0.28,34.628,1192.114,0.197,0.022,0.062,15.236,0.514,70.208,304.335,1.005,4
2360.177,83.091,2.928,0.279,34.642,1194.206,0.192,0.022,0.057,15.212,0.517,70.203,315.306,1.005,4
2360.279,83.203,2.928,0.279,34.65,1196.297,0.192,0.022,0.067,15.166,0.521,70.35,318.634,1.005,4
2360.381,83.285,2.928,0.278,34.647,1197.691,0.189,0.022,0.106,15.116,0.525,69.945,306.158,1.005,4
2360.483,83.334,2.928,0.277,34.647,1196.297,0.19,0.022,0.115,15.093,0.529,69.632,279.488,1.005,4
2360.584,83.329,2.928,0.275,34.653,1194.206,0.192,0.022,0.118,15.107,0.535,70.54,259.236,1.005,4
2360.686,83.29,2.928,0.274,34.653,1190.72,0.198,0.022,0.11,15.144,0.541,71.858,252.443,1.005,4
2360.788,83.242,2.928,0.272,34.655,1183.749,0.217,0.022,0.089,15.182,0.549,71.739,254.092,1.005,4
2360.89,83.196,2.928,0.271,34.664,1181.657,0.221,0.022,0.091,15.206,0.556,69.894,259.754,1.005,4
2360.992,83.135,2.928,0.27,34.672,1180.96,0.224,0.022,0.1,15.224,0.562,67.513,266.933,1.005,4
2361.094,83.119,2.928,0.268,34.68,1181.657,0.223,0.022,0.117,15.251,0.568,66.673,268.911,1.005,4
2361.195,83.107,2.928,0.267,34.7,1183.052,0.219,0.022,0.136,15.293,0.573,67.777,266.055,1.005,4
2361.297,83.097,2.928,0.263,34.703,1183.052,0.216,0.022,0.131,15.34,0.577,69.289,263.462,1.005,4
2361.398,83.068,2.928,0.26,34.708,1183.749,0.215,0.022,0.113,15.382,0.581,69.876,263.23,1.005,4
2361.5,83.044,2.928,0.256,34.717,1184.446,0.217,0.022,0.088,15.41,0.585,70.083,259.429,1.005,4
2361.602,83.013,2.928,0.252,34.725,1187.234,0.218,0.022,0.072,15.425,0.589,70.506,255.353,1.005,4
2361.703,82.975,2.928,0.249,34.719,1189.326,0.221,0.022,0.079,15.429,0.593,70.52,260.231,1.005,4
2361.805,82.868,2.928,0.245,34.717,1192.114,0.223,0.022,0.097,15.413,0.596,69.766,264.302,1.005,4
2361.906,82.791,2.928,0.241,34.714,1194.206,0.221,0.022,0.115,15.385,0.598,69.226,259.941,1.005,4
2362.008,82.69,2.928,0.238,34.733,1196.297,0.208,0.022,0.108,15.363,0.598,69.559,258.758,1.005,4
2362.11,82.561,2.928,0.236,34.747,1195.6,0.199,0.022,0.091,15.354,0.596,70.519,258.079,1.005,4
2362.211,82.211,2.928,0.233,34.758,1194.903,0.195,0.022,0.065,15.346,0.593,71.47,246.227,1.005,4
2362.313,81.997,2.928,0.231,34.775,1194.206,0.191,0.022,0.044,15.331,0.588,71.827,231.008,1.005,4
2362.414,81.765,2.928,0.229,34.83,1191.417,0.195,0.022,0.043,15.308,0.582,70.977,220.714,1.005,4
2362.516,81.524,2.928,0.227,34.853,1190.72,0.2,0.022,0.06,15.285,0.575,69.242,217.108,1.005,4
2362.617,81.052,2.928,0.224,34.869,1191.417,0.204,0.022,0.083,15.266,0.567,67.293,216.571,1.005,4
2362.719,80.838,2.928,0.222,34.875,1192.114,0.207,0.022,0.095,15.244,0.56,66.084,216.437,1.005,4
2362.82,80.647,2.928,0.22,34.858,1192.811,0.212,0.022,0.089,15.212,0.553,66.264,216,1.005,4
2362.922,80.484,2.928,0.217,34.855,1193.509,0.212,0.022,0.072,15.158,0.547,67.718,215.963,1.006,4
2363.023,80.228,2.928,0.214,34.85,1192.811,0.21,0.022,0.057,15.081,0.542,68.857,215.206,1.006,4
2363.125,80.123,2.928,0.212,34.842,1192.114,0.208,0.022,0.057,15.005,0.537,68.888,214.435,1.005,4
2363.226,80.024,2.928,0.209,34.825,1188.629,0.204,0.022,0.085,14.963,0.533,68.061,215.445,1.004,4
2363.327,79.925,2.928,0.206,34.825,1187.234,0.2,0.022,0.109,14.95,0.529,67.018,216.248,1.005,4
2363.428,79.723,2.928,0.204,34.83,1185.84,0.196,0.022,0.125,14.94,0.525,66.02,214.09,1.005,4
2363.53,79.623,2.928,0.201,34.847,1185.143,0.194,0.022,0.129,14.914,0.52,65.615,211.489,1.004,4
2363.631,79.526,2.928,0.198,34.867,1183.749,0.192,0.022,0.105,14.877,0.514,67.121,212.833,1.004,4
2363.732,79.432,2.928,0.199,34.858,1182.354,0.193,0.022,0.094,14.861,0.507,69.764,215.459,1.005,4
2363.833,79.237,2.928,0.2,34.844,1181.657,0.192,0.022,0.097,14.89,0.501,70.999,215.414,1.005,4
2363.934,79.125,2.928,0.201,34.828,1181.657,0.195,0.022,0.115,14.934,0.496,70.644,211.624,1.004,4
2364.035,78.998,2.928,0.202,34.817,1183.052,0.204,0.022,0.168,14.941,0.492,70.221,206.39,1.004,4
2364.136,78.852,2.928,0.203,34.814,1182.354,0.207,0.022,0.187,14.922,0.488,70.178,202.337,1.004,4
2364.237,78.514,2.928,0.204,34.817,1183.052,0.21,0.022,0.19,14.925,0.486,68.552,202.035,1.004,4
2364.338,78.329,2.928,0.205,34.819,1185.143,0.21,0.022,0.175,14.98,0.485,65.052,205.299,1.005,4
2364.439,78.139,2.928,0.206,34.85,1184.446,0.215,0.022,0.111,15.076,0.485,62.404,211.831,1.005,4
2364.541,77.945,2.928,0.209,34.878,1182.354,0.217,0.022,0.086,15.186,0.487,61.646,219.443,1.004,4
2364.642,77.539,2.928,0.212,34.922,1180.263,0.219,0.022,0.073,15.281,0.49,62.063,224.565,1.003,4
2364.743,77.316,2.928,0.215,34.967,1178.869,0.22,0.022,0.081,15.354,0.494,63.474,225.836,1.003,4
2364.844,77.071,2.928,0.218,35.03,1176.777,0.22,0.022,0.125,15.423,0.5,65.822,225.823,1.003,4
2364.945,76.799,2.928,0.221,35.044,1176.777,0.219,0.022,0.132,15.504,0.506,67.625,225.119,1.003,4
2365.046,76.163,2.928,0.224,35.05,1178.172,0.217,0.022,0.124,15.592,0.512,67.947,224.597,1.003,4
2365.146,75.797,2.709,0.227,35.055,1180.263,0.215,27.248,0.104,15.674,0.518,67.635,224.929,1.003,4
2365.248,75.398,2.709,0.23,35.064,1183.749,0.21,27.248,0.062,15.75,0.524,67.776,227.872,1.003,4
2365.348,74.963,2.709,0.235,35.061,1186.537,0.207,27.421,0.059,15.818,0.528,68.361,236.752,1.003,4
2365.449,73.963,2.71,0.24,35.067,1189.326,0.204,27.525,0.072,15.854,0.532,69.16,247.467,1.003,4
2365.55,73.382,2.711,0.245,35.08,1190.72,0.202,27.457,0.096,15.822,0.536,70.038,256.254,1.004,4
2365.651,72.732,2.713,0.249,35.125,1198.389,0.199,27.322,0.129,15.75,0.539,70.94,267.129,1.004,4
2365.752,72.004,2.717,0.254,35.15,1197.691,0.199,26.841,0.128,15.796,0.545,72.053,279.924,1.004,4
2365.853,70.294,2.725,0.259,35.169,1194.903,0.199,25.75,0.112,15.994,0.553,73.634,289.791,1.004,4
2365.954,69.321,2.733,0.264,35.189,1191.417,0.2,24.475,0.085,16.128,0.566,74.785,299.137,1.005,4
2366.054,68.287,2.74,0.268,35.228,1181.657,0.204,22.929,0.052,16.048,0.589,74.579,308.84,1.006,4
2366.155,67.211,2.749,0.277,35.239,1175.383,0.204,20.471,0.056,15.859,0.625,73.422,318.718,1.006,4
2366.256,65.009,2.76,0.286,35.25,1168.411,0.202,17.59,0.074,15.751,0.685,72.494,329.843,1.006,4
2366.357,63.924,2.763,0.295,35.269,1165.623,0.194,16.822,0.099,15.676,0.783,72.604,338.244,1.006,4
2366.458,62.88,2.749,0.304,35.314,1162.137,0.183,20.248,0.135,15.067,0.934,72.638,345.001,1.006,4
2366.559,61.907,2.72,0.313,35.336,1161.44,0.18,26.079,0.14,13.219,1.165,71.138,356.631,1.007,4
2366.659,60.254,2.69,0.322,35.361,1160.743,0.176,30.763,0.143,11.02,1.454,67.503,370.114,1.007,4
2366.76,59.559,2.676,0.33,35.386,1159.349,0.174,32.606,0.163,9.739,1.698,65.174,382.042,1.007,4
2366.861,58.892,2.679,0.339,35.447,1159.349,0.178,32.785,0.27,9.399,1.693,67.879,391.886,1.008,4
2366.962,58.178,2.697,0.301,35.475,1160.743,0.187,31.977,0.359,9.291,1.462,75.898,394.085,1.007,1
2367.063,56.306,2.745,0.263,35.489,1163.531,0.199,27.389,0.463,9.166,1.172,85.283,388.621,1.007,1
2367.163,55.044,2.8,0.225,35.503,1167.714,0.212,20.87,0.567,9.124,0.951,92.589,379.238,1.006,1
2367.264,53.547,2.829,0.187,35.544,1176.08,0.232,17.249,0.743,9.302,0.808,96.033,368.112,1.006,1
2367.365,51.83,2.833,0.149,35.555,1180.96,0.245,16.766,0.799,9.585,0.732,96.472,360.821,1.006,1
2367.466,47.876,2.818,0.111,35.561,1185.143,0.262,18.67,0.834,9.679,0.701,94.72,358.606,1.006,1
2367.567,45.731,2.793,0.073,35.558,1189.326,0.277,21.696,0.852,9.8,0.7,91.756,357.952,1.005,1
2367.667,43.558,2.769,0.035,35.53,1192.114,0.289,24.554,0.847,10.611,0.72,88.691,358.851,1.005,1
2367.768,41.446,2.76,0.034,35.528,1192.811,0.286,25.642,0.828,11.806,0.747,87.434,364.629,1.004,1
2367.869,37.777,2.765,0.033,35.53,1192.811,0.279,25.05,0.787,12.879,0.772,88.125,378.41,1.001,1
2367.97,36.365,2.775,0.032,35.528,1192.811,0.269,23.824,0.725,13.496,0.781,89.504,394.714,1.001,1
2368.071,35.264,2.777,0.03,35.564,1195.6,0.255,23.587,0.575,13.634,0.773,89.763,408.613,1.001,1
2368.172,34.445,2.776,0.029,35.592,1198.389,0.254,23.773,0.505,13.38,0.748,89.56,414.882,1.001,1
2368.272,33.394,2.78,0.028,35.628,1200.48,0.261,23.226,0.455,12.834,0.713,90.154,410.596,1.001,1
2368.373,33.036,2.791,0.027,35.667,1201.874,0.284,21.894,0.427,12.307,0.677,91.553,400.132,1.001,1
2368.474,32.734,2.802,0.026,35.714,1202.571,0.391,20.612,0.416,12.062,0.648,92.845,389.107,1.001,1
2368.575,32.465,2.804,0.026,35.728,1201.177,0.479,20.278,0.418,11.83,0.631,93.174,376.776,1.001,1
2368.676,31.984,2.797,0.025,35.742,1199.086,0.587,21.137,0.415,11.452,0.626,92.322,367.97,1.001,1
2368.776,31.756,2.793,0.025,35.747,1198.389,0.716,21.689,0.407,10.887,0.638,91.763,362.439,1.001,1
2368.877,31.525,2.807,0.025,35.736,1201.177,1.047,19.654,0.384,10.309,0.665,93.192,353.011,1.001,1
2368.978,31.283,2.831,0.025,35.719,1200.48,1.249,15.597,0.39,9.811,0.706,96.131,340.931,1.001,1
2369.079,30.715,2.855,0.024,35.697,1200.48,1.467,12.421,0.411,9.368,0.765,99.158,330.789,1.001,1
2369.18,30.364,2.861,0.024,35.697,1201.874,1.699,11.261,0.446,8.945,0.837,99.97,321.86,1.001,1
2369.282,29.958,2.844,0.024,35.697,1200.48,2.171,12.089,0.548,8.547,0.922,98.198,316.419,1.001,1
2369.383,29.5,2.816,0.024,35.697,1197.691,2.394,13.484,0.597,8.172,1.015,94.8,315.327,1.001,1
2369.485,28.493,2.799,0.024,35.697,1195.6,2.599,14.021,0.64,7.837,1.111,92.178,316.957,1.001,1
2369.586,27.998,2.801,0.024,35.697,1195.6,2.776,13.557,0.67,7.592,1.2,92.039,320.207,1.001,1
2369.688,27.545,2.82,0.024,35.697,1196.994,3.011,12.385,0.719,7.395,1.277,94.329,323.877,1.001,1
2369.789,27.157,2.844,0.024,35.697,1199.086,3.064,11.096,0.755,7.217,1.337,97.025,326.953,1.001,1
2369.891,26.613,2.863,0.024,35.697,1201.177,3.079,9.902,0.795,7.077,1.38,99.144,330.421,1.001,1
2369.992,26.461,2.88,0.024,35.697,1203.269,3.052,8.266,0.837,6.975,1.411,101.162,334.472,1.001,1
2370.094,26.382,2.9,0.024,35.697,1205.36,2.913,3.83,0.888,6.906,1.433,103.974,338.271,1.001,1
2370.195,26.367,2.926,0.024,35.697,1206.057,2.824,0.305,0.887,6.846,1.45,106.791,341.534,1.001,1
2370.297,26.488,2.941,0.024,35.697,1205.36,2.733,0.02,0.875,6.777,1.464,107.934,342.751,1.001,1
2370.398,26.608,2.934,0.024,35.697,1203.269,2.645,0.046,0.865,6.706,1.478,107.447,339.626,1.001,1
2370.5,26.759,2.93,0.024,35.697,1202.571,2.497,0.124,0.868,6.655,1.493,107.176,335.27,1.001,1
2370.601,26.937,2.95,0.024,35.697,1203.966,2.441,0.017,0.882,6.623,1.509,108.543,332.262,1.001,1
2370.703,27.364,2.976,0.024,35.697,1205.36,2.398,0.008,0.904,6.601,1.529,110.308,328.72,1.001,1
2370.804,27.612,2.975,0.024,35.503,1206.057,2.367,0.008,0.922,6.581,1.551,110.29,324.71,1.001,1
2370.906,27.881,2.932,0.023,35.519,1207.451,2.331,0.022,0.929,6.552,1.574,107.579,322.874,1.001,1
2371.007,28.172,2.898,0.023,35.505,1205.36,2.325,3.225,0.919,6.503,1.599,104.217,322.031,1.001,1
2371.109,28.814,2.888,0.023,35.505,1201.874,2.331,5.545,0.907,6.466,1.623,102.828,320.117,1.001,1
2371.211,29.163,2.892,0.023,35.519,1197.691,2.352,4.894,0.902,6.458,1.646,103.242,318.16,1.001,1
2371.313,29.534,2.897,0.023,35.561,1188.629,2.432,3.778,0.937,6.451,1.666,103.9,317.516,1.001,1
2371.414,29.932,2.9,0.023,35.575,1182.354,2.486,3.272,0.97,6.4,1.684,104.191,317.23,1.001,1
2371.516,30.848,2.912,0.023,35.58,1176.08,2.543,1.442,1.002,6.381,1.699,105.48,316.424,1.001,1
2371.618,31.378,2.937,0.023,35.58,1171.897,2.607,0.021,1.021,6.519,1.71,107.697,315.871,1.001,1
2371.719,31.957,2.954,0.023,35.592,1165.623,2.733,0.016,1.007,6.77,1.715,108.793,315.776,1.001,1
2371.821,32.583,2.935,0.024,35.597,1164.926,2.791,0.031,0.977,7.082,1.715,107.526,315.62,1.001,1
2371.923,33.971,2.905,0.025,35.592,1166.32,2.838,2.272,0.951,7.322,1.708,104.907,315.67,1.001,1
2372.024,34.74,2.889,0.026,35.583,1169.806,2.878,4.724,0.935,7.364,1.695,103.382,315.646,1.001,1
2372.126,35.57,2.893,0.027,35.578,1178.869,2.941,3.449,0.942,7.282,1.68,104.11,315.42,1.001,1
2372.228,36.475,2.902,0.027,35.592,1183.052,2.965,1.46,0.957,7.195,1.667,105.424,316.431,1.001,1
2372.329,38.566,2.893,0.028,35.611,1186.537,2.991,2.097,0.964,7.035,1.662,104.853,319.502,1.001,1
2372.431,39.774,2.872,0.029,35.628,1187.234,3.023,5.075,0.959,7.1,1.67,102.753,322.71,1.001,1
2372.533,41.097,2.857,0.03,35.647,1187.234,3.123,6.808,0.924,7.407,1.696,101.214,325.013,1.001,1
2372.634,42.527,2.854,0.03,35.655,1186.537,3.196,6.241,0.914,7.586,1.74,101.389,325.826,1.001,1
2372.736,45.671,2.855,0.031,35.667,1185.84,3.282,3.356,0.92,7.43,1.804,102.892,320.988,1.001,1
2372.837,47.36,2.843,0.031,35.683,1185.143,3.382,0.561,0.946,7.406,1.884,104.707,309.307,1.001,1
2372.939,49.113,2.845,0.032,35.7,1183.052,3.59,0.031,1.048,7.413,1.975,105.447,299.906,1.001,1
2373.041,50.921,2.857,0.032,35.705,1182.354,3.691,1.609,1.092,7.373,2.07,103.54,294.922,1.001,1
2373.142,54.649,2.83,0.032,35.711,1182.354,3.776,5.594,1.123,7.292,2.157,98.684,292.711,1.001,1
2373.244,56.524,2.792,0.033,35.711,1182.354,3.833,8.271,1.136,7.104,2.22,93.168,299.188,1.001,1
2373.345,58.361,2.766,0.033,35.705,1182.354,3.855,10.752,1.101,6.907,2.241,88.73,310.331,1.001,1
2373.447,60.116,2.752,0.033,35.7,1182.354,3.819,12.647,1.069,6.953,2.21,86.116,313.331,1.001,4
2373.548,63.179,2.751,0.033,35.686,1182.354,3.754,13.857,1.033,7.339,2.12,85.237,310.234,1.001,4
2373.65,64.407,2.756,0.033,35.672,1182.354,3.667,14.678,1.001,7.729,1.985,85.304,308.543,1.001,4
2373.751,65.41,2.754,0.033,35.653,1180.96,3.475,15.774,0.94,7.861,1.829,84.337,307.728,1.001,4
2373.853,66.198,2.734,0.033,35.658,1180.96,3.393,17.839,0.905,7.877,1.676,80.91,311.942,1.001,4
2373.954,67.263,2.704,0.033,35.678,1180.96,3.339,20.637,0.869,7.95,1.543,75.284,328.358,1.001,4
2374.056,67.634,2.678,0.033,35.7,1182.354,3.322,23.217,0.829,8.04,1.44,70.277,351.97,1.001,4
2374.157,67.97,2.665,0.033,35.75,1186.537,3.386,24.51,0.791,8.048,1.374,67.879,367.402,1.001,4
2374.259,68.322,2.665,0.033,35.769,1187.234,3.455,24.326,0.803,7.984,1.341,68.096,372.335,1.001,4
2374.361,69.252,2.673,0.032,35.78,1187.234,3.539,23.118,0.832,7.939,1.338,69.551,368.994,1.001,4
2374.462,69.888,2.686,0.032,35.78,1186.537,3.627,21.644,0.873,7.967,1.362,72.65,356.44,1.001,4
2374.563,70.657,2.708,0.032,35.772,1183.052,3.783,20.066,0.927,8.017,1.402,78.053,338.779,1.001,4
2374.665,71.556,2.734,0.031,35.764,1181.657,3.837,18.422,0.931,8.064,1.451,83.852,329.311,1.001,4
2374.766,73.669,2.759,0.031,35.764,1180.96,3.872,16.863,0.916,8.083,1.494,88.258,330.722,1.001,4
2374.868,74.819,2.778,0.03,35.767,1180.96,3.885,15.672,0.887,8.064,1.521,91.073,336.73,1.001,4
2374.969,75.981,2.792,0.03,35.753,1181.657,3.875,15.101,0.833,8.061,1.523,92.854,341.902,1.001,4
2375.071,77.12,2.768,0.029,35.758,1181.657,3.855,17.478,0.813,8.106,1.499,92.854,346.635,1.001,4
2375.172,79.243,2.756,0.028,35.772,1181.657,3.828,19.197,0.803,8.165,1.457,91.002,347.02,1.001,4
2375.273,80.212,2.739,0.027,35.789,1180.263,3.794,21.144,0.792,8.221,1.404,88.435,340.372,1.001,4
2375.375,81.121,2.723,0.026,35.817,1177.474,3.709,22.758,0.74,8.278,1.348,86.028,332.389,1.002,4
2375.476,81.969,2.709,0.026,35.811,1177.474,3.668,24.056,0.703,8.341,1.295,83.328,327.418,1.002,4
2375.578,83.451,2.697,0.025,35.803,1179.566,3.632,25.026,0.663,8.394,1.247,80.446,323.283,1.002,4
2375.679,84.061,2.69,0.024,35.8,1182.354,3.616,25.642,0.636,8.431,1.202,78.664,322.249,1.002,4
2375.781,84.571,2.687,0.023,35.792,1186.537,3.676,26.075,0.63,8.462,1.162,78.188,327.045,1.002,4
2375.882,84.984,2.679,0.023,35.783,1187.932,3.78,26.367,0.651,8.501,1.129,77.905,335.364,1.003,4
2375.983,85.567,2.681,0.023,35.775,1188.629,3.949,26.886,0.683,8.539,1.103,76.86,345.392,1.004,4
2376.084,85.775,2.677,0.023,35.769,1186.537,4.178,26.748,0.71,8.567,1.093,75.787,351.621,1.004,4
2376.186,85.95,2.675,0.022,35.769,1178.869,4.772,25.423,0.763,8.593,1.102,76.174,351.269,1.004,4
2376.287,86.103,2.676,0.022,35.775,1174.686,5.092,22.859,0.791,8.624,1.136,78.165,344.815,1.004,4
2376.389,86.346,2.66,0.022,35.78,1171.2,5.399,18.994,0.827,8.66,1.206,80.387,331.184,1.003,4
2376.49,86.43,2.647,0.022,35.78,1167.714,5.673,15.541,0.877,8.689,1.316,81.222,310.874,1.002,4
2376.592,86.485,2.655,0.022,35.767,1164.229,6.067,13.559,1.006,8.71,1.471,80.722,291.206,1.002,4
2376.693,86.512,2.675,0.022,35.761,1163.531,6.171,12.796,1.072,8.722,1.684,79.745,275.836,1.002,4
2376.794,86.494,2.681,0.021,35.755,1163.531,6.218,12.323,1.122,8.725,1.946,79.248,262.119,1.003,4
2376.896,86.452,2.678,0.021,35.758,1164.229,6.221,11.824,1.15,8.73,2.243,79.456,252.312,1.005,4
2376.997,86.39,2.68,0.021,35.764,1166.32,6.147,11.524,1.153,8.747,2.541,80.094,248.607,1.005,4
2377.099,86.305,2.68,0.021,35.767,1167.714,6.09,11.376,1.145,8.774,2.794,80.867,247.981,1.005,4
2377.2,86.061,2.688,0.021,35.775,1169.109,6.025,11.387,1.149,8.797,2.961,82.032,246.195,1.005,4
2377.302,85.901,2.691,0.021,35.78,1171.2,5.954,11.141,1.165,8.793,3.023,83.17,243.958,1.006,4
2377.403,85.719,2.693,0.021,35.78,1171.897,5.81,11.152,1.203,8.754,3.001,83.111,243.034,1.006,4
2377.504,85.518,2.684,0.021,35.775,1171.897,5.741,11.316,1.21,8.721,2.919,81.727,243.731,1.006,4
2377.606,85.075,2.679,0.022,35.769,1171.2,5.677,11.64,1.2,8.744,2.813,80.596,245.143,1.006,4
2377.707,84.836,2.684,0.022,35.775,1170.503,5.62,11.749,1.174,8.797,2.704,81.201,246.411,1.006,4
2377.809,84.586,2.688,0.022,35.792,1167.017,5.559,11.442,1.097,8.787,2.611,82.834,247.749,1.006,4
2377.91,84.323,2.7,0.023,35.8,1166.32,5.565,11.414,1.069,8.7,2.54,84.168,248.633,1.005,4
2378.011,83.756,2.702,0.023,35.811,1166.32,5.604,11.298,1.059,8.646,2.494,85.036,248.132,1.005,4
2378.113,83.453,2.7,0.023,35.819,1166.32,5.677,11.068,1.066,8.668,2.475,85.682,247.19,1.005,4
2378.214,83.139,2.703,0.023,35.825,1164.926,5.912,11.02,1.102,8.592,2.479,85.985,246.477,1.005,4
2378.316,82.82,2.705,0.024,35.828,1164.926,6.075,11.122,1.11,8.295,2.505,85.989,245.263,1.005,4
2378.417,82.179,2.709,0.024,35.825,1164.926,6.261,11.502,1.106,8.007,2.55,86.114,243.667,1.005,4
2378.518,81.868,2.708,0.024,35.822,1164.926,6.461,11.956,1.092,7.895,2.609,86.529,243.861,1.005,4
2378.62,81.566,2.714,0.024,35.819,1164.926,6.86,12.613,1.08,7.886,2.679,86.777,248.195,1.005,4
2378.721,81.273,2.704,0.024,35.817,1166.32,7.046,12.982,1.094,7.889,2.755,85.782,254.607,1.005,4
2378.823,80.704,2.7,0.024,35.814,1167.714,7.214,13.21,1.123,7.905,2.83,84.418,258.389,1.005,4
2378.924,80.423,2.702,0.024,35.814,1168.411,7.357,12.892,1.162,7.955,2.903,84.275,258.577,1.005,4
2379.025,80.142,2.699,0.024,35.83,1168.411,7.552,12.052,1.219,8.008,2.972,85.257,256.176,1.004,4
2379.126,79.865,2.706,0.024,35.839,1168.411,7.582,12.066,1.224,8.01,3.042,85.289,250.857,1.004,4
2379.228,79.334,2.693,0.024,35.842,1168.411,7.57,12.631,1.211,7.998,3.113,83.598,245.141,1.004,4
2379.329,79.083,2.685,0.024,35.842,1167.017,7.525,13.926,1.19,8.061,3.185,81.323,243.334,1.004,4
2379.431,78.841,2.679,0.024,35.853,1165.623,7.338,15.044,1.147,8.181,3.248,80.104,246.321,1.005,4
2379.532,78.604,2.687,0.024,35.864,1165.623,7.2,15.867,1.134,8.245,3.283,80.251,252.305,1.004,4
2379.633,78.121,2.689,0.024,35.872,1165.623,7.046,15.907,1.119,8.22,3.273,81.11,260.581,1.004,4
