X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y
231.473,33.308,54.549,13.103,2.487,15.548,0.587,3.396,12.918,16.989,17.102,2
238.811,33.83,52.794,13.235,2.488,15.684,0.363,3.0,13.007,8.248,15.623,2
245.126,34.043,51.148,13.405,2.49,15.84,0.379,3.1,12.941,8.341,14.423,2
246.381,34.213,50.274,13.528,2.492,16.262,0.469,3.499,12.707,14.894,13.691,2
244.199,34.33,50.023,13.511,2.495,16.533,0.628,3.963,12.337,26.095,13.511,2
239.133,34.382,49.639,13.319,2.501,16.858,0.802,4.659,11.909,31.886,13.766,2
232.763,34.311,49.004,12.972,2.509,17.214,0.934,5.689,11.566,32.192,14.321,2
229.265,34.175,47.989,12.541,2.52,18.036,1.048,6.854,11.396,30.967,14.954,2
229.491,33.98,46.394,12.16,2.532,18.49,1.135,7.6,11.429,30.3,15.353,2
230.535,33.423,45.256,11.941,2.543,18.945,1.15,6.98,11.671,27.832,14.995,2
230.222,33.071,48.753,11.929,2.548,19.388,1.087,5.88,12.101,20.884,14.052,2
228.729,32.676,59.268,12.139,2.546,20.164,0.987,4.969,12.666,15.799,12.895,2
228.523,32.246,75.106,12.553,2.538,20.44,0.92,4.483,13.202,20.732,11.822,2
231.375,31.331,88.937,13.121,2.529,20.614,0.895,4.408,13.563,26.197,11.072,2
238.087,30.878,95.541,13.685,2.522,20.689,0.929,4.561,13.7,24.686,10.795,2
246.612,30.448,94.515,14.086,2.518,20.569,1.019,4.821,13.627,19.228,11.004,2
249.603,30.051,89.864,14.256,2.523,20.404,1.165,5.307,13.424,10.465,11.451,2
243.898,29.375,84.927,14.2,2.531,20.211,1.284,6.131,13.266,5.917,11.89,2
234.875,29.09,81.186,13.998,2.539,20.005,1.322,7.431,13.308,6.9,12.047,2
226.073,28.831,78.93,13.831,2.546,19.592,1.295,9.33,13.597,6.61,11.661,2
219.35,28.592,77.886,13.866,2.55,19.4,1.26,11.584,14.152,0.101,10.485,2
218.27,28.146,78.051,14.162,2.549,19.214,1.186,11.727,14.959,0.0,9.035,2
223.635,27.931,80.003,14.181,2.549,19.01,1.039,9.701,15.976,0.0,7.659,2
230.551,27.716,89.458,15.593,2.551,18.57,0.739,6.959,17.106,0.0,6.468,2
265.049,22.915,113.884,18.172,2.582,12.016,0.899,2.936,14.556,0.0,4.107,2
262.939,22.206,110.77,16.372,2.576,11.774,1.09,3.016,13.137,14.081,4.639,2
257.213,21.853,101.894,14.717,2.569,11.579,1.288,3.733,12.042,31.297,5.328,2
246.666,21.505,90.615,13.338,2.562,11.332,1.36,5.562,11.34,36.277,6.159,2
232.19,21.164,79.416,12.327,2.559,11.285,1.29,8.606,10.981,36.966,7.099,2
218.415,20.519,69.647,11.716,2.556,11.284,1.127,2.4005,10.86,41.282,8.104,2
209.12,20.222,62.147,11.431,2.553,11.282,0.912,2.4005,10.93,47.557,9.16,2
204.452,20.085,59.496,11.379,2.549,11.399,0.712,11.448,11.141,50.709,10.079,2
207.529,19.947,62.696,11.51,2.543,11.488,0.524,8.871,11.443,44.393,10.634,2
217.723,19.481,69.078,11.771,2.536,11.582,0.348,6.983,11.76,29.89,10.773,2
229.092,19.293,75.374,12.094,2.533,11.666,0.253,6.278,12.008,12.05,10.544,2
236.422,19.134,80.203,12.393,2.532,11.792,0.272,6.648,12.154,1.143,10.088,2
239.454,19.006,83.007,12.602,2.535,11.839,0.335,7.337,12.186,0.38,9.645,2
238.868,18.834,82.724,12.697,2.541,11.882,0.41,7.095,12.107,7.533,9.389,2
235.818,18.78,79.225,12.673,2.548,11.929,0.493,6.504,11.941,15.068,9.327,2
232.812,18.739,73.799,12.543,2.553,12.101,0.562,6.176,11.768,18.603,9.399,2
230.776,18.703,69.308,12.366,2.556,12.238,0.65,6.553,11.667,18.14,9.493,2
227.973,18.629,67.384,12.227,2.559,12.432,0.825,7.494,11.691,16.184,9.412,2
223.576,18.581,68.983,12.195,2.561,12.67,1.098,9.088,11.878,15.17,8.954,2
219.265,18.52,74.267,12.32,2.563,13.293,1.275,10.289,12.257,15.985,8.247,2
217.654,18.441,81.919,12.637,2.568,13.655,1.245,10.023,12.884,20.071,7.441,2
219.795,18.219,90.677,13.195,2.574,14.037,1.154,8.143,13.708,17.62,6.655,2
226.569,18.08,99.637,13.982,2.58,14.423,1.057,5.618,14.678,11.827,5.96,2
236.124,17.93,106.744,14.944,2.586,15.107,0.941,4.242,15.736,5.732,5.379,2
261.344,19.488,112.212,14.949,2.518,8.45,0.97,4.753,13.661,3.523,6.375,2
264.916,19.898,112.065,13.662,2.514,8.523,1.122,3.973,12.328,4.669,7.16,2
260.234,20.112,106.325,12.288,2.512,8.603,1.539,3.853,11.04,4.449,8.152,2
250.711,20.331,96.685,10.999,2.512,8.808,2.342,4.484,9.875,1.963,9.374,2
241.505,20.555,85.565,9.86,2.514,8.966,3.018,6.039,8.875,0.0,10.796,2
233.816,21.023,75.63,8.904,2.519,9.161,3.392,7.821,8.056,0.979,12.406,2
227.209,21.265,67.869,8.166,2.528,9.403,3.641,9.103,7.465,0.844,14.23,2
222.283,21.511,62.983,7.666,2.54,10.04,3.976,9.743,7.094,0.0,16.075,2
218.041,21.76,61.162,7.403,2.554,10.418,4.506,10.308,6.95,0.0,17.51,2
212.891,22.265,63.728,7.392,2.567,10.843,5.378,2.4005,7.05,0.0,17.645,2
208.41,22.52,74.487,7.651,2.577,11.293,6.161,2.4005,7.412,0.0,16.219,2
208.704,22.773,93.103,8.207,2.58,12.215,6.546,2.4005,8.066,0.0,14.046,2
235.461,26.372,80.758,10.649,2.558,12.067,0.709,5.78,10.056,0.0,5.024,2
221.099,26.71,71.784,9.798,2.552,12.123,0.68,6.638,9.279,0.0,5.709,2
211.116,26.861,66.451,9.197,2.548,12.255,0.702,7.595,8.722,0.0,6.446,2
205.968,27.002,63.307,8.794,2.545,12.696,0.821,8.978,8.351,0.0,7.161,2
203.103,27.135,61.902,8.572,2.543,12.975,1.019,11.014,8.147,0.0,7.737,2
202.118,27.385,61.547,8.53,2.54,13.278,1.223,2.4005,8.113,0.0,8.05,2
203.537,27.501,61.559,8.761,2.538,13.583,1.496,2.4005,8.34,0.0,8.202,2
205.399,27.609,62.395,9.282,2.539,14.137,1.782,2.4005,8.856,0.0,8.284,2
208.12,27.706,66.791,10.168,2.541,14.351,1.962,9.941,9.735,0.0,8.236,2
217.389,27.855,76.319,11.49,2.548,14.494,1.988,7.754,11.049,0.0,7.999,2
234.163,27.903,89.339,13.303,2.557,14.548,1.969,5.952,12.852,0.0,7.509,2
251.386,27.934,102.08,15.645,2.567,14.369,1.907,4.46,15.184,0.0,6.765,2
242.728,20.72,83.957,15.286,2.587,7.185,0.462,5.377,13.463,0.0,5.873,2
240.894,20.38,82.634,13.65,2.583,7.253,0.557,5.22,11.772,0.0,6.657,2
236.933,20.245,75.349,11.938,2.579,7.331,0.639,4.972,10.118,0.0,7.55,2
230.071,20.141,63.677,10.299,2.575,7.507,0.683,5.326,8.676,0.0,8.537,2
222.558,20.069,52.861,8.92,2.57,7.605,0.694,6.628,7.689,0.0,9.616,2
216.311,20.013,48.063,7.989,2.565,7.713,0.692,8.676,7.107,0.0,10.807,2
213.139,20.021,47.868,7.465,2.56,7.838,0.684,10.434,6.921,0.0,12.166,2
213.903,20.05,49.452,7.337,2.556,8.124,0.672,9.643,7.114,0.106,13.678,2
215.66,20.095,50.516,7.584,2.552,8.298,0.657,9.628,7.653,0.0,13.733,2
213.565,20.224,51.066,8.177,2.547,8.503,0.643,9.216,8.52,0.0,16.166,2
210.954,20.301,52.19,9.082,2.54,8.741,0.651,12.091,9.576,0.0,16.874,2
212.116,20.384,55.122,10.158,2.53,9.334,0.684,2.4005,10.652,0.0,17.062,2
217.8,20.472,59.449,11.24,2.522,9.684,0.738,2.4005,11.611,0.0,17.024,2
228.309,20.656,63.669,12.191,2.516,10.045,0.821,2.4005,12.314,0.0,16.991,2
240.128,20.749,66.189,12.872,2.515,10.409,0.909,2.4005,12.626,0.0,16.629,2
245.706,20.84,66.956,13.145,2.523,11.109,0.964,10.498,12.345,0.0,15.913,2
245.316,20.928,66.588,12.838,2.536,11.429,0.969,7.699,11.733,0.0,14.947,2
239.643,21.09,65.849,12.21,2.552,11.728,0.925,6.446,11.007,0.0,13.949,2
228.769,21.161,64.213,11.475,2.569,12.015,0.701,5.861,10.354,0.0,13.205,2
218.041,21.223,60.354,10.818,2.583,12.594,0.44,5.814,9.926,0.0,12.827,2
212.552,21.272,55.414,10.39,2.594,12.903,0.331,6.711,9.854,0.0,12.776,2
208.386,21.324,52.546,10.318,2.6,13.247,0.363,9.048,10.208,0.0,12.937,2
206.929,21.321,55.893,10.689,2.605,13.646,0.388,2.4005,10.941,0.0,13.079,2
213.58,21.298,65.516,11.457,2.61,14.594,0.38,2.4005,12.059,0.638,12.906,2
225.199,18.954,94.801,15.4,2.612,10.272,0.548,4.808,14.557,0.0,5.931,2
220.989,18.671,94.127,14.98,2.613,10.294,0.708,4.976,14.211,0.0,6.316,2
221.089,18.586,93.819,14.655,2.611,10.34,0.863,5.149,13.933,0.0,6.78,2
223.185,18.522,92.356,14.373,2.606,10.492,0.976,5.294,13.666,0.0,7.246,2
224.964,18.464,89.014,14.065,2.601,10.584,1.029,5.521,13.339,0.0,7.633,2
224.247,18.331,84.602,13.707,2.597,10.681,1.035,6.381,12.976,0.0,7.854,2
221.77,18.261,80.306,13.348,2.593,10.779,1.01,7.761,12.645,0.0,7.921,2
218.402,18.198,76.075,13.059,2.59,10.974,0.949,8.456,12.413,0.0,7.908,2
214.65,18.147,71.5,12.91,2.587,11.07,0.848,7.933,12.346,0.0,7.86,2
212.514,18.07,67.469,12.97,2.58,11.173,0.744,6.562,12.508,0.0,7.778,2
213.166,18.021,65.968,13.308,2.572,11.289,0.661,5.429,12.966,0.0,7.618,2
215.323,17.947,69.214,13.903,2.565,11.562,0.595,5.031,13.629,2.062,7.324,2
261.889,71.116,69.559,54.568,2.156,0.228,1.213,0.804,46.453,11.628,46.923,1
319.093,45.121,90.242,26.072,2.315,4.292,0.246,1.137,25.205,13.161,2.387,1
316.676,43.416,93.464,26.018,2.34,4.261,0.339,1.18,25.152,7.575,2.356,1
314.775,42.746,95.413,25.732,2.351,4.22,0.449,1.255,24.873,0.0,2.354,1
313.57,42.207,97.557,25.154,2.355,4.119,0.552,1.358,24.309,0.0,2.38,1
312.83,41.795,100.806,25.031,2.357,4.063,0.659,1.473,24.189,0.0,2.425,1
313.103,41.321,104.276,25.521,2.362,4.005,0.785,1.566,24.667,0.0,2.479,1
314.383,41.234,106.428,26.306,2.373,3.947,0.911,1.612,25.433,0.0,2.535,1
316.163,41.227,107.26,27.069,2.384,3.847,1.009,1.633,26.179,0.0,2.579,1
319.783,38.334,106.804,27.738,2.355,3.593,0.643,1.456,26.832,0.0,2.286,1
319.826,38.664,107.424,27.346,2.366,3.565,0.552,1.509,26.449,0.0,2.314,1
321.539,39.04,107.231,27.725,2.376,3.538,0.451,1.62,26.819,0.0,2.332,1
323.67,39.839,107.504,28.291,2.381,3.506,0.4,1.715,27.372,0.0,2.338,1
322.946,40.22,107.862,28.581,2.384,3.473,0.415,1.733,27.655,0.0,2.332,1
323.325,39.826,91.534,28.392,2.307,3.205,0.774,1.145,27.47,0.0,2.077,1
323.79,39.637,94.394,28.456,2.327,3.187,0.786,1.224,27.533,0.0,2.08,1
327.279,39.198,97.49,28.638,2.341,3.174,0.761,1.309,27.711,0.0,2.09,1
329.596,38.927,98.405,29.191,2.341,3.168,0.715,1.337,28.252,0.0,2.105,1
328.427,38.625,96.893,29.754,2.331,3.179,0.627,1.304,28.802,0.0,2.122,1
325.87,38.307,94.634,29.822,2.321,3.191,0.492,1.257,28.868,0.037,2.14,1
322.789,37.687,93.241,29.453,2.317,3.203,0.341,1.231,28.507,0.0,2.157,1
319.948,37.4,94.074,29.078,2.317,3.215,0.236,1.226,28.141,0.0,2.175,1
319.789,37.124,97.576,28.775,2.321,3.223,0.18,1.249,27.845,0.0,2.192,1
321.991,36.85,102.146,28.158,2.328,3.221,0.179,1.323,27.243,0.0,2.209,1
323.425,36.308,104.358,27.613,2.337,3.222,0.204,1.422,26.71,0.0,2.223,1
323.029,36.074,102.446,27.763,2.345,3.23,0.241,1.475,26.857,0.0,2.234,1
321.546,35.904,98.244,28.581,2.344,3.265,0.28,1.431,27.655,0.0,2.242,1
319.508,35.826,95.379,29.074,2.333,3.289,0.323,1.364,28.138,0.0,2.249,1
318.098,36.019,94.609,28.641,2.319,3.315,0.353,1.358,27.714,0.0,2.255,1
318.308,36.296,94.552,27.776,2.316,3.341,0.359,1.451,26.869,0.0,2.261,1
319.599,36.683,94.809,27.244,2.328,3.389,0.345,1.604,26.349,0.0,2.269,1
321.557,37.162,97.156,27.155,2.352,3.407,0.312,1.721,26.262,0.0,2.276,1
324.149,38.304,102.281,27.484,2.378,3.419,0.292,1.753,26.584,0.0,2.282,1
326.22,38.913,106.756,28.131,2.395,3.427,0.355,1.751,27.216,0.0,2.285,1
327.348,39.516,107.585,28.726,2.396,3.443,0.603,1.769,27.797,0.0,2.282,1
327.954,40.1,104.495,28.835,2.388,3.445,0.961,1.779,27.904,0.0,2.275,1
326.96,41.185,100.111,28.665,2.378,3.438,1.264,1.743,27.738,0.0,2.264,1
323.437,41.671,95.698,28.672,2.369,3.42,1.367,1.658,27.744,0.0,2.254,1
319.127,42.092,93.415,28.892,2.361,3.35,1.393,1.588,27.959,0.0,2.247,1
316.257,42.409,94.474,28.93,2.353,3.309,1.314,1.579,27.996,0.0,2.245,1
315.258,42.543,98.019,28.327,2.347,3.271,1.096,1.647,27.407,0.0,2.246,1
315.567,42.297,100.33,27.523,2.343,3.241,0.843,1.728,26.622,0.0,2.248,1
316.823,41.838,99.631,27.123,2.332,3.215,0.651,1.71,26.231,0.0,2.248,1
318.607,41.194,96.552,27.211,2.314,3.219,0.499,1.554,26.317,0.0,2.246,1
319.698,39.529,93.04,27.513,2.29,3.236,0.39,1.358,26.612,0.0,2.243,1
319.187,38.595,91.131,27.763,2.27,3.264,0.354,1.235,26.856,0.0,2.244,1
317.814,37.636,92.101,27.89,2.261,3.343,0.364,1.222,26.98,0.0,2.251,1
316.901,36.679,94.258,27.754,2.264,3.389,0.399,1.31,26.848,0.0,2.265,1
316.616,34.864,95.907,27.46,2.276,3.436,0.434,1.447,26.56,0.255,2.288,1
316.293,34.051,95.902,27.522,2.288,3.483,0.459,1.504,26.621,0.0,2.318,1
315.958,33.323,95.369,27.852,2.297,3.569,0.476,1.476,26.943,0.0,2.353,1
